run,pop,herb,order,rate,rep,ve,biomass
1,AT1-R,control,0,1x,1,10,0.8726
1,AT1-R,control,0,1x,2,10,2.8025
1,AT1-R,control,0,1x,3,10,2.286
1,AT1-R,control,0,1x,4,10,2.1387
1,AT1-R,glyphosate,2,1x,1,6,1.2296
1,AT1-R,glyphosate,2,1x,2,7,0.884
1,AT1-R,glyphosate,2,1x,3,6,0.5622
1,AT1-R,glyphosate,2,1x,4,7,0.5174
1,AT1-R,glyphosate,2,1x,5,,
1,AT1-R,glyphosate,2,1x,6,,
1,AT1-R,glyphosate,2,1x,7,,
1,AT1-R,glyphosate,2,1x,8,,
1,AT1-R,glyphosate,2,3x,1,1,0
1,AT1-R,glyphosate,2,3x,2,1,0
1,AT1-R,glyphosate,2,3x,3,1,0
1,AT1-R,glyphosate,2,3x,4,1,0
1,AT1-R,glyphosate,2,3x,5,,
1,AT1-R,glyphosate,2,3x,6,,
1,AT1-R,glyphosate,2,3x,7,,
1,AT1-R,glyphosate,2,3x,8,,
1,AT2-R,control,0,1x,1,10,1.9956
1,AT2-R,control,0,1x,2,10,1.4818
1,AT2-R,control,0,1x,3,10,2.7702
1,AT2-R,control,0,1x,4,10,1.4936
1,AT2-R,glyphosate,2,1x,1,7,0.7589
1,AT2-R,glyphosate,2,1x,2,6,0.2961
1,AT2-R,glyphosate,2,1x,3,6,0.223
1,AT2-R,glyphosate,2,1x,4,5,0.3549
1,AT2-R,glyphosate,2,1x,5,1,0
1,AT2-R,glyphosate,2,1x,6,5,0.1174
1,AT2-R,glyphosate,2,1x,7,6,0.2555
1,AT2-R,glyphosate,2,1x,8,6,0.5116
1,AT2-R,glyphosate,2,3x,1,1,0
1,AT2-R,glyphosate,2,3x,2,1,0
1,AT2-R,glyphosate,2,3x,3,1,0
1,AT2-R,glyphosate,2,3x,4,3,0.1148
1,AT2-R,glyphosate,2,3x,5,1,0
1,AT2-R,glyphosate,2,3x,6,3,0.1766
1,AT2-R,glyphosate,2,3x,7,1,0
1,AT2-R,glyphosate,2,3x,8,3,0.1833
1,AT4-R,control,0,1x,1,10,1.9225
1,AT4-R,control,0,1x,2,10,1.4006
1,AT4-R,control,0,1x,3,10,1.2571
1,AT4-R,control,0,1x,4,10,2.0728
1,AT4-R,glyphosate,2,1x,1,6,0.3747
1,AT4-R,glyphosate,2,1x,2,7,0.4049
1,AT4-R,glyphosate,2,1x,3,4,0.146
1,AT4-R,glyphosate,2,1x,4,7,0.9288
1,AT4-R,glyphosate,2,1x,5,,
1,AT4-R,glyphosate,2,1x,6,,
1,AT4-R,glyphosate,2,1x,7,,
1,AT4-R,glyphosate,2,1x,8,,
1,AT4-R,glyphosate,2,3x,1,1,0
1,AT4-R,glyphosate,2,3x,2,3,0.1172
1,AT4-R,glyphosate,2,3x,3,1,0
1,AT4-R,glyphosate,2,3x,4,1,0
1,AT4-R,glyphosate,2,3x,5,,
1,AT4-R,glyphosate,2,3x,6,,
1,AT4-R,glyphosate,2,3x,7,,
1,AT4-R,glyphosate,2,3x,8,,
1,AT5-R,control,0,1x,1,10,1.8903
1,AT5-R,control,0,1x,2,10,1.8451
1,AT5-R,control,0,1x,3,10,1.6645
1,AT5-R,control,0,1x,4,10,2.4458
1,AT5-R,glyphosate,2,1x,1,4,0.1536
1,AT5-R,glyphosate,2,1x,2,6,0.3775
1,AT5-R,glyphosate,2,1x,3,7,0.4233
1,AT5-R,glyphosate,2,1x,4,6,0.4136
1,AT5-R,glyphosate,2,1x,5,1,0
1,AT5-R,glyphosate,2,1x,6,5,0.1725
1,AT5-R,glyphosate,2,1x,7,5,0.3334
1,AT5-R,glyphosate,2,1x,8,6,0.2095
1,AT5-R,glyphosate,2,3x,1,3,0.1034
1,AT5-R,glyphosate,2,3x,2,4,0.1285
1,AT5-R,glyphosate,2,3x,3,4,
1,AT5-R,glyphosate,2,3x,4,5,0.1875
1,AT5-R,glyphosate,2,3x,5,4,0.1358
1,AT5-R,glyphosate,2,3x,6,1,0
1,AT5-R,glyphosate,2,3x,7,1,0
1,AT5-R,glyphosate,2,3x,8,1,0
1,AT6-R,control,0,1x,1,10,1.1087
1,AT6-R,control,0,1x,2,10,1.5768
1,AT6-R,control,0,1x,3,10,1.1844
1,AT6-R,control,0,1x,4,10,2.4556
1,AT6-R,glyphosate,2,1x,1,6,0.5872
1,AT6-R,glyphosate,2,1x,2,6,0.2655
1,AT6-R,glyphosate,2,1x,3,6,0.2635
1,AT6-R,glyphosate,2,1x,4,5,0.1335
1,AT6-R,glyphosate,2,1x,5,3,0.1074
1,AT6-R,glyphosate,2,1x,6,7,0.64
1,AT6-R,glyphosate,2,1x,7,4,0.2381
1,AT6-R,glyphosate,2,1x,8,,
1,AT6-R,glyphosate,2,3x,1,1,0
1,AT6-R,glyphosate,2,3x,2,1,0
1,AT6-R,glyphosate,2,3x,3,3,0.1704
1,AT6-R,glyphosate,2,3x,4,3,0.0785
1,AT6-R,glyphosate,2,3x,5,2,0.0985
1,AT6-R,glyphosate,2,3x,6,1,0
1,AT6-R,glyphosate,2,3x,7,3,0.1455
1,AT6-R,glyphosate,2,3x,8,,
1,AT8-R,control,0,1x,1,10,1.4055
1,AT8-R,control,0,1x,2,10,0.9155
1,AT8-R,control,0,1x,3,10,0.577
1,AT8-R,control,0,1x,4,10,1.2222
1,AT8-R,glyphosate,2,1x,1,7,0.6509
1,AT8-R,glyphosate,2,1x,2,7,0.2323
1,AT8-R,glyphosate,2,1x,3,6,0.1875
1,AT8-R,glyphosate,2,1x,4,5,0.2599
1,AT8-R,glyphosate,2,1x,5,,
1,AT8-R,glyphosate,2,1x,6,,
1,AT8-R,glyphosate,2,1x,7,,
1,AT8-R,glyphosate,2,1x,8,,
1,AT8-R,glyphosate,2,3x,1,2,0.1318
1,AT8-R,glyphosate,2,3x,2,3,0.0577
1,AT8-R,glyphosate,2,3x,3,4,0.1631
1,AT8-R,glyphosate,2,3x,4,1,0
1,AT8-R,glyphosate,2,3x,5,,
1,AT8-R,glyphosate,2,3x,6,,
1,AT8-R,glyphosate,2,3x,7,,
1,AT8-R,glyphosate,2,3x,8,,
1,AT8-S,control,0,1x,1,10,1.4952
1,AT8-S,control,0,1x,2,10,1.8628
1,AT8-S,control,0,1x,3,10,1.7338
1,AT8-S,control,0,1x,4,10,2.0456
1,AT8-S,glyphosate,2,1x,1,4,0.0984
1,AT8-S,glyphosate,2,1x,2,6,0.288
1,AT8-S,glyphosate,2,1x,3,5,0.2844
1,AT8-S,glyphosate,2,1x,4,6,0.3513
1,AT8-S,glyphosate,2,1x,5,5,0.1457
1,AT8-S,glyphosate,2,1x,6,6,0.1924
1,AT8-S,glyphosate,2,1x,7,6,0.4152
1,AT8-S,glyphosate,2,1x,8,6,0.2745
1,AT8-S,glyphosate,2,3x,1,1,0
1,AT8-S,glyphosate,2,3x,2,1,0
1,AT8-S,glyphosate,2,3x,3,1,0
1,AT8-S,glyphosate,2,3x,4,1,0
1,AT8-S,glyphosate,2,3x,5,1,0
1,AT8-S,glyphosate,2,3x,6,1,0
1,AT8-S,glyphosate,2,3x,7,1,0
1,AT8-S,glyphosate,2,3x,8,1,0
1,AT10,control,0,1x,1,10,1.5
1,AT10,control,0,1x,2,10,1.2321
1,AT10,control,0,1x,3,10,2.3382
1,AT10,control,0,1x,4,10,0.9944
1,AT10,glyphosate,2,1x,1,1,0
1,AT10,glyphosate,2,1x,2,9,1.3701
1,AT10,glyphosate,2,1x,3,9,1.028
1,AT10,glyphosate,2,1x,4,9,1.2962
1,AT10,glyphosate,2,1x,5,7,0.6211
1,AT10,glyphosate,2,1x,6,9,1.1852
1,AT10,glyphosate,2,1x,7,4,0.2423
1,AT10,glyphosate,2,1x,8,9,1.1081
1,AT10,glyphosate,2,3x,1,1,0
1,AT10,glyphosate,2,3x,2,4,0.1388
1,AT10,glyphosate,2,3x,3,4,0.2071
1,AT10,glyphosate,2,3x,4,3,0.1604
1,AT10,glyphosate,2,3x,5,4,0.1955
1,AT10,glyphosate,2,3x,6,5,0.169
1,AT10,glyphosate,2,3x,7,7,0.5929
1,AT10,glyphosate,2,3x,8,4,0.244
1,ATBP-S,control,0,1x,1,10,2.0074
1,ATBP-S,control,0,1x,2,10,1.8241
1,ATBP-S,control,0,1x,3,10,2.834
1,ATBP-S,control,0,1x,4,10,1.6885
1,ATBP-S,glyphosate,2,1x,1,5,0.367
1,ATBP-S,glyphosate,2,1x,2,1,0
1,ATBP-S,glyphosate,2,1x,3,6,0.2093
1,ATBP-S,glyphosate,2,1x,4,5,0.4047
1,ATBP-S,glyphosate,2,1x,5,6,0.3929
1,ATBP-S,glyphosate,2,1x,6,6,0.5435
1,ATBP-S,glyphosate,2,1x,7,5,0.3069
1,ATBP-S,glyphosate,2,1x,8,5,0.4142
1,ATBP-S,glyphosate,2,3x,1,1,0
1,ATBP-S,glyphosate,2,3x,2,1,0
1,ATBP-S,glyphosate,2,3x,3,1,0
1,ATBP-S,glyphosate,2,3x,4,3,0.1274
1,ATBP-S,glyphosate,2,3x,5,1,0
1,ATBP-S,glyphosate,2,3x,6,2,0.1415
1,ATBP-S,glyphosate,2,3x,7,1,0
1,ATBP-S,glyphosate,2,3x,8,1,0
2,AT1-R,control,0,1x,1,10,0.6542
2,AT1-R,control,0,1x,2,10,1.5605
2,AT1-R,control,0,1x,3,10,0.9453
2,AT1-R,control,0,1x,4,,
2,AT1-R,glyphosate,2,1x,1,1,0
2,AT1-R,glyphosate,2,1x,2,5,0.1722
2,AT1-R,glyphosate,2,1x,3,5,0.1675
2,AT1-R,glyphosate,2,1x,4,1,0
2,AT1-R,glyphosate,2,1x,5,5,0.228
2,AT1-R,glyphosate,2,1x,6,,
2,AT1-R,glyphosate,2,1x,7,,
2,AT1-R,glyphosate,2,1x,8,,
2,AT1-R,glyphosate,2,3x,1,1,0
2,AT1-R,glyphosate,2,3x,2,1,0
2,AT1-R,glyphosate,2,3x,3,1,0
2,AT1-R,glyphosate,2,3x,4,2,0.0661
2,AT1-R,glyphosate,2,3x,5,1,0
2,AT1-R,glyphosate,2,3x,6,,
2,AT1-R,glyphosate,2,3x,7,,
2,AT1-R,glyphosate,2,3x,8,,
2,AT2-R,control,0,1x,1,10,1.6561
2,AT2-R,control,0,1x,2,10,2.0092
2,AT2-R,control,0,1x,3,10,1.4593
2,AT2-R,control,0,1x,4,,
2,AT2-R,glyphosate,2,1x,1,1,0
2,AT2-R,glyphosate,2,1x,2,1,0
2,AT2-R,glyphosate,2,1x,3,1,0
2,AT2-R,glyphosate,2,1x,4,,
2,AT2-R,glyphosate,2,1x,5,,
2,AT2-R,glyphosate,2,1x,6,,
2,AT2-R,glyphosate,2,1x,7,,
2,AT2-R,glyphosate,2,1x,8,,
2,AT2-R,glyphosate,2,3x,1,1,0
2,AT2-R,glyphosate,2,3x,2,1,0
2,AT2-R,glyphosate,2,3x,3,1,0
2,AT2-R,glyphosate,2,3x,4,,
2,AT2-R,glyphosate,2,3x,5,,
2,AT2-R,glyphosate,2,3x,6,,
2,AT2-R,glyphosate,2,3x,7,,
2,AT2-R,glyphosate,2,3x,8,,
2,AT4-R,control,0,1x,1,10,1.8728
2,AT4-R,control,0,1x,2,10,2.2148
2,AT4-R,control,0,1x,3,10,1.8955
2,AT4-R,control,0,1x,4,10,1.928
2,AT4-R,glyphosate,2,1x,1,1,0
2,AT4-R,glyphosate,2,1x,2,5,0.3753
2,AT4-R,glyphosate,2,1x,3,7,0.345
2,AT4-R,glyphosate,2,1x,4,2,0.1309
2,AT4-R,glyphosate,2,1x,5,1,0
2,AT4-R,glyphosate,2,1x,6,1,0
2,AT4-R,glyphosate,2,1x,7,1,0
2,AT4-R,glyphosate,2,1x,8,4,0.3412
2,AT4-R,glyphosate,2,3x,1,2,0.2131
