run,pop,herb,order,rate,rep,ve,biomass
1,KEI3,control,0,1x,1,10,5.34
1,KEI3,control,0,1x,2,10,4.55
1,KEI3,control,0,1x,3,10,7.77
1,KEI3,control,0,1x,4,10,5.86
1,KEI3,control,0,1x,5,10,4.61
1,KEI3,control,0,1x,6,10,3.04
1,KEI3,control,0,1x,7,10,5.12
1,KEI3,control,0,1x,8,10,6.26
1,KEI3,imazethapyr,1,1x,1,9,
1,KEI3,imazethapyr,1,1x,2,7,0.53
1,KEI3,imazethapyr,1,1x,3,2,0.14
1,KEI3,imazethapyr,1,1x,4,9,2.45
1,KEI3,imazethapyr,1,1x,5,9,2.18
1,KEI3,imazethapyr,1,1x,6,9,4.55
1,KEI3,imazethapyr,1,1x,7,9,1.87
1,KEI3,imazethapyr,1,1x,8,8,0.53
1,KEI3,imazethapyr,1,3x,1,7,1.44
1,KEI3,imazethapyr,1,3x,2,7,3.11
1,KEI3,imazethapyr,1,3x,3,8,2.21
1,KEI3,imazethapyr,1,3x,4,6,0.29
1,KEI3,imazethapyr,1,3x,5,9,4.51
1,KEI3,imazethapyr,1,3x,6,1,0
1,KEI3,imazethapyr,1,3x,7,6,0.71
1,KEI3,imazethapyr,1,3x,8,9,2.21
1,KEI3,dicamba,4,1x,1,1,0
1,KEI3,dicamba,4,1x,2,3,0.29
1,KEI3,dicamba,4,1x,3,1,0
1,KEI3,dicamba,4,1x,4,1,0
1,KEI3,dicamba,4,1x,5,4,0.5
1,KEI3,dicamba,4,1x,6,1,0
1,KEI3,dicamba,4,1x,7,1,0
1,KEI3,dicamba,4,1x,8,5,0.58
1,KEI3,dicamba,4,3x,1,1,0
1,KEI3,dicamba,4,3x,2,1,0
1,KEI3,dicamba,4,3x,3,1,0
1,KEI3,dicamba,4,3x,4,1,0
1,KEI3,dicamba,4,3x,5,1,0
1,KEI3,dicamba,4,3x,6,1,0
1,KEI3,dicamba,4,3x,7,6,0.23
1,KEI3,dicamba,4,3x,8,1,0
1,KEI3,"2,4-D",5,1x,1,1,0
1,KEI3,"2,4-D",5,1x,2,1,0
1,KEI3,"2,4-D",5,1x,3,5,2.38
1,KEI3,"2,4-D",5,1x,4,1,0
1,KEI3,"2,4-D",5,1x,5,1,0
1,KEI3,"2,4-D",5,1x,6,1,0
1,KEI3,"2,4-D",5,1x,7,6,1.99
1,KEI3,"2,4-D",5,1x,8,1,0
1,KEI3,"2,4-D",5,3x,1,1,0
1,KEI3,"2,4-D",5,3x,2,4,0.41
1,KEI3,"2,4-D",5,3x,3,1,0
1,KEI3,"2,4-D",5,3x,4,4,0.25
1,KEI3,"2,4-D",5,3x,5,1,0
1,KEI3,"2,4-D",5,3x,6,1,0
1,KEI3,"2,4-D",5,3x,7,2,0.18
1,KEI3,"2,4-D",5,3x,8,1,0
1,KEI3,atrazine,3,1x,1,1,0
1,KEI3,atrazine,3,1x,2,6,0.13
1,KEI3,atrazine,3,1x,3,1,0
1,KEI3,atrazine,3,1x,4,1,0
1,KEI3,atrazine,3,1x,5,1,0
1,KEI3,atrazine,3,1x,6,1,0
1,KEI3,atrazine,3,1x,7,1,0
1,KEI3,atrazine,3,1x,8,1,0
1,KEI3,atrazine,3,3x,1,1,0
1,KEI3,atrazine,3,3x,2,1,0
1,KEI3,atrazine,3,3x,3,1,0
1,KEI3,atrazine,3,3x,4,8,2.16
1,KEI3,atrazine,3,3x,5,1,0
1,KEI3,atrazine,3,3x,6,1,0
1,KEI3,atrazine,3,3x,7,1,0
1,KEI3,atrazine,3,3x,8,1,0
1,KEI3,glyphosate,2,1x,1,1,0
1,KEI3,glyphosate,2,1x,2,1,0
1,KEI3,glyphosate,2,1x,3,1,0
1,KEI3,glyphosate,2,1x,4,1,0
1,KEI3,glyphosate,2,1x,5,1,0
1,KEI3,glyphosate,2,1x,6,1,0
1,KEI3,glyphosate,2,1x,7,1,0
1,KEI3,glyphosate,2,1x,8,1,0
1,KEI3,glyphosate,2,3x,1,1,0
1,KEI3,glyphosate,2,3x,2,1,0
1,KEI3,glyphosate,2,3x,3,1,0
1,KEI3,glyphosate,2,3x,4,1,0
1,KEI3,glyphosate,2,3x,5,1,0
1,KEI3,glyphosate,2,3x,6,1,0
1,KEI3,glyphosate,2,3x,7,1,0
1,KEI3,glyphosate,2,3x,8,1,0
1,KEI3,glufosinate,8,1x,1,1,0
1,KEI3,glufosinate,8,1x,2,1,0
1,KEI3,glufosinate,8,1x,3,1,0
1,KEI3,glufosinate,8,1x,4,1,0
1,KEI3,glufosinate,8,1x,5,1,0
1,KEI3,glufosinate,8,1x,6,1,0
1,KEI3,glufosinate,8,1x,7,1,0
1,KEI3,glufosinate,8,1x,8,1,0
1,KEI3,glufosinate,8,3x,1,1,0
1,KEI3,glufosinate,8,3x,2,1,0
1,KEI3,glufosinate,8,3x,3,1,0
1,KEI3,glufosinate,8,3x,4,1,0
1,KEI3,glufosinate,8,3x,5,1,0
1,KEI3,glufosinate,8,3x,6,1,0
1,KEI3,glufosinate,8,3x,7,1,0
1,KEI3,glufosinate,8,3x,8,1,0
1,KEI3,lactofen,6,1x,1,1,0
1,KEI3,lactofen,6,1x,2,6,0.34
1,KEI3,lactofen,6,1x,3,1,0
1,KEI3,lactofen,6,1x,4,1,0
1,KEI3,lactofen,6,1x,5,1,0
1,KEI3,lactofen,6,1x,6,1,0
1,KEI3,lactofen,6,1x,7,1,0
1,KEI3,lactofen,6,1x,8,1,0
1,KEI3,lactofen,6,3x,1,1,0
1,KEI3,lactofen,6,3x,2,7,0.86
1,KEI3,lactofen,6,3x,3,1,0
1,KEI3,lactofen,6,3x,4,1,0
1,KEI3,lactofen,6,3x,5,1,0
