run,pop,herb,order,rate,rep,count,biomass
1,KEI3,control,0,0.5x,1,6,1.5338
1,KEI3,control,0,0.5x,2,86,1.8958
1,KEI3,control,0,0.5x,3,82,2.2622
1,KEI3,control,0,0.5x,4,15,1.5914
1,KEI3,atrazine,1,0.5x,1,12,1.8562
1,KEI3,atrazine,1,0.5x,2,8,1.019
1,KEI3,atrazine,1,0.5x,3,5,0.7042
1,KEI3,atrazine,1,0.5x,4,2,0.4069
1,KEI3,atrazine,1,1x,1,0,0
1,KEI3,atrazine,1,1x,2,4,0.8835
1,KEI3,atrazine,1,1x,3,0,0
1,KEI3,atrazine,1,1x,4,5,0.4233
1,KEI3,atrazine,1,3x,1,1,0.079
1,KEI3,atrazine,1,3x,2,0,0
1,KEI3,atrazine,1,3x,3,4,0.2358
1,KEI3,atrazine,1,3x,4,1,0.0049
1,KEI3,metribuzin,3,0.5x,1,1,0.1583
1,KEI3,metribuzin,3,0.5x,2,0,0
1,KEI3,metribuzin,3,0.5x,3,0,0
1,KEI3,metribuzin,3,0.5x,4,0,0
1,KEI3,metribuzin,3,1x,1,0,0
1,KEI3,metribuzin,3,1x,2,0,0
1,KEI3,metribuzin,3,1x,3,0,0
1,KEI3,metribuzin,3,1x,4,0,0
1,KEI3,metribuzin,3,3x,1,0,0
1,KEI3,metribuzin,3,3x,2,0,0
1,KEI3,metribuzin,3,3x,3,0,0
1,KEI3,metribuzin,3,3x,4,0,0
1,KEI3,sulfentrazone,5,0.5x,1,0,0
1,KEI3,sulfentrazone,5,0.5x,2,0,0
1,KEI3,sulfentrazone,5,0.5x,3,1,0.2062
1,KEI3,sulfentrazone,5,0.5x,4,0,0
1,KEI3,sulfentrazone,5,1x,1,0,0
1,KEI3,sulfentrazone,5,1x,2,0,0
1,KEI3,sulfentrazone,5,1x,3,0,0
1,KEI3,sulfentrazone,5,1x,4,0,0
1,KEI3,sulfentrazone,5,3x,1,0,0
1,KEI3,sulfentrazone,5,3x,2,0,0
1,KEI3,sulfentrazone,5,3x,3,0,0
1,KEI3,sulfentrazone,5,3x,4,0,0
1,KEI3,s-metolachlor,4,0.5x,1,1,0.0713
1,KEI3,s-metolachlor,4,0.5x,2,0,0
1,KEI3,s-metolachlor,4,0.5x,3,2,0.3569
1,KEI3,s-metolachlor,4,0.5x,4,0,0
1,KEI3,s-metolachlor,4,1x,1,0,0
1,KEI3,s-metolachlor,4,1x,2,0,0
1,KEI3,s-metolachlor,4,1x,3,0,0
1,KEI3,s-metolachlor,4,1x,4,0,0
1,KEI3,s-metolachlor,4,3x,1,0,0
1,KEI3,s-metolachlor,4,3x,2,0,0
1,KEI3,s-metolachlor,4,3x,3,0,0
1,KEI3,s-metolachlor,4,3x,4,0,0
1,KEI3,mesotrione,2,0.5x,1,0,0
1,KEI3,mesotrione,2,0.5x,2,3,0.0056
1,KEI3,mesotrione,2,0.5x,3,0,0
1,KEI3,mesotrione,2,0.5x,4,0,0
1,KEI3,mesotrione,2,1x,1,0,0
1,KEI3,mesotrione,2,1x,2,0,0
1,KEI3,mesotrione,2,1x,3,0,0
1,KEI3,mesotrione,2,1x,4,0,0
1,KEI3,mesotrione,2,3x,1,0,0
1,KEI3,mesotrione,2,3x,2,0,0
1,KEI3,mesotrione,2,3x,3,0,0
1,KEI3,mesotrione,2,3x,4,0,0
1,KEI2,control,0,0.5x,1,4,0.7991
1,KEI2,control,0,0.5x,2,74,1.8536
1,KEI2,control,0,0.5x,3,86,1.7047
1,KEI2,control,0,0.5x,4,0,0
1,KEI2,atrazine,1,0.5x,1,2,0.8795
1,KEI2,atrazine,1,0.5x,2,1,0.0421
1,KEI2,atrazine,1,0.5x,3,15,1.5446
1,KEI2,atrazine,1,0.5x,4,0,0
1,KEI2,atrazine,1,1x,1,0,0
1,KEI2,atrazine,1,1x,2,4,0.8838
1,KEI2,atrazine,1,1x,3,1,0.1977
1,KEI2,atrazine,1,1x,4,1,0.0147
1,KEI2,atrazine,1,3x,1,0,0
1,KEI2,atrazine,1,3x,2,0,0
1,KEI2,atrazine,1,3x,3,0,0
1,KEI2,atrazine,1,3x,4,6,0.9761
1,KEI2,metribuzin,3,0.5x,1,2,0.0214
1,KEI2,metribuzin,3,0.5x,2,7,0.1591
1,KEI2,metribuzin,3,0.5x,3,0,0
1,KEI2,metribuzin,3,0.5x,4,0,0
1,KEI2,metribuzin,3,1x,1,0,0
1,KEI2,metribuzin,3,1x,2,0,0
1,KEI2,metribuzin,3,1x,3,0,0
1,KEI2,metribuzin,3,1x,4,0,0
1,KEI2,metribuzin,3,3x,1,0,0
1,KEI2,metribuzin,3,3x,2,0,0
1,KEI2,metribuzin,3,3x,3,0,0
1,KEI2,metribuzin,3,3x,4,0,0
1,KEI2,sulfentrazone,5,0.5x,1,0,0
1,KEI2,sulfentrazone,5,0.5x,2,0,0
1,KEI2,sulfentrazone,5,0.5x,3,0,0
1,KEI2,sulfentrazone,5,0.5x,4,1,0.4782
1,KEI2,sulfentrazone,5,1x,1,1,0.2245
1,KEI2,sulfentrazone,5,1x,2,0,0
1,KEI2,sulfentrazone,5,1x,3,0,0
1,KEI2,sulfentrazone,5,1x,4,0,0
1,KEI2,sulfentrazone,5,3x,1,0,0
1,KEI2,sulfentrazone,5,3x,2,0,0
1,KEI2,sulfentrazone,5,3x,3,0,0
1,KEI2,sulfentrazone,5,3x,4,0,0
1,KEI2,s-metolachlor,4,0.5x,1,12,1.2232
1,KEI2,s-metolachlor,4,0.5x,2,2,0.0071
1,KEI2,s-metolachlor,4,0.5x,3,2,0.1854
1,KEI2,s-metolachlor,4,0.5x,4,0,0
1,KEI2,s-metolachlor,4,1x,1,0,0
1,KEI2,s-metolachlor,4,1x,2,0,0
1,KEI2,s-metolachlor,4,1x,3,1,0.0039
1,KEI2,s-metolachlor,4,1x,4,0,0
1,KEI2,s-metolachlor,4,3x,1,0,0
1,KEI2,s-metolachlor,4,3x,2,0,0
1,KEI2,s-metolachlor,4,3x,3,0,0
1,KEI2,s-metolachlor,4,3x,4,0,0
1,KEI2,mesotrione,2,0.5x,1,3,0.416
1,KEI2,mesotrione,2,0.5x,2,3,0.3624
1,KEI2,mesotrione,2,0.5x,3,3,0.9128
1,KEI2,mesotrione,2,0.5x,4,0,0
1,KEI2,mesotrione,2,1x,1,0,0
1,KEI2,mesotrione,2,1x,2,0,0
1,KEI2,mesotrione,2,1x,3,0,0
1,KEI2,mesotrione,2,1x,4,0,0
1,KEI2,mesotrione,2,3x,1,0,0
