run,pop,herb,order,Rate,rep,count,biomass,count_red,bio_red
1,KEI3,Atrazine,1,0.5x,1,12,1.8562,0.746031746,1.00E-10
1,KEI3,Atrazine,1,0.5x,2,8,1.019,0.830687831,0.440355888
1,KEI3,Atrazine,1,0.5x,3,5,0.7042,0.894179894,0.613246924
1,KEI3,Atrazine,1,0.5x,4,2,0.4069,0.957671958,0.776526801
1,KEI3,Atrazine,1,1x,1,0,0,1,1
1,KEI3,Atrazine,1,1x,2,4,0.8835,0.915343915,0.514773726
1,KEI3,Atrazine,1,1x,3,0,0,1,1
1,KEI3,Atrazine,1,1x,4,5,0.4233,0.894179894,0.767519772
1,KEI3,Atrazine,1,3x,1,1,0.079,0.978835979,0.956612478
1,KEI3,Atrazine,1,3x,2,0,0,1,1
1,KEI3,Atrazine,1,3x,3,4,0.2358,0.915343915,0.870496485
1,KEI3,Atrazine,1,3x,4,1,0.0049,0.978835979,0.997308875
1,KEI3,Metribuzin,3,0.5x,1,1,0.1583,0.978835979,0.913060193
1,KEI3,Metribuzin,3,0.5x,2,0,0,1,1
1,KEI3,Metribuzin,3,0.5x,3,0,0,1,1
1,KEI3,Metribuzin,3,0.5x,4,0,0,1,1
1,KEI3,Metribuzin,3,1x,1,0,0,1,1
1,KEI3,Metribuzin,3,1x,2,0,0,1,1
1,KEI3,Metribuzin,3,1x,3,0,0,1,1
1,KEI3,Metribuzin,3,1x,4,0,0,1,1
1,KEI3,Metribuzin,3,3x,1,0,0,1,1
1,KEI3,Metribuzin,3,3x,2,0,0,1,1
1,KEI3,Metribuzin,3,3x,3,0,0,1,1
1,KEI3,Metribuzin,3,3x,4,0,0,1,1
1,KEI3,Sulfentrazone,5,0.5x,1,0,0,1,1
1,KEI3,Sulfentrazone,5,0.5x,2,0,0,1,1
1,KEI3,Sulfentrazone,5,0.5x,3,1,0.2062,0.978835979,0.886753076
1,KEI3,Sulfentrazone,5,0.5x,4,0,0,1,1
1,KEI3,Sulfentrazone,5,1x,1,0,0,1,1
1,KEI3,Sulfentrazone,5,1x,2,0,0,1,1
1,KEI3,Sulfentrazone,5,1x,3,0,0,1,1
1,KEI3,Sulfentrazone,5,1x,4,0,0,1,1
1,KEI3,Sulfentrazone,5,3x,1,0,0,1,1
1,KEI3,Sulfentrazone,5,3x,2,0,0,1,1
1,KEI3,Sulfentrazone,5,3x,3,0,0,1,1
1,KEI3,Sulfentrazone,5,3x,4,0,0,1,1
1,KEI3,S-metolachlor,4,0.5x,1,1,0.0713,0.978835979,0.960841388
1,KEI3,S-metolachlor,4,0.5x,2,0,0,1,1
1,KEI3,S-metolachlor,4,0.5x,3,2,0.3569,0.957671958,0.803987258
1,KEI3,S-metolachlor,4,0.5x,4,0,0,1,1
1,KEI3,S-metolachlor,4,1x,1,0,0,1,1
1,KEI3,S-metolachlor,4,1x,2,0,0,1,1
1,KEI3,S-metolachlor,4,1x,3,0,0,1,1
1,KEI3,S-metolachlor,4,1x,4,0,0,1,1
1,KEI3,S-metolachlor,4,3x,1,0,0,1,1
1,KEI3,S-metolachlor,4,3x,2,0,0,1,1
1,KEI3,S-metolachlor,4,3x,3,0,0,1,1
1,KEI3,S-metolachlor,4,3x,4,0,0,1,1
1,KEI3,Mesotrione,2,0.5x,1,0,0,1,1
1,KEI3,Mesotrione,2,0.5x,2,3,0.0056,0.936507937,0.996924429
1,KEI3,Mesotrione,2,0.5x,3,0,0,1,1
1,KEI3,Mesotrione,2,0.5x,4,0,0,1,1
1,KEI3,Mesotrione,2,1x,1,0,0,1,1
1,KEI3,Mesotrione,2,1x,2,0,0,1,1
1,KEI3,Mesotrione,2,1x,3,0,0,1,1
1,KEI3,Mesotrione,2,1x,4,0,0,1,1
1,KEI3,Mesotrione,2,3x,1,0,0,1,1
1,KEI3,Mesotrione,2,3x,2,0,0,1,1
1,KEI3,Mesotrione,2,3x,3,0,0,1,1
1,KEI3,Mesotrione,2,3x,4,0,0,1,1
1,KEI2,Atrazine,1,0.5x,1,2,0.8795,0.951219512,0.192637812
1,KEI2,Atrazine,1,0.5x,2,1,0.0421,0.975609756,0.961353101
1,KEI2,Atrazine,1,0.5x,3,15,1.5446,0.634146342,1.00E-10
1,KEI2,Atrazine,1,0.5x,4,0,0,1,1
1,KEI2,Atrazine,1,1x,1,0,0,1,1
1,KEI2,Atrazine,1,1x,2,4,0.8838,0.902439024,0.188690504
