pop,dose,herb,rep,run,mort,bio_red
KEI3,0.5x,atrazine,1,1,0.746031746,0.01
KEI3,0.5x,atrazine,2,1,0.830687831,0.440355888
KEI3,0.5x,atrazine,3,1,0.894179894,0.613246924
KEI3,0.5x,atrazine,4,1,0.957671958,0.776526801
KEI3,1.0x,atrazine,1,1,0.99,0.99
KEI3,1.0x,atrazine,2,1,0.915343915,0.514773726
KEI3,1.0x,atrazine,3,1,0.99,0.99
KEI3,1.0x,atrazine,4,1,0.894179894,0.767519772
KEI3,3.0x,atrazine,1,1,0.978835979,0.956612478
KEI3,3.0x,atrazine,2,1,0.99,0.99
KEI3,3.0x,atrazine,3,1,0.915343915,0.870496485
KEI3,3.0x,atrazine,4,1,0.978835979,0.997308875
KEI3,0.5x,metribuzin,1,1,0.978835979,0.913060193
KEI3,0.5x,metribuzin,2,1,0.99,0.99
KEI3,0.5x,metribuzin,3,1,0.99,0.99
KEI3,0.5x,metribuzin,4,1,0.99,0.99
KEI3,1.0x,metribuzin,1,1,0.99,0.99
KEI3,1.0x,metribuzin,2,1,0.99,0.99
KEI3,1.0x,metribuzin,3,1,0.99,0.99
KEI3,1.0x,metribuzin,4,1,0.99,0.99
KEI3,3.0x,metribuzin,1,1,0.99,0.99
KEI3,3.0x,metribuzin,2,1,0.99,0.99
KEI3,3.0x,metribuzin,3,1,0.99,0.99
KEI3,3.0x,metribuzin,4,1,0.99,0.99
KEI3,0.5x,sulfentrazone,1,1,0.99,0.99
KEI3,0.5x,sulfentrazone,2,1,0.99,0.99
KEI3,0.5x,sulfentrazone,3,1,0.978835979,0.886753076
KEI3,0.5x,sulfentrazone,4,1,0.99,0.99
KEI3,1.0x,sulfentrazone,1,1,0.99,0.99
KEI3,1.0x,sulfentrazone,2,1,0.99,0.99
KEI3,1.0x,sulfentrazone,3,1,0.99,0.99
KEI3,1.0x,sulfentrazone,4,1,0.99,0.99
KEI3,3.0x,sulfentrazone,1,1,0.99,0.99
KEI3,3.0x,sulfentrazone,2,1,0.99,0.99
KEI3,3.0x,sulfentrazone,3,1,0.99,0.99
KEI3,3.0x,sulfentrazone,4,1,0.99,0.99
KEI3,0.5x,s-metolachlor,1,1,0.978835979,0.960841388
KEI3,0.5x,s-metolachlor,2,1,0.99,0.99
KEI3,0.5x,s-metolachlor,3,1,0.957671958,0.803987258
KEI3,0.5x,s-metolachlor,4,1,0.99,0.99
KEI3,1.0x,s-metolachlor,1,1,0.99,0.99
KEI3,1.0x,s-metolachlor,2,1,0.99,0.99
KEI3,1.0x,s-metolachlor,3,1,0.99,0.99
KEI3,1.0x,s-metolachlor,4,1,0.99,0.99
KEI3,3.0x,s-metolachlor,1,1,0.99,0.99
KEI3,3.0x,s-metolachlor,2,1,0.99,0.99
KEI3,3.0x,s-metolachlor,3,1,0.99,0.99
KEI3,3.0x,s-metolachlor,4,1,0.99,0.99
KEI3,0.5x,mesotrione,1,1,0.99,0.99
KEI3,0.5x,mesotrione,2,1,0.936507937,0.996924429
