run,pop,herb,order,rate,rep,ve,biomass
1,A1,control,0,1x,1,10,2.268
1,A1,control,0,1x,2,10,2.7873
1,A1,control,0,1x,3,10,
1,A1,control,0,1x,4,10,2.06
1,A1,glyphosate,2,1x,1,9,1.9145
1,A1,glyphosate,2,1x,2,9,2.1792
1,A1,glyphosate,2,1x,3,8,0.9946
1,A1,glyphosate,2,1x,4,9,1.9769
1,A1,glyphosate,2,1x,5,9,1.2498
1,A1,glyphosate,2,1x,6,9,2.2653
1,A1,glyphosate,2,1x,7,9,2.2264
1,A1,glyphosate,2,1x,8,9,2.0881
1,A1,glyphosate,2,3x,1,9,2.029
1,A1,glyphosate,2,3x,2,8,3.1286
1,A1,glyphosate,2,3x,3,1,0
1,A1,glyphosate,2,3x,4,4,0.2218
1,A1,glyphosate,2,3x,5,6,0.3355
1,A1,glyphosate,2,3x,6,2,0.0653
1,A1,glyphosate,2,3x,7,8,1.4421
1,A1,glyphosate,2,3x,8,8,2.0101
1,A2,control,0,1x,1,10,2.8203
1,A2,control,0,1x,2,10,3.2069
1,A2,control,0,1x,3,10,2.4912
1,A2,control,0,1x,4,10,2.7491
1,A2,glyphosate,2,1x,1,9,1.9244
1,A2,glyphosate,2,1x,2,9,2.8625
1,A2,glyphosate,2,1x,3,9,2.5127
1,A2,glyphosate,2,1x,4,8,1.2523
1,A2,glyphosate,2,1x,5,9,2.2451
1,A2,glyphosate,2,1x,6,9,2.0873
1,A2,glyphosate,2,1x,7,8,2.4949
1,A2,glyphosate,2,1x,8,9,2.0815
1,A2,glyphosate,2,3x,1,7,1.6346
1,A2,glyphosate,2,3x,2,7,0.623
1,A2,glyphosate,2,3x,3,4,0.185
1,A2,glyphosate,2,3x,4,7,0.6813
1,A2,glyphosate,2,3x,5,1,0
1,A2,glyphosate,2,3x,6,7,1.7115
1,A2,glyphosate,2,3x,7,5,0.3152
1,A2,glyphosate,2,3x,8,7,0.3372
1,A3,control,0,1x,1,10,2.6262
1,A3,control,0,1x,2,10,1.7834
1,A3,control,0,1x,3,10,2.652
1,A3,control,0,1x,4,10,2.7655
1,A3,glyphosate,2,1x,1,9,2.4634
1,A3,glyphosate,2,1x,2,9,2.1441
1,A3,glyphosate,2,1x,3,9,3.0022
1,A3,glyphosate,2,1x,4,9,2.2257
1,A3,glyphosate,2,1x,5,9,2.4988
1,A3,glyphosate,2,1x,6,9,2.1963
1,A3,glyphosate,2,1x,7,9,2.123
1,A3,glyphosate,2,1x,8,9,1.8427
1,A3,glyphosate,2,3x,1,2,0.1118
1,A3,glyphosate,2,3x,2,8,1.6566
1,A3,glyphosate,2,3x,3,9,3.2662
1,A3,glyphosate,2,3x,4,1,0
1,A3,glyphosate,2,3x,5,9,3.398
1,A3,glyphosate,2,3x,6,9,2.7231
1,A3,glyphosate,2,3x,7,9,2.141
1,A3,glyphosate,2,3x,8,9,2.2071
1,A5,control,0,1x,1,10,2.4551
1,A5,control,0,1x,2,10,1.9785
1,A5,control,0,1x,3,10,2.2003
1,A5,control,0,1x,4,10,2.4434
1,A5,glyphosate,2,1x,1,9,2.7845
1,A5,glyphosate,2,1x,2,9,2.7033
1,A5,glyphosate,2,1x,3,9,2.3714
1,A5,glyphosate,2,1x,4,9,2.5892
1,A5,glyphosate,2,1x,5,9,2.3833
1,A5,glyphosate,2,1x,6,8,2.3922
1,A5,glyphosate,2,1x,7,9,2.1538
1,A5,glyphosate,2,1x,8,9,2.7441
1,A5,glyphosate,2,3x,1,8,1.5183
1,A5,glyphosate,2,3x,2,7,0.3395
1,A5,glyphosate,2,3x,3,8,0.6893
1,A5,glyphosate,2,3x,4,4,0.1222
1,A5,glyphosate,2,3x,5,4,0.1472
1,A5,glyphosate,2,3x,6,3,0.1451
1,A5,glyphosate,2,3x,7,7,1.3591
1,A5,glyphosate,2,3x,8,7,0.9193
1,A6,control,0,1x,1,10,2.0822
1,A6,control,0,1x,2,10,2.2791
1,A6,control,0,1x,3,10,2.0197
1,A6,control,0,1x,4,10,3.2876
1,A6,glyphosate,2,1x,1,9,2.3004
1,A6,glyphosate,2,1x,2,9,2.2471
1,A6,glyphosate,2,1x,3,8,1.632
1,A6,glyphosate,2,1x,4,9,1.851
1,A6,glyphosate,2,1x,5,9,2.997
1,A6,glyphosate,2,1x,6,9,2.5524
1,A6,glyphosate,2,1x,7,9,3.0696
1,A6,glyphosate,2,1x,8,9,3.2138
1,A6,glyphosate,2,3x,1,9,3.1974
