pop,herb,rate,rep,ve,surv,ima_R,atra_R,gly_R,county,corn_soy,tillage,manure,infestation,SOA_1,SOA_2,SOA_4,SOA_5,SOA_6,SOA_9,SOA_10,SOA_14,SOA_15,SOA_19,SOA_27
A1,glyphosate,1x,1,9,1,,,yes,,yes,yes,no,medium,no,yes,yes,yes,no,yes,no,yes,yes,no,yes
A2,glyphosate,1x,1,9,1,,,yes,Dunn,yes,yes,no,medium,no,yes,yes,no,no,yes,no,no,yes,no,no
A3,glyphosate,1x,1,9,1,,,yes,Dunn,yes,yes,no,medium,no,yes,yes,no,no,yes,no,no,yes,no,no
A5,glyphosate,1x,1,9,1,,,yes,,yes,,,high,no,no,no,no,no,no,no,no,no,no,no
A6,glyphosate,1x,1,9,1,,,yes,,,,,,no,no,no,no,no,no,no,no,no,no,no
A7,glyphosate,1x,1,9,1,,,yes,,,,,,no,no,no,no,no,no,no,no,no,no,no
A8,glyphosate,1x,1,1,0,,,yes,Brown,yes,yes,yes,high,yes,yes,yes,no,no,yes,no,yes,yes,no,no
A9,glyphosate,1x,1,9,1,,,yes,La Crosse,yes,no,yes,high,no,yes,yes,yes,no,yes,no,no,yes,no,no
A10,glyphosate,1x,1,2,0,,,yes,Trempealeau,yes,yes,no,low,no,yes,no,no,no,yes,no,no,no,no,no
A11,glyphosate,1x,1,4,0,,,yes,Vernon,yes,yes,yes,medium,no,yes,yes,yes,no,yes,no,yes,yes,no,no
A12,glyphosate,1x,1,9,1,,,yes,Trempealeau,yes,yes,no,high,no,yes,yes,no,no,no,no,yes,yes,no,yes
A13,glyphosate,1x,1,9,1,,,yes,Found du Lac,yes,,,high,no,yes,no,no,no,yes,no,no,no,no,no
A14,glyphosate,1x,1,9,1,,,yes,Dodge,yes,yes,yes,medium,no,yes,yes,no,no,no,no,yes,no,no,no
A15,glyphosate,1x,1,8,1,,,yes,Rock,yes,no,no,high,no,no,no,no,no,yes,no,no,no,no,no
A17,glyphosate,1x,1,9,1,,,yes,Outagamie,yes,yes,no,low,no,yes,yes,no,no,yes,no,yes,yes,no,no
A18,glyphosate,1x,1,9,1,,,yes,Winnebago,yes,yes,no,high,no,yes,yes,no,no,yes,no,yes,yes,no,no
A19,glyphosate,1x,1,8,1,,,yes,Calumet,yes,yes,yes,medium,no,yes,yes,yes,no,yes,no,yes,yes,no,yes
A20,glyphosate,1x,1,1,0,,,no,Brown,yes,yes,yes,high,no,yes,no,yes,no,no,no,yes,yes,no,yes
A21,glyphosate,1x,1,9,1,,,yes,Outagamie,yes,yes,no,medium,no,yes,yes,no,no,yes,no,yes,yes,no,no
A22,glyphosate,1x,1,9,1,,,yes,Outagamie,yes,yes,yes,high,yes,yes,yes,yes,no,yes,no,yes,yes,no,no
A23,glyphosate,1x,1,8,1,,,yes,Dane,yes,,no,medium,yes,yes,yes,yes,no,yes,no,yes,yes,yes,yes
A24,glyphosate,1x,1,9,1,,,yes,Brown,yes,yes,yes,low,yes,yes,yes,yes,no,yes,no,no,yes,no,yes
A25,glyphosate,1x,1,1,0,,,yes,Outagamie,yes,yes,no,high,yes,no,no,yes,no,yes,no,no,yes,no,yes
A26,glyphosate,1x,1,6,1,,,yes,Walworth,yes,yes,no,medium,no,yes,yes,yes,no,yes,no,yes,yes,no,yes
A27,glyphosate,1x,1,8,1,,,yes,Waukesha,yes,yes,no,high,no,yes,no,yes,no,yes,no,yes,yes,no,yes
A28,glyphosate,1x,1,8,1,,,yes,Waukesha,yes,yes,no,medium,no,yes,yes,yes,no,yes,no,no,yes,no,yes
A29,glyphosate,1x,1,1,0,,,no,Door,yes,yes,no,low,no,yes,no,no,no,yes,no,no,yes,no,yes
A30,glyphosate,1x,1,9,1,,,yes,Door,yes,,,low,no,no,yes,no,no,yes,no,no,no,no,no
A31,glyphosate,1x,1,8,1,,,yes,Door,yes,,,low,no,no,no,no,no,yes,no,no,no,no,no
A32,glyphosate,1x,1,9,1,,,yes,Door,yes,,,low,no,no,yes,no,no,yes,no,no,yes,no,no
A33,glyphosate,1x,1,5,1,,,yes,Calumet,yes,yes,no,medium,no,no,yes,yes,no,yes,no,no,yes,yes,yes
A34,glyphosate,1x,1,9,1,,,yes,Manitowoc,yes,yes,no,high,no,yes,yes,yes,no,yes,no,no,yes,yes,no
A35,glyphosate,1x,1,9,1,,,yes,Calumet,yes,yes,no,medium,no,yes,yes,no,no,yes,no,no,yes,yes,no
A36,glyphosate,1x,1,8,1,,,yes,Calumet,yes,yes,yes,high,no,no,yes,no,yes,yes,no,yes,no,yes,yes
A37,glyphosate,1x,1,8,1,,,yes,Columbia,yes,yes,no,medium,no,yes,yes,yes,no,yes,no,yes,yes,no,yes
A38,glyphosate,1x,1,9,1,,,yes,Sheboygan,yes,yes,no,high,no,no,no,yes,no,yes,no,no,yes,no,yes
A39,glyphosate,1x,1,9,1,,,yes,Sheboygan,yes,no,no,high,no,yes,yes,yes,no,yes,no,yes,yes,no,yes
A40,glyphosate,1x,1,8,1,,,yes,Rock,yes,yes,no,high,no,yes,yes,no,no,yes,no,yes,yes,yes,no
A41,glyphosate,1x,1,9,1,,,yes,Brown,yes,yes,yes,high,no,yes,yes,no,no,yes,no,no,no,no,no
A42,glyphosate,1x,1,2,0,,,yes,Rock,yes,no,no,high,no,no,no,no,no,no,no,no,no,no,no
A43,glyphosate,1x,1,9,1,,,yes,Green,yes,yes,no,medium,no,yes,yes,no,no,yes,no,yes,yes,yes,no
A44,glyphosate,1x,1,9,1,,,yes,Rock,yes,yes,no,low,no,yes,yes,no,no,yes,no,yes,yes,yes,no
A45,glyphosate,1x,1,9,1,,,yes,Green,yes,yes,yes,medium,no,yes,yes,no,no,yes,no,yes,yes,no,yes
A46,glyphosate,1x,1,8,1,,,yes,Vernon,,,yes,low,no,no,no,no,no,no,no,no,no,no,no
