pop,county,corn_or_soy,tillage,PRE_herb,PRE_two,PRE_five,PRE_nine,POST_herb,POST_two,POST_five,POST_nine,group_2,group_5,group_9,ima_tested,ima_resist,gly_tested,gly_resist,atraz_tested,atraz_resist
A1,,yes,yes,,,,,yes,no,no,no,,,,yes,yes,yes,yes,yes,no
A10,Trempealeau,,,,,,,,,,,,,,yes,yes,yes,yes,yes,yes
A11,Vernon,yes,yes,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
A12,Trempealeau,,,,,,,,,,,,,,yes,yes,yes,yes,yes,no
A13,Found du Lac,yes,,,,,,,,,,,,,yes,yes,yes,yes,no,
A14,Dodge,yes,yes,yes,yes,no,no,,,,,yes,,,yes,yes,yes,yes,yes,no
A15,Rock,,,,,,,,,,,,,,yes,yes,yes,yes,yes,no
A16,,,,,,,,,,,,,,,yes,yes,yes,yes,yes,no
A17,Outagamie,yes,yes,yes,yes,no,no,yes,no,no,yes,yes,no,yes,yes,yes,yes,yes,yes,no
A18,Winnebago,yes,no,,,,,yes,no,no,yes,,,yes,yes,yes,yes,yes,yes,no
A19,Calumet,yes,yes,yes,yes,yes,no,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
A2,Dunn,yes,no,no,-,-,-,yes,yes,no,yes,yes,no,yes,yes,yes,yes,yes,yes,no
A20,Brown,yes,yes,yes,no,yes,no,,,,,,yes,,yes,yes,yes,no,yes,yes
A21,Outagamie,yes,yes,,,,,yes,no,no,yes,,,yes,yes,yes,yes,yes,yes,no
A22,Outagamie,yes,yes,,,,,yes,no,no,yes,,,yes,yes,yes,yes,yes,yes,no
A23,Dane,yes,,yes,yes,no,no,yes,no,no,yes,yes,no,yes,yes,yes,yes,yes,yes,no
A24,Brown,yes,yes,,,,,yes,no,no,yes,,,yes,yes,yes,yes,yes,yes,no
A25,Outagamie,yes,yes,,,,,yes,no,no,yes,,,yes,yes,yes,yes,yes,yes,no
A26,Walworth,yes,yes,yes,no,no,no,yes,no,no,yes,no,no,yes,yes,yes,yes,yes,yes,no
A27,Waukesha,yes,yes,yes,no,yes,no,yes,no,no,yes,no,yes,yes,yes,yes,yes,yes,yes,no
A28,Waukesha,yes,yes,yes,no,yes,no,yes,no,no,yes,no,yes,yes,yes,yes,yes,yes,yes,no
A29,Door,yes,yes,no,-,-,-,yes,yes,yes,yes,yes,yes,yes,no,,yes,no,no,
A3,Dunn,yes,no,no,-,-,-,yes,yes,no,yes,yes,no,yes,yes,yes,yes,yes,yes,no
A30,Door,yes,yes,no,-,-,-,yes,no,no,yes,no,no,yes,yes,yes,yes,yes,yes,no
A31,Door,yes,yes,no,-,-,-,yes,no,no,yes,no,no,yes,yes,yes,yes,yes,yes,no
A32,Door,yes,,yes,no,no,yes,,,,,,,yes,yes,yes,yes,yes,yes,no
A33,Calumet,yes,no,no,-,-,-,yes,no,no,yes,no,no,yes,yes,yes,yes,yes,yes,no
A34,Manitowoc,yes,yes,yes,no,no,no,yes,no,no,yes,no,no,yes,yes,yes,yes,yes,yes,no
A35,Calumet,yes,yes,no,-,-,-,yes,no,no,yes,no,no,yes,yes,yes,yes,yes,yes,no
A36,Calumet,yes,yes,no,-,-,-,yes,no,no,yes,no,no,yes,yes,yes,yes,yes,yes,no
A37,Columbia,yes,no,,,,,yes,no,no,yes,,,yes,yes,yes,yes,yes,yes,no
A38,Sheboygan,yes,yes,,,,,yes,no,no,yes,,,yes,yes,yes,yes,yes,yes,no
A39,Sheboygan,yes,no,yes,no,no,no,yes,no,no,yes,no,no,yes,yes,yes,yes,yes,yes,no
A40,Rock,yes,yes,yes,yes,no,no,yes,no,no,no,yes,no,no,yes,yes,yes,yes,yes,no
A41,Brown,yes,yes,,,,,yes,no,no,yes,,,yes,yes,yes,yes,yes,yes,no
A42,Rock,,,,,,,,,,,,,,yes,yes,yes,yes,yes,no
A43,Green,yes,yes,no,-,-,-,yes,no,no,yes,no,no,yes,yes,yes,yes,yes,yes,no
A44,Rock,yes,yes,no,-,-,-,yes,no,no,yes,no,no,yes,yes,yes,yes,yes,yes,no
A45,Green,yes,yes,no,-,-,-,yes,no,no,yes,no,no,yes,yes,yes,yes,yes,yes,no
A46,Vernon,,,,,,,,,,,,,,no,,yes,yes,yes,no
A47,Green,yes,no,yes,no,no,yes,yes,no,no,yes,no,no,yes,yes,yes,yes,yes,yes,no
