run,pop,herb,order,rate,rep,count,biomass
1,A8,control,1,0.5x,1,12,0.297
1,A8,control,1,0.5x,2,42,1.052
1,A8,control,1,0.5x,3,31,1.144
1,A8,control,1,0.5x,4,43,0.78
1,A8,control,1,1x,1,12,0.297
1,A8,control,1,1x,2,42,1.052
1,A8,control,1,1x,3,31,1.144
1,A8,control,1,1x,4,43,0.78
1,A8,control,1,3x,1,12,0.297
1,A8,control,1,3x,2,42,1.052
1,A8,control,1,3x,3,31,1.144
1,A8,control,1,3x,4,43,0.78
1,A8,atrazine,2,0.5x,1,7,0.288
1,A8,atrazine,2,0.5x,2,27,0.318
1,A8,atrazine,2,0.5x,3,15,1.366
1,A8,atrazine,2,0.5x,4,17,1.125
1,A8,metribuzin,4,0.5x,1,0,0
1,A8,metribuzin,4,0.5x,2,0,0
1,A8,metribuzin,4,0.5x,3,0,0
1,A8,metribuzin,4,0.5x,4,0,0
1,A8,atrazine,2,1x,1,2,0.35
1,A8,atrazine,2,1x,2,6,0.288
1,A8,atrazine,2,1x,3,5,0.008
1,A8,atrazine,2,1x,4,6,0.109
1,A8,metribuzin,4,1x,1,1,0.005
1,A8,metribuzin,4,1x,2,0,0
1,A8,metribuzin,4,1x,3,0,0
1,A8,metribuzin,4,1x,4,0,0
1,A8,atrazine,2,3x,1,6,0.035
1,A8,atrazine,2,3x,2,3,0.003
1,A8,atrazine,2,3x,3,3,0.088
1,A8,atrazine,2,3x,4,4,0.057
1,A8,metribuzin,4,3x,1,0,0
1,A8,metribuzin,4,3x,2,0,0
1,A8,metribuzin,4,3x,3,0,0
1,A8,metribuzin,4,3x,4,0,0
1,A9,control,1,0.5x,1,39,1.005
1,A9,control,1,0.5x,2,25,0.532
1,A9,control,1,0.5x,3,56,1.105
1,A9,control,1,0.5x,4,38,1.429
1,A9,control,1,1x,1,39,1.005
1,A9,control,1,1x,2,25,0.532
1,A9,control,1,1x,3,56,1.105
1,A9,control,1,1x,4,38,1.429
1,A9,control,1,3x,1,39,1.005
1,A9,control,1,3x,2,25,0.532
1,A9,control,1,3x,3,56,1.105
1,A9,control,1,3x,4,38,1.429
1,A9,atrazine,2,0.5x,1,6,0.26
1,A9,atrazine,2,0.5x,2,8,0.788
1,A9,atrazine,2,0.5x,3,23,1.02
1,A9,atrazine,2,0.5x,4,9,0.264
1,A9,metribuzin,4,0.5x,1,9,0.072
1,A9,metribuzin,4,0.5x,2,0,0
1,A9,metribuzin,4,0.5x,3,1,0.013
1,A9,metribuzin,4,0.5x,4,0,0
1,A9,atrazine,2,1x,1,1,0.002
1,A9,atrazine,2,1x,2,3,1.036
1,A9,atrazine,2,1x,3,10,1.097
1,A9,atrazine,2,1x,4,0,0
1,A9,metribuzin,4,1x,1,0,0
1,A9,metribuzin,4,1x,2,0,0
1,A9,metribuzin,4,1x,3,0,0
1,A9,metribuzin,4,1x,4,0,0
1,A9,atrazine,2,3x,1,1,0.005
1,A9,atrazine,2,3x,2,7,0.287
1,A9,atrazine,2,3x,3,13,0.303
1,A9,atrazine,2,3x,4,0,0
1,A9,metribuzin,4,3x,1,0,0
1,A9,metribuzin,4,3x,2,0,0
1,A9,metribuzin,4,3x,3,0,0
1,A9,metribuzin,4,3x,4,0,0
1,A11,control,1,0.5x,1,58,1.397
1,A11,control,1,0.5x,2,15,0.269
1,A11,control,1,0.5x,3,17,0.128
1,A11,control,1,0.5x,4,5,0.263
1,A11,control,1,1x,1,58,1.397
1,A11,control,1,1x,2,15,0.269
1,A11,control,1,1x,3,17,0.128
1,A11,control,1,1x,4,5,0.263
1,A11,control,1,3x,1,58,1.397
1,A11,control,1,3x,2,15,0.269
1,A11,control,1,3x,3,17,0.128
1,A11,control,1,3x,4,5,0.263
1,A11,atrazine,2,0.5x,1,35,1.362
1,A11,atrazine,2,0.5x,2,13,0.702
1,A11,atrazine,2,0.5x,3,4,0.258
1,A11,atrazine,2,0.5x,4,17,1.303
1,A11,metribuzin,4,0.5x,1,0,0
1,A11,metribuzin,4,0.5x,2,0,0
1,A11,metribuzin,4,0.5x,3,0,0
1,A11,metribuzin,4,0.5x,4,8,0.051
1,A11,atrazine,2,1x,1,1,0.005
1,A11,atrazine,2,1x,2,8,0.817
1,A11,atrazine,2,1x,3,4,0.375
1,A11,atrazine,2,1x,4,8,1.345
1,A11,metribuzin,4,1x,1,0,0
1,A11,metribuzin,4,1x,2,0,0
1,A11,metribuzin,4,1x,3,0,0
1,A11,metribuzin,4,1x,4,0,0
1,A11,atrazine,2,3x,1,6,0.013
1,A11,atrazine,2,3x,2,7,0.29
1,A11,atrazine,2,3x,3,3,0.089
1,A11,atrazine,2,3x,4,2,0.086
1,A11,metribuzin,4,3x,1,0,0
1,A11,metribuzin,4,3x,2,0,0
1,A11,metribuzin,4,3x,3,0,0
1,A11,metribuzin,4,3x,4,0,0
1,A17,control,1,0.5x,1,40,1.928
1,A17,control,1,0.5x,2,36,1.483
1,A17,control,1,0.5x,3,54,2.119
1,A17,control,1,0.5x,4,39,1.618
1,A17,control,1,1x,1,40,1.928
1,A17,control,1,1x,2,36,1.483
1,A17,control,1,1x,3,54,2.119
1,A17,control,1,1x,4,39,1.618
1,A17,control,1,3x,1,40,1.928
1,A17,control,1,3x,2,36,1.483
1,A17,control,1,3x,3,54,2.119
1,A17,control,1,3x,4,39,1.618
1,A17,atrazine,2,0.5x,1,14,0.442
1,A17,atrazine,2,0.5x,2,34,0.786
1,A17,atrazine,2,0.5x,3,14,0.472
1,A17,atrazine,2,0.5x,4,10,0.462
1,A17,metribuzin,4,0.5x,1,0,0
1,A17,metribuzin,4,0.5x,2,2,0.04
1,A17,metribuzin,4,0.5x,3,0,0
1,A17,metribuzin,4,0.5x,4,0,0
1,A17,atrazine,2,1x,1,0,0
1,A17,atrazine,2,1x,2,7,0.372
1,A17,atrazine,2,1x,3,7,0.407
1,A17,atrazine,2,1x,4,6,0.757
1,A17,metribuzin,4,1x,1,0,0
1,A17,metribuzin,4,1x,2,0,0
1,A17,metribuzin,4,1x,3,0,0
1,A17,metribuzin,4,1x,4,0,0
1,A17,atrazine,2,3x,1,3,0.005
1,A17,atrazine,2,3x,2,5,0.002
1,A17,atrazine,2,3x,3,2,0.032
1,A17,atrazine,2,3x,4,1,0.001
1,A17,metribuzin,4,3x,1,0,0
1,A17,metribuzin,4,3x,2,0,0
1,A17,metribuzin,4,3x,3,0,0
1,A17,metribuzin,4,3x,4,0,0
1,A18,control,1,0.5x,1,42,1.575
1,A18,control,1,0.5x,2,29,0.993
1,A18,control,1,0.5x,3,25,0.718
1,A18,control,1,0.5x,4,43,0.774
1,A18,control,1,1x,1,42,1.575
1,A18,control,1,1x,2,29,0.993
1,A18,control,1,1x,3,25,0.718
1,A18,control,1,1x,4,43,0.774
1,A18,control,1,3x,1,42,1.575
1,A18,control,1,3x,2,29,0.993
1,A18,control,1,3x,3,25,0.718
1,A18,control,1,3x,4,43,0.774
1,A18,atrazine,2,0.5x,1,0,0
1,A18,atrazine,2,0.5x,2,1,0.021
1,A18,atrazine,2,0.5x,3,2,0.048
1,A18,atrazine,2,0.5x,4,0,0
1,A18,metribuzin,4,0.5x,1,0,0
1,A18,metribuzin,4,0.5x,2,0,0
1,A18,metribuzin,4,0.5x,3,0,0
1,A18,metribuzin,4,0.5x,4,0,0
1,A18,atrazine,2,1x,1,0,0
1,A18,atrazine,2,1x,2,5,0.02
1,A18,atrazine,2,1x,3,5,0.058
1,A18,atrazine,2,1x,4,0,0
1,A18,metribuzin,4,1x,1,1,0.008
1,A18,metribuzin,4,1x,2,0,0
1,A18,metribuzin,4,1x,3,0,0
1,A18,metribuzin,4,1x,4,0,0
1,A18,atrazine,2,3x,1,0,0
1,A18,atrazine,2,3x,2,0,0
1,A18,atrazine,2,3x,3,1,0.004
1,A18,atrazine,2,3x,4,0,0
1,A18,metribuzin,4,3x,1,0,0
1,A18,metribuzin,4,3x,2,0,0
1,A18,metribuzin,4,3x,3,0,0
1,A18,metribuzin,4,3x,4,0,0
1,A20,control,1,0.5x,1,25,1.05
1,A20,control,1,0.5x,2,55,1.312
1,A20,control,1,0.5x,3,34,1.115
1,A20,control,1,0.5x,4,10,1.074
1,A20,control,1,1x,1,25,1.05
1,A20,control,1,1x,2,55,1.312
1,A20,control,1,1x,3,34,1.115
