run,pop,Herbicide,Dose,rep,count,biomass,count_red,bio_red
1,A8,Atrazine,0.5x,1,7,0.288,0.78125,0.648029331
1,A8,Atrazine,0.5x,2,27,0.318,0.15625,0.61136572
1,A8,Atrazine,0.5x,3,15,1.366,0.53125,1E-10
1,A8,Atrazine,0.5x,4,17,1.125,0.46875,1E-10
1,A8,Metribuzin,0.5x,1,0,0,1,1
1,A8,Metribuzin,0.5x,2,0,0,1,1
1,A8,Metribuzin,0.5x,3,0,0,1,1
1,A8,Metribuzin,0.5x,4,0,0,1,1
1,A8,Atrazine,1x,1,2,0.35,0.9375,0.572257867
1,A8,Atrazine,1x,2,6,0.288,0.8125,0.648029331
1,A8,Atrazine,1x,3,5,0.008,0.84375,0.990223037
1,A8,Atrazine,1x,4,6,0.109,0.8125,0.866788879
1,A8,Metribuzin,1x,1,1,0.005,0.96875,0.993889398
1,A8,Metribuzin,1x,2,0,0,1,1
1,A8,Metribuzin,1x,3,0,0,1,1
1,A8,Metribuzin,1x,4,0,0,1,1
1,A8,Atrazine,3x,1,6,0.035,0.8125,0.957225787
1,A8,Atrazine,3x,2,3,0.003,0.90625,0.996333639
1,A8,Atrazine,3x,3,3,0.088,0.90625,0.892453407
1,A8,Atrazine,3x,4,4,0.057,0.875,0.930339138
1,A8,Metribuzin,3x,1,0,0,1,1
1,A8,Metribuzin,3x,2,0,0,1,1
1,A8,Metribuzin,3x,3,0,0,1,1
1,A8,Metribuzin,3x,4,0,0,1,1
1,A9,Atrazine,0.5x,1,6,0.26,0.848101266,0.744534512
1,A9,Atrazine,0.5x,2,8,0.788,0.797468354,0.225743061
1,A9,Atrazine,0.5x,3,23,1.02,0.417721519,1E-10
1,A9,Atrazine,0.5x,4,9,0.264,0.772151899,0.740604274
1,A9,Metribuzin,0.5x,1,9,0.072,0.772151899,0.929255711
1,A9,Metribuzin,0.5x,2,0,0,1,1
1,A9,Metribuzin,0.5x,3,1,0.013,0.974683544,0.987226726
1,A9,Metribuzin,0.5x,4,0,0,1,1
1,A9,Atrazine,1x,1,1,0.002,0.974683544,0.998034881
1,A9,Atrazine,1x,2,3,1.036,0.924050633,1E-10
1,A9,Atrazine,1x,3,10,1.097,0.746835443,1E-10
1,A9,Atrazine,1x,4,0,0,1,1
1,A9,Metribuzin,1x,1,0,0,1,1
1,A9,Metribuzin,1x,2,0,0,1,1
1,A9,Metribuzin,1x,3,0,0,1,1
1,A9,Metribuzin,1x,4,0,0,1,1
1,A9,Atrazine,3x,1,1,0.005,0.974683544,0.995087202
1,A9,Atrazine,3x,2,7,0.287,0.82278481,0.718005404
1,A9,Atrazine,3x,3,13,0.303,0.670886076,0.702284451
1,A9,Atrazine,3x,4,0,0,1,1
1,A9,Metribuzin,3x,1,0,0,1,1
1,A9,Metribuzin,3x,2,0,0,1,1
1,A9,Metribuzin,3x,3,0,0,1,1
1,A9,Metribuzin,3x,4,0,0,1,1
1,A11,Atrazine,0.5x,1,35,1.362,1E-10,1E-10
1,A11,Atrazine,0.5x,2,13,0.702,0.452631579,1E-10
1,A11,Atrazine,0.5x,3,4,0.258,0.831578947,0.498298493
1,A11,Atrazine,0.5x,4,17,1.303,0.284210526,1E-10
1,A11,Metribuzin,0.5x,1,0,0,1,1
1,A11,Metribuzin,0.5x,2,0,0,1,1
1,A11,Metribuzin,0.5x,3,0,0,1,1
1,A11,Metribuzin,0.5x,4,8,0.051,0.663157895,0.900826446
1,A11,Atrazine,1x,1,1,0.005,0.957894737,0.990277103
