run,pop,herb,rate,rep,count,biomass,count_red,bio_red
1,A8,atrazine,0.5x,1,7,0.288,0.7812500000,0.6480293310
1,A8,atrazine,0.5x,2,27,0.318,0.1562500000,0.6113657200
1,A8,atrazine,0.5x,3,15,1.366,0.5312500000,0.0000000001
1,A8,atrazine,0.5x,4,17,1.125,0.4687500000,0.0000000001
1,A8,metribuzin,0.5x,1,0,0,0.9999999999,0.9999999999
1,A8,metribuzin,0.5x,2,0,0,0.9999999999,0.9999999999
1,A8,metribuzin,0.5x,3,0,0,0.9999999999,0.9999999999
1,A8,metribuzin,0.5x,4,0,0,0.9999999999,0.9999999999
1,A9,atrazine,0.5x,1,6,0.26,0.8481012660,0.7445345120
1,A9,atrazine,0.5x,2,8,0.788,0.7974683540,0.2257430610
1,A9,atrazine,0.5x,3,23,1.02,0.4177215190,0.0000000001
1,A9,atrazine,0.5x,4,9,0.264,0.7721518990,0.7406042740
1,A9,metribuzin,0.5x,1,9,0.072,0.7721518990,0.9292557110
1,A9,metribuzin,0.5x,2,0,0,0.9999999999,0.9999999999
1,A9,metribuzin,0.5x,3,1,0.013,0.9746835440,0.9872267260
1,A9,metribuzin,0.5x,4,0,0,0.9999999999,0.9999999999
1,A11,atrazine,0.5x,1,35,1.362,0.0000000001,0.0000000001
1,A11,atrazine,0.5x,2,13,0.702,0.4526315790,0.0000000001
1,A11,atrazine,0.5x,3,4,0.258,0.8315789470,0.4982984930
1,A11,atrazine,0.5x,4,17,1.303,0.2842105260,0.0000000001
1,A11,metribuzin,0.5x,1,0,0,0.9999999999,0.9999999999
1,A11,metribuzin,0.5x,2,0,0,0.9999999999,0.9999999999
1,A11,metribuzin,0.5x,3,0,0,0.9999999999,0.9999999999
1,A11,metribuzin,0.5x,4,8,0.051,0.6631578950,0.9008264460
1,A17,atrazine,0.5x,1,14,0.442,0.6686390530,0.7526580860
1,A17,atrazine,0.5x,2,34,0.786,0.1952662720,0.5601566870
1,A17,atrazine,0.5x,3,14,0.472,0.6686390530,0.7358701740
1,A17,atrazine,0.5x,4,10,0.462,0.7633136100,0.7414661440
1,A17,metribuzin,0.5x,1,0,0,0.9999999999,0.9999999999
1,A17,metribuzin,0.5x,2,2,0.04,0.9526627220,0.9776161160
1,A17,metribuzin,0.5x,3,0,0,0.9999999999,0.9999999999
1,A17,metribuzin,0.5x,4,0,0,0.9999999999,0.9999999999
1,A18,atrazine,0.5x,1,0,0,0.9999999999,0.9999999999
1,A18,atrazine,0.5x,2,1,0.021,0.9712230220,0.9793103450
1,A18,atrazine,0.5x,3,2,0.048,0.9424460430,0.9527093600
1,A18,atrazine,0.5x,4,0,0,0.9999999999,0.9999999999
1,A18,metribuzin,0.5x,1,0,0,0.9999999999,0.9999999999
1,A18,metribuzin,0.5x,2,0,0,0.9999999999,0.9999999999
1,A18,metribuzin,0.5x,3,0,0,0.9999999999,0.9999999999
1,A18,metribuzin,0.5x,4,0,0,0.9999999999,0.9999999999
1,A20,atrazine,0.5x,1,38,1.176,0.0000000001,0.0000000001
1,A20,atrazine,0.5x,2,9,1.205,0.7096774190,0.0000000001
1,A20,atrazine,0.5x,3,1,,0.9677419360,
1,A20,atrazine,0.5x,4,2,0.046,0.9354838710,0.9595693250
1,A20,metribuzin,0.5x,1,8,0.372,0.7419354840,0.6730388930
1,A20,metribuzin,0.5x,2,5,0.005,0.8387096770,0.9956053620
1,A20,metribuzin,0.5x,3,0,0,0.9999999999,0.9999999999
1,A20,metribuzin,0.5x,4,0,0,0.9999999999,0.9999999999
1,A22,atrazine,0.5x,1,2,0.109,0.9370078740,0.9347012130
1,A22,atrazine,0.5x,2,0,0,0.9999999999,0.9999999999
