run,pop,herb,rate,rep,count,biomass,count_red,bio_red
1,A8,atrazine,1x,1,2,0.35,0.9375000000,0.5722578670
1,A8,atrazine,1x,2,6,0.288,0.8125000000,0.6480293310
1,A8,atrazine,1x,3,5,0.008,0.8437500000,0.9902230370
1,A8,atrazine,1x,4,6,0.109,0.8125000000,0.8667888790
1,A8,metribuzin,1x,1,1,0.005,0.9687500000,0.9938893980
1,A8,metribuzin,1x,2,0,0,0.9999999999,0.9999999999
1,A8,metribuzin,1x,3,0,0,0.9999999999,0.9999999999
1,A8,metribuzin,1x,4,0,0,0.9999999999,0.9999999999
1,A9,atrazine,1x,1,1,0.002,0.9746835440,0.9980348810
1,A9,atrazine,1x,2,3,1.036,0.9240506330,0.0000000001
1,A9,atrazine,1x,3,10,1.097,0.7468354430,0.0000000001
1,A9,atrazine,1x,4,0,0,0.9999999999,0.9999999999
1,A9,metribuzin,1x,1,0,0,0.9999999999,0.9999999999
1,A9,metribuzin,1x,2,0,0,0.9999999999,0.9999999999
1,A9,metribuzin,1x,3,0,0,0.9999999999,0.9999999999
1,A9,metribuzin,1x,4,0,0,0.9999999999,0.9999999999
1,A11,atrazine,1x,1,1,0.005,0.9578947370,0.9902771030
1,A11,atrazine,1x,2,8,0.817,0.6631578950,0.0000000001
1,A11,atrazine,1x,3,4,0.375,0.8315789470,0.2707826930
1,A11,atrazine,1x,4,8,1.345,0.6631578950,0.0000000001
1,A11,metribuzin,1x,1,0,0,0.9999999999,0.9999999999
1,A11,metribuzin,1x,2,0,0,0.9999999999,0.9999999999
1,A11,metribuzin,1x,3,0,0,0.9999999999,0.9999999999
1,A11,metribuzin,1x,4,0,0,0.9999999999,0.9999999999
1,A17,atrazine,1x,1,0,0,0.9999999999,0.9999999999
1,A17,atrazine,1x,2,7,0.372,0.8343195270,0.7918298830
1,A17,atrazine,1x,3,7,0.407,0.8343195270,0.7722439840
1,A17,atrazine,1x,4,6,0.757,0.8579881660,0.5763850030
1,A17,metribuzin,1x,1,0,0,0.9999999999,0.9999999999
1,A17,metribuzin,1x,2,0,0,0.9999999999,0.9999999999
1,A17,metribuzin,1x,3,0,0,0.9999999999,0.9999999999
1,A17,metribuzin,1x,4,0,0,0.9999999999,0.9999999999
1,A18,atrazine,1x,1,0,0,0.9999999999,0.9999999999
1,A18,atrazine,1x,2,5,0.02,0.8561151080,0.9802955670
1,A18,atrazine,1x,3,5,0.058,0.8561151080,0.9428571430
1,A18,atrazine,1x,4,0,0,0.9999999999,0.9999999999
1,A18,metribuzin,1x,1,1,0.008,0.9712230220,0.9921182270
1,A18,metribuzin,1x,2,0,0,0.9999999999,0.9999999999
1,A18,metribuzin,1x,3,0,0,0.9999999999,0.9999999999
1,A18,metribuzin,1x,4,0,0,0.9999999999,0.9999999999
1,A20,atrazine,1x,1,11,0.506,0.6451612900,0.5552625800
1,A20,atrazine,1x,2,14,0.907,0.5483870970,0.2028125690
1,A20,atrazine,1x,3,8,0.606,0.7419354840,0.4673698090
1,A20,atrazine,1x,4,5,0.05,0.8387096770,0.9560536150
1,A20,metribuzin,1x,1,2,0.008,0.9354838710,0.9929685780
1,A20,metribuzin,1x,2,0,0,0.9999999999,0.9999999999
1,A20,metribuzin,1x,3,1,0.089,0.9677419360,0.9217754340
1,A20,metribuzin,1x,4,0,0,0.9999999999,0.9999999999
1,A22,atrazine,1x,1,1,0.004,0.9685039370,0.9976037140
1,A22,atrazine,1x,2,2,0.008,0.9370078740,0.9952074290
1,A22,atrazine,1x,3,0,0,0.9999999999,0.9999999999
1,A22,atrazine,1x,4,0,0,0.9999999999,0.9999999999
1,A22,metribuzin,1x,1,0,0,0.9999999999,0.9999999999
1,A22,metribuzin,1x,2,0,0,0.9999999999,0.9999999999
1,A22,metribuzin,1x,3,0,0,0.9999999999,0.9999999999
1,A22,metribuzin,1x,4,0,0,0.9999999999,0.9999999999
1,A23,atrazine,1x,1,3,0.005,0.7000000000,0.9944102850
1,A23,atrazine,1x,2,0,0,0.9999999999,0.9999999999
1,A23,atrazine,1x,3,2,0.001,0.8000000000,0.9988820570
1,A23,atrazine,1x,4,3,0.082,0.7000000000,0.9083286750
1,A23,metribuzin,1x,1,0,0,0.9999999999,0.9999999999
1,A23,metribuzin,1x,2,0,0,0.9999999999,0.9999999999
1,A23,metribuzin,1x,3,0,0,0.9999999999,0.9999999999
1,A23,metribuzin,1x,4,0,0,0.9999999999,0.9999999999
1,A27,atrazine,1x,1,0,0,0.9999999999,0.9999999999
1,A27,atrazine,1x,2,2,0.007,0.8987341770,0.9956783450
1,A27,atrazine,1x,3,2,0.007,0.8987341770,0.9956783450
1,A27,atrazine,1x,4,1,0.009,0.9493670890,0.9944435870
1,A27,metribuzin,1x,1,1,0.002,0.9493670890,0.9987652420
1,A27,metribuzin,1x,2,0,0,0.9999999999,0.9999999999
1,A27,metribuzin,1x,3,0,0,0.9999999999,0.9999999999
1,A27,metribuzin,1x,4,0,0,0.9999999999,0.9999999999
1,A31,atrazine,1x,1,2,0.003,0.7777777780,0.9936010240
1,A31,atrazine,1x,2,3,0.094,0.6666666670,0.7994987470
1,A31,atrazine,1x,3,3,0.006,0.6666666670,0.9872020480
1,A31,atrazine,1x,4,0,0,0.9999999999,0.9999999999
1,A31,metribuzin,1x,1,0,0,0.9999999999,0.9999999999
1,A31,metribuzin,1x,2,0,0,0.9999999999,0.9999999999
1,A31,metribuzin,1x,3,0,0,0.9999999999,0.9999999999
1,A31,metribuzin,1x,4,0,0,0.9999999999,0.9999999999
1,A34,atrazine,1x,1,14,0.451,0.4716981130,0.6511987630
1,A34,atrazine,1x,2,4,0.033,0.8490566040,0.9744779580
1,A34,atrazine,1x,3,0,0,0.9999999999,0.9999999999
1,A34,atrazine,1x,4,0,0,0.9999999999,0.9999999999
