pop,lat,long
A10,44.5501,-91.3901
A11,43.557218,-90.889119
A12,44.1324,-91.55146
A13,43.598136,-88.278865
A14,43.518335,-88.451116
A15,42.700158,-89.198636
A17,44.245922,-88.534726
A18,44.104862,-88.723604
A19,44.078416,-88.162652
A2,44.694456,-92.013125
A3,44.694456,-92.013125
A20,44.358965,-88.168584
A21,44.489708,-88.251927
A22,44.395886,-88.212347
A23,42.857878,-89.251281
A24,44.300939,-88.059514
A25,44.311068,-88.293739
A26,42.837831,-88.336261
A27,42.935252,-88.325648
A28,43.08092,-88.380852
A29,44.981546,-87.211167
A30,44.814772,-87.622445
A31,44.734599,-87.670717
A32,44.713336,-87.701973
A33,43.91,-88.14
A34,44.02,-87.98
A35,44.1,-88.12
A36,44.03,-88.18
A37,43.586367,-89.384626
A38,43.806267,-87.85771
A39,43.862247,-87.842485
A4,44.773756,-92.507949
A40,42.761388,-89.251111
A41,44.470366,-87.979447
A42,42.571569,-89.201148
A43,42.85612,-89.41285
A44,42.56334,-89.23039
A45,42.828888,-89.532222
A46,43.557218,-90.889119
A47,42.83,-89.65
A48,42.8,-89.34
A49,42.83,-89.52
A50,42.81,-89.55
A51,42.86,-89.52
A52,42.760624,-89.566913
A53,42.700766,-89.281553
A54,42.503642,-89.176301
A55,42.811185,-89.272597
A56,42.62828,-89.250021
A57,42.776501,-89.240982
A58,42.658392,-89.185665
A59,42.749,-89.45
A60,42.803268,-89.244854
A61,42.695045,-89.445731
A62,42.6645,-88.8335
A63,42.756701,-89.380661
A64,42.825869,-89.362225
A65,42.825243,-90.839241
A66,42.831016,-90.789129
A67,43.87135,-88.18714
A68,44.206795,-88.061474
A69,43.639931,-88.582963
A70,43.854308,-90.654081
A71,43.324075,-88.167019
A72,44.375,-89.058
A73,42.734906,-90.48179
A74,42.733796,-90.334887
A75,43.67459,-88.66232
A76,43.706832,-88.624018
A77,43.714655,-88.517007
A8,44.298934,-88.015528
A82,45.170112,-91.286127
A83,44.129006,-88.586193
A84,44.708675,-92.64005
A85,44.970642,-92.200761
A86,44.851672,-92.563967
A87,43.61875,-87.905367
A89,43.872497,-87.813161
A9,43.891388,-91.009444
A90,44.828195,-87.954893
A91,45.017061,-91.004261
B1,44.245922,-88.534726
