Population,Latitude,Longitude,1x_Atrazine,3x_Atrazine,Resistance
A2,44.694456,-92.013125,S,S,Susceptible
A3,44.694456,-92.013125,S,S,Susceptible
A8,44.298934,-88.015528,S,S,Susceptible
A9,43.891388,-91.009444,R,R,3x - atrazine R
A10,44.5501,-91.3901,R,S,1x - atrazine R
A11,43.557218,-90.889119,R,S,1x - atrazine R
A12,44.1324,-91.55146,S,S,Susceptible
A14,43.518335,-88.451116,S,S,Susceptible
A15,42.700158,-89.198636,S,S,Susceptible
A17,44.245922,-88.534726,S,S,Susceptible
A18,44.104862,-88.723604,S,S,Susceptible
A19,44.078416,-88.162652,S,S,Susceptible
A20,44.358965,-88.168584,R,S,1x - atrazine R
A21,44.489708,-88.251927,S,S,Susceptible
A22,44.395886,-88.212347,S,S,Susceptible
A23,42.857878,-89.251281,S,S,Susceptible
A24,44.300939,-88.059514,S,S,Susceptible
A25,44.311068,-88.293739,S,S,Susceptible
A26,42.837831,-88.336261,S,S,Susceptible
A27,42.935252,-88.325648,S,S,Susceptible
A28,43.08092,-88.380852,S,S,Susceptible
A30,44.814772,-87.622445,S,S,Susceptible
A31,44.734599,-87.670717,S,S,Susceptible
A32,44.713336,-87.701973,S,S,Susceptible
A33,43.91,-88.14,S,S,Susceptible
A34,44.02,-87.98,S,S,Susceptible
A35,44.1,-88.12,S,S,Susceptible
A36,44.03,-88.18,S,S,Susceptible
A37,43.586367,-89.384626,S,S,Susceptible
A38,43.806267,-87.85771,S,S,Susceptible
A39,43.862247,-87.842485,S,S,Susceptible
A40,42.761388,-89.251111,S,S,Susceptible
A41,44.470366,-87.979447,S,S,Susceptible
A42,42.571569,-89.201148,S,S,Susceptible
A43,42.85612,-89.41285,S,S,Susceptible
A44,42.56334,-89.23039,S,S,Susceptible
A45,42.828888,-89.532222,S,S,Susceptible
A46,43.557218,-90.889119,S,S,Susceptible
A47,42.83,-89.65,S,S,Susceptible
A48,42.8,-89.34,S,S,Susceptible
A49,42.83,-89.52,S,S,Susceptible
A50,42.81,-89.55,S,S,Susceptible
A51,42.86,-89.52,S,S,Susceptible
A53,42.700766,-89.281553,S,S,Susceptible
A54,42.503642,-89.176301,S,S,Susceptible
A55,42.811185,-89.272597,S,S,Susceptible
A56,42.62828,-89.250021,S,S,Susceptible
A57,42.776501,-89.240982,S,S,Susceptible
A58,42.658392,-89.185665,S,S,Susceptible
A60,42.803268,-89.244854,S,S,Susceptible
A61,42.695045,-89.445731,S,S,Susceptible
A62,42.6645,-88.8335,S,S,Susceptible
A63,42.756701,-89.380661,S,S,Susceptible
A64,42.825869,-89.362225,S,S,Susceptible
A65,42.825243,-90.839241,S,S,Susceptible
A66,42.831016,-90.789129,R,S,1x - atrazine R
A67,43.87135,-88.18714,S,S,Susceptible
A68,44.206795,-88.061474,S,S,Susceptible
A69,43.639931,-88.582963,S,S,Susceptible
A70,43.854308,-90.654081,R,R,3x - atrazine R
A73,42.734906,-90.48179,R,S,1x - atrazine R
A74,42.733796,-90.334887,S,S,Susceptible
A75,43.67459,-88.66232,S,S,Susceptible
A76,43.706832,-88.624018,S,S,Susceptible
A77,43.714655,-88.517007,S,S,Susceptible
A82,45.170112,-91.286127,S,S,Susceptible
A83,44.129006,-88.586193,S,S,Susceptible
A84,44.708675,-92.64005,S,S,Susceptible
A85,44.970642,-92.200761,R,S,1x - atrazine R
A87,43.61875,-87.905367,S,S,Susceptible
A89,43.872497,-87.813161,S,S,Susceptible
A90,44.828195,-87.954893,S,S,Susceptible
A91,45.017061,-91.004261,S,S,Susceptible
