Population,Latitude,Longitude,1x_Glyphosate,3x_Glyphosate,Resistance
A2,44.694456,-92.013125,R,R,3x - glyphosate R
A3,44.694456,-92.013125,R,R,3x - glyphosate R
A8,44.298934,-88.015528,R,R,3x - glyphosate R
A9,43.891388,-91.009444,R,R,3x - glyphosate R
A10,44.5501,-91.3901,R,S,1x - glyphosate R
A11,43.557218,-90.889119,R,R,3x - glyphosate R
A12,44.1324,-91.55146,R,R,3x - glyphosate R
A13,43.598136,-88.278865,R,R,3x - glyphosate R
A14,43.518335,-88.451116,R,R,3x - glyphosate R
A15,42.700158,-89.198636,R,R,3x - glyphosate R
A17,44.245922,-88.534726,R,R,3x - glyphosate R
A18,44.104862,-88.723604,R,R,3x - glyphosate R
A19,44.078416,-88.162652,R,S,1x - glyphosate R
A20,44.358965,-88.168584,S,S,Susceptible
A21,44.489708,-88.251927,R,R,3x - glyphosate R
A22,44.395886,-88.212347,R,R,3x - glyphosate R
A23,42.857878,-89.251281,R,R,3x - glyphosate R
A24,44.300939,-88.059514,R,S,1x - glyphosate R
A25,44.311068,-88.293739,R,S,1x - glyphosate R
A26,42.837831,-88.336261,R,S,1x - glyphosate R
A27,42.935252,-88.325648,R,R,3x - glyphosate R
A28,43.08092,-88.380852,R,R,3x - glyphosate R
A30,44.814772,-87.622445,R,S,1x - glyphosate R
A31,44.734599,-87.670717,R,S,1x - glyphosate R
A32,44.713336,-87.701973,R,R,3x - glyphosate R
A33,43.91,-88.14,R,R,3x - glyphosate R
A34,44.02,-87.98,R,R,3x - glyphosate R
A35,44.1,-88.12,R,R,3x - glyphosate R
A36,44.03,-88.18,R,S,1x - glyphosate R
A37,43.586367,-89.384626,R,R,3x - glyphosate R
A38,43.806267,-87.85771,R,R,3x - glyphosate R
A39,43.862247,-87.842485,R,R,3x - glyphosate R
A40,42.761388,-89.251111,R,S,1x - glyphosate R
A41,44.470366,-87.979447,R,S,1x - glyphosate R
A42,42.571569,-89.201148,R,S,1x - glyphosate R
A43,42.85612,-89.41285,R,R,3x - glyphosate R
A44,42.56334,-89.23039,R,R,3x - glyphosate R
A45,42.828888,-89.532222,R,R,3x - glyphosate R
A46,43.557218,-90.889119,R,R,3x - glyphosate R
A47,42.83,-89.65,R,R,3x - glyphosate R
A48,42.8,-89.34,R,R,3x - glyphosate R
A49,42.83,-89.52,R,R,3x - glyphosate R
A50,42.81,-89.55,R,R,3x - glyphosate R
A51,42.86,-89.52,R,R,3x - glyphosate R
A53,42.700766,-89.281553,R,S,1x - glyphosate R
A54,42.503642,-89.176301,R,R,3x - glyphosate R
A55,42.811185,-89.272597,R,S,1x - glyphosate R
A56,42.62828,-89.250021,R,R,3x - glyphosate R
A57,42.776501,-89.240982,R,R,3x - glyphosate R
A58,42.658392,-89.185665,R,R,3x - glyphosate R
A59,42.749,-89.45,R,R,3x - glyphosate R
A60,42.803268,-89.244854,R,R,3x - glyphosate R
A61,42.695045,-89.445731,R,R,3x - glyphosate R
A62,42.6645,-88.8335,R,S,1x - glyphosate R
A63,42.756701,-89.380661,R,S,1x - glyphosate R
A64,42.825869,-89.362225,R,S,1x - glyphosate R
A65,42.825243,-90.839241,R,S,1x - glyphosate R
A66,42.831016,-90.789129,S,S,Susceptible
A67,43.87135,-88.18714,R,R,3x - glyphosate R
A68,44.206795,-88.061474,R,R,3x - glyphosate R
A69,43.639931,-88.582963,R,R,3x - glyphosate R
A70,43.854308,-90.654081,R,R,3x - glyphosate R
A72,44.375,-89.058,R,R,3x - glyphosate R
A73,42.734906,-90.48179,S,S,Susceptible
A74,42.733796,-90.334887,R,S,1x - glyphosate R
A75,43.67459,-88.66232,R,R,3x - glyphosate R
A76,43.706832,-88.624018,R,S,1x - glyphosate R
A77,43.714655,-88.517007,R,R,3x - glyphosate R
A82,45.170112,-91.286127,S,S,Susceptible
A83,44.129006,-88.586193,R,R,3x - glyphosate R
A84,44.708675,-92.64005,R,R,3x - glyphosate R
A85,44.970642,-92.200761,R,R,3x - glyphosate R
A86,44.851672,-92.563967,R,S,1x - glyphosate R
A87,43.61875,-87.905367,R,S,1x - glyphosate R
A89,43.872497,-87.813161,R,R,3x - glyphosate R
A90,44.828195,-87.954893,R,R,3x - glyphosate R
