Population,Latitude,Longitude,Glyphosate,Imazethapyr,Resistance
A2,44.694456,-92.013125,3x - Glyphosate R,3x - Imazethapyr R,3x - Resistance
A3,44.694456,-92.013125,3x - Glyphosate R,3x - Imazethapyr R,3x - Resistance
A8,44.298934,-88.015528,3x - Glyphosate R,3x - Imazethapyr R,3x - Resistance
A9,43.891388,-91.009444,3x - Glyphosate R,3x - Imazethapyr R,3x - Resistance
A10,44.5501,-91.3901,1x - Glyphosate R,3x - Imazethapyr R,1x - Resistance
A11,43.557218,-90.889119,3x - Glyphosate R,3x - Imazethapyr R,3x - Resistance
A12,44.1324,-91.55146,3x - Glyphosate R,3x - Imazethapyr R,3x - Resistance
A13,43.598136,-88.278865,3x - Glyphosate R,3x - Imazethapyr R,3x - Resistance
A14,43.518335,-88.451116,3x - Glyphosate R,3x - Imazethapyr R,3x - Resistance
A15,42.700158,-89.198636,3x - Glyphosate R,3x - Imazethapyr R,3x - Resistance
A17,44.245922,-88.534726,3x - Glyphosate R,3x - Imazethapyr R,3x - Resistance
A18,44.104862,-88.723604,3x - Glyphosate R,3x - Imazethapyr R,3x - Resistance
A19,44.078416,-88.162652,1x - Glyphosate R,3x - Imazethapyr R,1x - Resistance
A21,44.489708,-88.251927,3x - Glyphosate R,3x - Imazethapyr R,3x - Resistance
A22,44.395886,-88.212347,3x - Glyphosate R,3x - Imazethapyr R,3x - Resistance
A23,42.857878,-89.251281,3x - Glyphosate R,3x - Imazethapyr R,3x - Resistance
A24,44.300939,-88.059514,1x - Glyphosate R,3x - Imazethapyr R,1x - Resistance
A25,44.311068,-88.293739,1x - Glyphosate R,3x - Imazethapyr R,1x - Resistance
A26,42.837831,-88.336261,1x - Glyphosate R,1x - Imazethapyr R,1x - Resistance
A27,42.935252,-88.325648,3x - Glyphosate R,3x - Imazethapyr R,3x - Resistance
A28,43.08092,-88.380852,3x - Glyphosate R,3x - Imazethapyr R,3x - Resistance
A30,44.814772,-87.622445,1x - Glyphosate R,1x - Imazethapyr R,1x - Resistance
A31,44.734599,-87.670717,1x - Glyphosate R,3x - Imazethapyr R,1x - Resistance
A32,44.713336,-87.701973,3x - Glyphosate R,3x - Imazethapyr R,3x - Resistance
A33,43.91,-88.14,3x - Glyphosate R,3x - Imazethapyr R,3x - Resistance
A34,44.02,-87.98,3x - Glyphosate R,3x - Imazethapyr R,3x - Resistance
A35,44.1,-88.12,3x - Glyphosate R,3x - Imazethapyr R,3x - Resistance
A36,44.03,-88.18,1x - Glyphosate R,3x - Imazethapyr R,1x - Resistance
A37,43.586367,-89.384626,3x - Glyphosate R,3x - Imazethapyr R,3x - Resistance
A38,43.806267,-87.85771,3x - Glyphosate R,1x - Imazethapyr R,1x - Resistance
A39,43.862247,-87.842485,3x - Glyphosate R,3x - Imazethapyr R,3x - Resistance
A40,42.761388,-89.251111,1x - Glyphosate R,3x - Imazethapyr R,1x - Resistance
A41,44.470366,-87.979447,1x - Glyphosate R,3x - Imazethapyr R,1x - Resistance
A42,42.571569,-89.201148,1x - Glyphosate R,3x - Imazethapyr R,1x - Resistance
A44,42.56334,-89.23039,3x - Glyphosate R,3x - Imazethapyr R,3x - Resistance
A45,42.828888,-89.532222,3x - Glyphosate R,3x - Imazethapyr R,3x - Resistance
A47,42.83,-89.65,3x - Glyphosate R,3x - Imazethapyr R,3x - Resistance
A48,42.8,-89.34,3x - Glyphosate R,3x - Imazethapyr R,3x - Resistance
A49,42.83,-89.52,3x - Glyphosate R,3x - Imazethapyr R,3x - Resistance
A50,42.81,-89.55,3x - Glyphosate R,3x - Imazethapyr R,3x - Resistance
A51,42.86,-89.52,3x - Glyphosate R,3x - Imazethapyr R,3x - Resistance
A53,42.700766,-89.281553,1x - Glyphosate R,3x - Imazethapyr R,1x - Resistance
A55,42.811185,-89.272597,1x - Glyphosate R,3x - Imazethapyr R,1x - Resistance
A56,42.62828,-89.250021,3x - Glyphosate R,3x - Imazethapyr R,3x - Resistance
A57,42.776501,-89.240982,3x - Glyphosate R,3x - Imazethapyr R,3x - Resistance
A58,42.658392,-89.185665,3x - Glyphosate R,3x - Imazethapyr R,3x - Resistance
A59,42.749,-89.45,3x - Glyphosate R,3x - Imazethapyr R,3x - Resistance
A60,42.803268,-89.244854,3x - Glyphosate R,3x - Imazethapyr R,3x - Resistance
A61,42.695045,-89.445731,3x - Glyphosate R,3x - Imazethapyr R,3x - Resistance
A62,42.6645,-88.8335,1x - Glyphosate R,3x - Imazethapyr R,1x - Resistance
A63,42.756701,-89.380661,1x - Glyphosate R,3x - Imazethapyr R,1x - Resistance
A64,42.825869,-89.362225,1x - Glyphosate R,3x - Imazethapyr R,1x - Resistance
A65,42.825243,-90.839241,1x - Glyphosate R,3x - Imazethapyr R,1x - Resistance
A67,43.87135,-88.18714,3x - Glyphosate R,3x - Imazethapyr R,3x - Resistance
A68,44.206795,-88.061474,3x - Glyphosate R,3x - Imazethapyr R,3x - Resistance
A69,43.639931,-88.582963,3x - Glyphosate R,3x - Imazethapyr R,3x - Resistance
A70,43.854308,-90.654081,3x - Glyphosate R,3x - Imazethapyr R,3x - Resistance
A72,44.375,-89.058,3x - Glyphosate R,3x - Imazethapyr R,3x - Resistance
A74,42.733796,-90.334887,1x - Glyphosate R,3x - Imazethapyr R,1x - Resistance
A75,43.67459,-88.66232,3x - Glyphosate R,3x - Imazethapyr R,3x - Resistance
A76,43.706832,-88.624018,1x - Glyphosate R,3x - Imazethapyr R,1x - Resistance
A77,43.714655,-88.517007,3x - Glyphosate R,3x - Imazethapyr R,3x - Resistance
A83,44.129006,-88.586193,3x - Glyphosate R,3x - Imazethapyr R,3x - Resistance
A84,44.708675,-92.64005,3x - Glyphosate R,3x - Imazethapyr R,3x - Resistance
A85,44.970642,-92.200761,3x - Glyphosate R,3x - Imazethapyr R,3x - Resistance
A86,44.851672,-92.563967,1x - Glyphosate R,3x - Imazethapyr R,1x - Resistance
A89,43.872497,-87.813161,3x - Glyphosate R,1x - Imazethapyr R,1x - Resistance
A90,44.828195,-87.954893,3x - Glyphosate R,3x - Imazethapyr R,3x - Resistance
