Population,Latitude,Longitude,1x_Imazethapyr,3x_Imazethapyr,Resistance
A2,44.694456,-92.013125,R,R,3x - imazethapyr R
A3,44.694456,-92.013125,R,R,3x - imazethapyr R
A8,44.298934,-88.015528,S,R,3x - imazethapyr R
A9,43.891388,-91.009444,R,R,3x - imazethapyr R
A10,44.5501,-91.3901,R,R,3x - imazethapyr R
A11,43.557218,-90.889119,R,R,3x - imazethapyr R
A12,44.1324,-91.55146,R,R,3x - imazethapyr R
A13,43.598136,-88.278865,R,R,3x - imazethapyr R
A14,43.518335,-88.451116,R,R,3x - imazethapyr R
A15,42.700158,-89.198636,R,R,3x - imazethapyr R
A17,44.245922,-88.534726,R,R,3x - imazethapyr R
A18,44.104862,-88.723604,R,R,3x - imazethapyr R
A19,44.078416,-88.162652,R,R,3x - imazethapyr R
A20,44.358965,-88.168584,R,R,3x - imazethapyr R
A21,44.489708,-88.251927,R,R,3x - imazethapyr R
A22,44.395886,-88.212347,R,R,3x - imazethapyr R
A23,42.857878,-89.251281,R,R,3x - imazethapyr R
A24,44.300939,-88.059514,R,R,3x - imazethapyr R
A25,44.311068,-88.293739,R,R,3x - imazethapyr R
A26,42.837831,-88.336261,R,S,1x - imazethapyr R
A27,42.935252,-88.325648,R,R,3x - imazethapyr R
A28,43.08092,-88.380852,R,R,3x - imazethapyr R
A30,44.814772,-87.622445,R,S,1x - imazethapyr R
A31,44.734599,-87.670717,R,R,3x - imazethapyr R
A32,44.713336,-87.701973,R,R,3x - imazethapyr R
A33,43.91,-88.14,R,R,3x - imazethapyr R
A34,44.02,-87.98,R,R,3x - imazethapyr R
A35,44.1,-88.12,R,R,3x - imazethapyr R
A36,44.03,-88.18,R,R,3x - imazethapyr R
A37,43.586367,-89.384626,R,R,3x - imazethapyr R
A38,43.806267,-87.85771,R,S,1x - imazethapyr R
A39,43.862247,-87.842485,R,R,3x - imazethapyr R
A40,42.761388,-89.251111,R,R,3x - imazethapyr R
A41,44.470366,-87.979447,R,R,3x - imazethapyr R
A42,42.571569,-89.201148,R,R,3x - imazethapyr R
A44,42.56334,-89.23039,R,R,3x - imazethapyr R
A45,42.828888,-89.532222,R,R,3x - imazethapyr R
A47,42.83,-89.65,R,R,3x - imazethapyr R
A48,42.8,-89.34,R,R,3x - imazethapyr R
A49,42.83,-89.52,R,R,3x - imazethapyr R
A50,42.81,-89.55,R,R,3x - imazethapyr R
A51,42.86,-89.52,R,R,3x - imazethapyr R
A53,42.700766,-89.281553,R,R,3x - imazethapyr R
A55,42.811185,-89.272597,R,R,3x - imazethapyr R
A56,42.62828,-89.250021,R,R,3x - imazethapyr R
A57,42.776501,-89.240982,R,R,3x - imazethapyr R
A58,42.658392,-89.185665,R,R,3x - imazethapyr R
A59,42.749,-89.45,R,R,3x - imazethapyr R
A60,42.803268,-89.244854,R,R,3x - imazethapyr R
A61,42.695045,-89.445731,R,R,3x - imazethapyr R
A62,42.6645,-88.8335,R,R,3x - imazethapyr R
A63,42.756701,-89.380661,R,R,3x - imazethapyr R
A64,42.825869,-89.362225,R,R,3x - imazethapyr R
A65,42.825243,-90.839241,R,R,3x - imazethapyr R
A66,42.831016,-90.789129,R,R,3x - imazethapyr R
A67,43.87135,-88.18714,R,R,3x - imazethapyr R
A68,44.206795,-88.061474,R,R,3x - imazethapyr R
A69,43.639931,-88.582963,R,R,3x - imazethapyr R
A70,43.854308,-90.654081,R,R,3x - imazethapyr R
A72,44.375,-89.058,R,R,3x - imazethapyr R
A73,42.734906,-90.48179,R,R,3x - imazethapyr R
A74,42.733796,-90.334887,R,R,3x - imazethapyr R
A75,43.67459,-88.66232,R,R,3x - imazethapyr R
A76,43.706832,-88.624018,R,R,3x - imazethapyr R
A77,43.714655,-88.517007,R,R,3x - imazethapyr R
A82,45.170112,-91.286127,R,R,3x - imazethapyr R
A83,44.129006,-88.586193,R,R,3x - imazethapyr R
A84,44.708675,-92.64005,R,R,3x - imazethapyr R
A85,44.970642,-92.200761,R,R,3x - imazethapyr R
A86,44.851672,-92.563967,R,R,3x - imazethapyr R
A87,43.61875,-87.905367,S,S,Susceptible
A89,43.872497,-87.813161,R,S,1x - imazethapyr R
A90,44.828195,-87.954893,R,R,3x - imazethapyr R
A91,45.017061,-91.004261,R,S,1x - imazethapyr R
