population,latitude,longitude,glyphosate,imazethapyr,atrazine,dicamba,"2,4D",glufosinate,fomesafen,mesotrione,classification
A2,44.694456,-92.013125,3x,3x,s,,,,,,"3x gly, ima"
A3,44.694456,-92.013125,3x,3x,s,,,,,,"3x gly, ima"
A8,44.298934,-88.015528,3x,3x,s,s,s,s,s,s,"3x gly, ima"
A9,43.891388,-91.009444,3x,3x,3x,s,s,s,s,s,"3x gly, ima, atraz"
A10,44.5501,-91.3901,3x,3x,1x,,,,,,"3x gly, ima + 1x atraz"
A11,43.557218,-90.889119,3x,3x,1x,s,s,s,s,s,"3x gly, ima + 1x atraz"
A12,44.1324,-91.55146,3x,3x,s,,,,,,"3x gly, ima"
A13,43.598136,-88.278865,3x,3x,,,,,,,"3x gly, ima"
A14,43.518335,-88.451116,3x,3x,s,,,,,,"3x gly, ima"
A15,42.700158,-89.198636,3x,3x,s,,,,,,"3x gly, ima"
A17,44.245922,-88.534726,3x,3x,s,s,s,s,s,s,"3x gly, ima"
A18,44.104862,-88.723604,3x,3x,s,s,s,s,s,s,"3x gly, ima"
A19,44.078416,-88.162652,1x,3x,1x,,,,,,"3x ima + 1x gly, atraz"
A20,44.358965,-88.168584,s,3x,3x,s,s,s,s,s,"3x ima, atraz"
A21,44.489708,-88.251927,3x,3x,s,,,,,,"3x gly, ima"
A22,44.395886,-88.212347,3x,3x,s,s,s,s,s,s,"3x gly, ima"
A23,42.857878,-89.251281,3x,3x,s,s,s,s,s,s,"3x gly, ima"
A24,44.300939,-88.059514,3x,3x,s,,,,,,"3x gly, ima"
A25,44.311068,-88.293739,1x,3x,s,,,,,,3x ima + 1x gly
A26,42.837831,-88.336261,1x,1x,s,,,,,,"1x gly, ima"
A27,42.935252,-88.325648,3x,3x,s,s,s,s,s,s,"3x gly, ima"
A28,43.08092,-88.380852,3x,3x,s,,,,,,"3x gly, ima"
A30,44.814772,-87.622445,3x,1x,s,,,,,,3x gly + 1x ima
A31,44.734599,-87.670717,3x,3x,s,s,s,s,s,s,"3x gly, ima"
A32,44.713336,-87.701973,3x,3x,s,,,,,,"3x gly, ima"
A33,43.91,-88.14,3x,3x,s,,,,,,"3x gly, ima"
