population,latitude,longitude,atrazine,metribuzin,fomesafen,s-metolachlor,mesotrione,classification
A8,44.298934,-88.015528,1x,s,s,s,s,1x atraz
A9,43.891388,-91.009444,3x,s,s,s,s,3x atraz
A11,43.557218,-90.889119,3x,s,s,s,s,3x atraz
A15,42.700158,-89.198636,,,s,s,s,susceptible
A17,44.245922,-88.534726,3x,s,s,s,s,3x atraz
A18,44.104862,-88.723604,1x,s,s,s,s,1x atraz
A20,44.358965,-88.168584,3x,s,1x,s,0.5x,3x atraz + 1x fomes + 0.5x meso
A22,44.395886,-88.212347,0.5x,s,s,s,s,0.5x atraz
A23,42.857878,-89.251281,3x,s,s,s,s,3x atraz
A27,42.935252,-88.325648,0.5x,s,s,s,s,0.5x atraz
A31,44.734599,-87.670717,1x,s,s,s,s,1x atraz
A34,44.02,-87.98,1x,s,s,s,s,1x atraz
A35,44.1,-88.12,0.5x,s,s,s,s,0.5x atraz
A36,44.03,-88.18,3x,s,s,s,s,3x atraz
A37,43.586367,-89.384626,3x,s,s,s,s,3x atraz
A39,43.862247,-87.842485,1x,s,s,s,s,1x atraz
A41,44.470366,-87.979447,1x,s,s,s,s,1x atraz
A44,42.56334,-89.23039,0.5x,s,s,s,s,0.5x atraz
A45,42.828888,-89.532222,1x,s,s,s,s,1x atraz
A47,42.83,-89.65,s,s,s,s,s,susceptible
A57,42.776501,-89.240982,s,s,s,s,s,susceptible
A65,42.825243,-90.839241,3x,s,0.5x,s,s,3x atraz + 0.5x fomes
A66,42.831016,-90.789129,3x,s,s,s,s,3x atraz
A67,43.87135,-88.18714,0.5x,s,s,s,s,0.5x atraz
A75,43.67459,-88.66232,3x,s,0.5x,0.5x,s,"3x atraz + 0.5x fomes, s-met"
A76,43.706832,-88.624018,1x,s,s,s,s,1x atraz
A82,45.170112,-91.286127,1x,s,s,s,s,1x atraz
A87,43.61875,-87.905367,0.5x,s,s,s,s,0.5x atraz
A90,44.828195,-87.954893,1x,s,s,s,s,1x atraz
A91,45.017061,-91.004261,1x,s,s,s,s,1x atraz
