run,pop,herb,rate,dose,rep,surv,biomass
1,AT2,fomesafen,0x,0,1,1,1.493
1,AT2,fomesafen,0x,0,2,1,1.26
1,AT2,fomesafen,0x,0,3,1,1.172
1,AT2,fomesafen,0x,0,4,1,1.929
1,AT2,fomesafen,0.125x,32.875,1,1,1.854
1,AT2,fomesafen,0.125x,32.875,2,1,1.617
1,AT2,fomesafen,0.125x,32.875,3,1,0.972
1,AT2,fomesafen,0.125x,32.875,4,1,1.571
1,AT2,fomesafen,0.25x,65.75,1,1,1.862
1,AT2,fomesafen,0.25x,65.75,2,1,1.551
1,AT2,fomesafen,0.25x,65.75,3,1,1.545
1,AT2,fomesafen,0.25x,65.75,4,1,1.075
1,AT2,fomesafen,0.5x,131.5,1,1,0.746
1,AT2,fomesafen,0.5x,131.5,2,1,1.754
1,AT2,fomesafen,0.5x,131.5,3,1,1.118
1,AT2,fomesafen,0.5x,131.5,4,1,0.854
1,AT2,fomesafen,1x,263,1,1,0.884
1,AT2,fomesafen,1x,263,2,1,0.895
1,AT2,fomesafen,1x,263,3,0,0
1,AT2,fomesafen,1x,263,4,0,0
1,AT2,fomesafen,2x,526,1,0,0
1,AT2,fomesafen,2x,526,2,0,0
1,AT2,fomesafen,2x,526,3,1,0.17
1,AT2,fomesafen,2x,526,4,0,0
1,AT2,fomesafen,4x,1052,1,0,0
1,AT2,fomesafen,4x,1052,2,0,0
1,AT2,fomesafen,4x,1052,3,0,0
1,AT2,fomesafen,4x,1052,4,1,0.267
1,AT2,fomesafen,8x,2104,1,1,0.261
1,AT2,fomesafen,8x,2104,2,0,0
1,AT2,fomesafen,8x,2104,3,0,0
1,AT2,fomesafen,8x,2104,4,0,0
1,AT8-EDGE,fomesafen,0x,0,1,1,1.199
1,AT8-EDGE,fomesafen,0x,0,2,1,1.284
1,AT8-EDGE,fomesafen,0x,0,3,1,1.655
1,AT8-EDGE,fomesafen,0x,0,4,1,2.069
1,AT8-EDGE,fomesafen,0.125x,32.875,1,0,0
1,AT8-EDGE,fomesafen,0.125x,32.875,2,0,0
1,AT8-EDGE,fomesafen,0.125x,32.875,3,0,0
1,AT8-EDGE,fomesafen,0.125x,32.875,4,0,0
1,AT8-EDGE,fomesafen,0.25x,65.75,1,0,0
1,AT8-EDGE,fomesafen,0.25x,65.75,2,0,0
1,AT8-EDGE,fomesafen,0.25x,65.75,3,0,0
1,AT8-EDGE,fomesafen,0.25x,65.75,4,0,0
1,AT8-EDGE,fomesafen,0.5x,131.5,1,0,0
1,AT8-EDGE,fomesafen,0.5x,131.5,2,0,0
1,AT8-EDGE,fomesafen,0.5x,131.5,3,0,0
