rate,Accession,run,control
0,ALS-susceptible,1st,0
0,ALS-susceptible,1st,0
0,ALS-susceptible,1st,0
0,ALS-susceptible,1st,0
0,ALS-susceptible,1st,0
0,ALS-susceptible,1st,0
3.9,ALS-susceptible,1st,10
3.9,ALS-susceptible,1st,15
3.9,ALS-susceptible,1st,15
3.9,ALS-susceptible,1st,10
3.9,ALS-susceptible,1st,15
3.9,ALS-susceptible,1st,15
7.9,ALS-susceptible,1st,20
7.9,ALS-susceptible,1st,20
7.9,ALS-susceptible,1st,25
7.9,ALS-susceptible,1st,27
7.9,ALS-susceptible,1st,35
7.9,ALS-susceptible,1st,20
15.9,ALS-susceptible,1st,40
15.9,ALS-susceptible,1st,45
15.9,ALS-susceptible,1st,40
15.9,ALS-susceptible,1st,45
15.9,ALS-susceptible,1st,45
15.9,ALS-susceptible,1st,45
31.7,ALS-susceptible,1st,60
31.7,ALS-susceptible,1st,60
31.7,ALS-susceptible,1st,90
31.7,ALS-susceptible,1st,90
31.7,ALS-susceptible,1st,85
31.7,ALS-susceptible,1st,85
63.5,ALS-susceptible,1st,90
63.5,ALS-susceptible,1st,90
63.5,ALS-susceptible,1st,92
63.5,ALS-susceptible,1st,92
63.5,ALS-susceptible,1st,92
63.5,ALS-susceptible,1st,92
127,ALS-susceptible,1st,95
127,ALS-susceptible,1st,95
127,ALS-susceptible,1st,95
127,ALS-susceptible,1st,99
127,ALS-susceptible,1st,99
127,ALS-susceptible,1st,95
254,ALS-susceptible,1st,99
254,ALS-susceptible,1st,95
254,ALS-susceptible,1st,98
254,ALS-susceptible,1st,98
254,ALS-susceptible,1st,98
254,ALS-susceptible,1st,98
0,ALS-resistant,1st,0
0,ALS-resistant,1st,0
0,ALS-resistant,1st,0
0,ALS-resistant,1st,0
0,ALS-resistant,1st,0
0,ALS-resistant,1st,0
3.9,ALS-resistant,1st,8
3.9,ALS-resistant,1st,10
3.9,ALS-resistant,1st,10
3.9,ALS-resistant,1st,8
3.9,ALS-resistant,1st,10
3.9,ALS-resistant,1st,8
7.9,ALS-resistant,1st,15
7.9,ALS-resistant,1st,12
7.9,ALS-resistant,1st,15
7.9,ALS-resistant,1st,12
7.9,ALS-resistant,1st,18
7.9,ALS-resistant,1st,15
15.9,ALS-resistant,1st,25
15.9,ALS-resistant,1st,28
15.9,ALS-resistant,1st,25
15.9,ALS-resistant,1st,25
15.9,ALS-resistant,1st,25
15.9,ALS-resistant,1st,25
31.7,ALS-resistant,1st,25
31.7,ALS-resistant,1st,25
31.7,ALS-resistant,1st,28
31.7,ALS-resistant,1st,25
31.7,ALS-resistant,1st,28
31.7,ALS-resistant,1st,28
63.5,ALS-resistant,1st,28
63.5,ALS-resistant,1st,28
63.5,ALS-resistant,1st,25
63.5,ALS-resistant,1st,28
63.5,ALS-resistant,1st,28
63.5,ALS-resistant,1st,28
127,ALS-resistant,1st,30
127,ALS-resistant,1st,35
127,ALS-resistant,1st,30
127,ALS-resistant,1st,35
127,ALS-resistant,1st,30
127,ALS-resistant,1st,30
254,ALS-resistant,1st,35
254,ALS-resistant,1st,35
254,ALS-resistant,1st,35
254,ALS-resistant,1st,35
254,ALS-resistant,1st,35
254,ALS-resistant,1st,35
0,ALS-susceptible,2nd,0
0,ALS-susceptible,2nd,0
0,ALS-susceptible,2nd,0
0,ALS-susceptible,2nd,0
0,ALS-susceptible,2nd,0
0,ALS-susceptible,2nd,0
3.9,ALS-susceptible,2nd,10
3.9,ALS-susceptible,2nd,15
3.9,ALS-susceptible,2nd,15
3.9,ALS-susceptible,2nd,10
3.9,ALS-susceptible,2nd,10
3.9,ALS-susceptible,2nd,10
7.9,ALS-susceptible,2nd,15
7.9,ALS-susceptible,2nd,20
7.9,ALS-susceptible,2nd,20
7.9,ALS-susceptible,2nd,15
7.9,ALS-susceptible,2nd,18
7.9,ALS-susceptible,2nd,20
15.9,ALS-susceptible,2nd,20
15.9,ALS-susceptible,2nd,25
15.9,ALS-susceptible,2nd,25
15.9,ALS-susceptible,2nd,30
15.9,ALS-susceptible,2nd,35
15.9,ALS-susceptible,2nd,30
31.7,ALS-susceptible,2nd,70
31.7,ALS-susceptible,2nd,75
31.7,ALS-susceptible,2nd,70
31.7,ALS-susceptible,2nd,75
31.7,ALS-susceptible,2nd,85
31.7,ALS-susceptible,2nd,75
63.5,ALS-susceptible,2nd,70
63.5,ALS-susceptible,2nd,95
63.5,ALS-susceptible,2nd,80
63.5,ALS-susceptible,2nd,70
63.5,ALS-susceptible,2nd,90
63.5,ALS-susceptible,2nd,85
127,ALS-susceptible,2nd,95
127,ALS-susceptible,2nd,95
127,ALS-susceptible,2nd,97
127,ALS-susceptible,2nd,97
127,ALS-susceptible,2nd,95
127,ALS-susceptible,2nd,95
254,ALS-susceptible,2nd,100
254,ALS-susceptible,2nd,100
254,ALS-susceptible,2nd,95
254,ALS-susceptible,2nd,100
254,ALS-susceptible,2nd,95
254,ALS-susceptible,2nd,95
0,ALS-resistant,2nd,0
0,ALS-resistant,2nd,0
0,ALS-resistant,2nd,0
0,ALS-resistant,2nd,0
0,ALS-resistant,2nd,0
0,ALS-resistant,2nd,0
3.9,ALS-resistant,2nd,10
3.9,ALS-resistant,2nd,10
3.9,ALS-resistant,2nd,8
3.9,ALS-resistant,2nd,10
3.9,ALS-resistant,2nd,10
3.9,ALS-resistant,2nd,10
7.9,ALS-resistant,2nd,12
7.9,ALS-resistant,2nd,15
7.9,ALS-resistant,2nd,15
7.9,ALS-resistant,2nd,15
7.9,ALS-resistant,2nd,12
7.9,ALS-resistant,2nd,15
15.9,ALS-resistant,2nd,20
15.9,ALS-resistant,2nd,15
15.9,ALS-resistant,2nd,25
15.9,ALS-resistant,2nd,30
15.9,ALS-resistant,2nd,25
15.9,ALS-resistant,2nd,25
31.7,ALS-resistant,2nd,20
31.7,ALS-resistant,2nd,25
31.7,ALS-resistant,2nd,30
31.7,ALS-resistant,2nd,25
31.7,ALS-resistant,2nd,25
31.7,ALS-resistant,2nd,25
63.5,ALS-resistant,2nd,28
63.5,ALS-resistant,2nd,30
63.5,ALS-resistant,2nd,25
63.5,ALS-resistant,2nd,28
63.5,ALS-resistant,2nd,28
63.5,ALS-resistant,2nd,28
127,ALS-resistant,2nd,28
127,ALS-resistant,2nd,28
127,ALS-resistant,2nd,30
127,ALS-resistant,2nd,28
127,ALS-resistant,2nd,28
127,ALS-resistant,2nd,30
254,ALS-resistant,2nd,30
254,ALS-resistant,2nd,35
254,ALS-resistant,2nd,35
254,ALS-resistant,2nd,30
254,ALS-resistant,2nd,30
254,ALS-resistant,2nd,30
