Dose	Rep	Biotype	Response
0	1	S	60
40	1	S	45.47105562
60	1	S	26.26756897
80	1	S	16.61936031
160	1	S	10.47233264
320	1	S	10.02978457
0	1	R	60
40	1	R	48.37684449
60	1	R	33.01405518
80	1	R	25.29548824
160	1	R	20.37786611
320	1	R	20.02382766
0	2	S	62.4
40	2	S	47.28989784
60	2	S	27.31827173
80	2	S	17.28413472
160	2	S	10.89122595
320	2	S	10.43097595
0	2	R	62.4
40	2	R	50.31191827
60	2	R	34.33461739
80	2	R	26.30730777
160	2	R	21.19298076
320	2	R	20.82478076
0	3	S	58.2
40	3	S	44.10692395
60	3	S	25.47954191
80	3	S	16.1207795
160	3	S	10.15816266
320	3	S	9.728891032
0	3	R	58.2
40	3	R	46.92553916
60	3	R	32.02363352
80	3	R	24.5366236
160	3	R	19.76653013
320	3	R	19.42311283
