run,pop,herb,Dose,rep,surv,biomass,biored
1,BROOK,Imazethapyr,1x,1,1,2.152,2.70368026
1,BROOK,Imazethapyr,1x,2,1,2.512,0
1,BROOK,Imazethapyr,1x,3,1,2.835,0
1,BROOK,Imazethapyr,1x,4,1,3.685,0
1,BROOK,Imazethapyr,1x,5,1,2.315,0
1,BROOK,Glyphosate,1x,1,1,1.651,25.35491455
1,BROOK,Glyphosate,1x,2,1,4.11,0
1,BROOK,Glyphosate,1x,3,1,3.976,0
1,BROOK,Glyphosate,1x,4,1,0.485,78.07215842
1,BROOK,Glyphosate,1x,5,1,3.956,0
1,BROOK,Atrazine,1x,1,0,0,100
1,BROOK,Atrazine,1x,2,1,2.113,4.466949995
1,BROOK,Atrazine,1x,3,1,1.55,29.92133104
1,BROOK,Atrazine,1x,4,0,0,100
1,BROOK,Atrazine,1x,5,0,0,100
1,BROOK,Dicamba,1x,1,1,0.642,70.97386744
1,BROOK,Dicamba,1x,2,1,1.682,23.95334117
1,BROOK,Dicamba,1x,3,0,0,100
1,BROOK,Dicamba,1x,4,0,0,100
1,BROOK,Dicamba,1x,5,1,1.233,44.25354915
1,BROOK,"2,4-D",1x,1,0,0,100
1,BROOK,"2,4-D",1x,2,1,1.118,49.45293426
1,BROOK,"2,4-D",1x,3,1,1.29,41.67646261
1,BROOK,"2,4-D",1x,4,1,1.641,25.80703499
1,BROOK,"2,4-D",1x,5,0,0,100
1,BROOK,Fomesafen,1x,1,1,2.553,0
1,BROOK,Fomesafen,1x,2,1,2.704,0
1,BROOK,Fomesafen,1x,3,1,4.083,0
1,BROOK,Fomesafen,1x,4,0,0,100
1,BROOK,Fomesafen,1x,5,1,0.17,92.31395244
1,BROOK,Mesotrione,1x,1,1,0.285,87.11456732
1,BROOK,Mesotrione,1x,2,1,1.471,33.49308256
1,BROOK,Mesotrione,1x,3,0,0,100
1,BROOK,Mesotrione,1x,4,1,0.183,91.72619586
1,BROOK,Mesotrione,1x,5,1,1.172,47.01148386
1,BROOK,Imazethapyr,3x,1,1,2.916,0
1,BROOK,Imazethapyr,3x,2,1,3.346,0
1,BROOK,Imazethapyr,3x,3,1,3.557,0
1,BROOK,Imazethapyr,3x,4,1,0.545,75.35943575
1,BROOK,Imazethapyr,3x,5,1,3.662,0
1,BROOK,Glyphosate,3x,1,1,2.875,0
1,BROOK,Glyphosate,3x,2,0,0,100
1,BROOK,Glyphosate,3x,3,1,3.681,0
1,BROOK,Glyphosate,3x,4,1,3.59,0
1,BROOK,Glyphosate,3x,5,0,0,100
1,BROOK,Atrazine,3x,1,1,1.817,17.84971516
1,BROOK,Atrazine,3x,2,0,0,100
1,BROOK,Atrazine,3x,3,1,1.298,41.31476625
1,BROOK,Atrazine,3x,4,0,0,100
1,BROOK,Atrazine,3x,5,1,1.524,31.0968442
1,BROOK,Dicamba,3x,1,0,0,100
1,BROOK,Dicamba,3x,2,0,0,100
1,BROOK,Dicamba,3x,3,0,0,100
1,BROOK,Dicamba,3x,4,0,0,100
1,BROOK,Dicamba,3x,5,0,0,100
1,BROOK,"2,4-D",3x,1,0,0,100
1,BROOK,"2,4-D",3x,2,1,0.465,78.97639931
1,BROOK,"2,4-D",3x,3,0,0,100
1,BROOK,"2,4-D",3x,4,0,0,100
1,BROOK,"2,4-D",3x,5,0,0,100
1,BROOK,Fomesafen,3x,1,1,0.954,56.86770956
1,BROOK,Fomesafen,3x,2,0,0,100
1,BROOK,Fomesafen,3x,3,0,0,100
1,BROOK,Fomesafen,3x,4,0,0,100
1,BROOK,Fomesafen,3x,5,1,2.721,0
1,BROOK,Mesotrione,3x,1,0,0,100
1,BROOK,Mesotrione,3x,2,0,0,100
1,BROOK,Mesotrione,3x,3,0,0,100
1,BROOK,Mesotrione,3x,4,0,0,100
1,BROOK,Mesotrione,3x,5,1,0.735,66.7691473
2,BROOK,Imazethapyr,1x,1,1,2.654,6.463663918
2,BROOK,Imazethapyr,1x,2,1,2.584,8.930711214
2,BROOK,Imazethapyr,1x,3,1,0.795,71.98139141
2,BROOK,Imazethapyr,1x,4,1,1.637,42.30633679
2,BROOK,Imazethapyr,1x,5,0,0,100
2,BROOK,Glyphosate,1x,1,1,2.961,0
2,BROOK,Glyphosate,1x,2,1,1.845,34.97568196
2,BROOK,Glyphosate,1x,3,1,2.914,0
2,BROOK,Glyphosate,1x,4,1,2.379,16.15563544
2,BROOK,Glyphosate,1x,5,1,3.345,0
2,BROOK,Atrazine,1x,1,0,0,100
2,BROOK,Atrazine,1x,2,0,0,100
2,BROOK,Atrazine,1x,3,1,2.393,15.66222598
2,BROOK,Atrazine,1x,4,0,0,100
2,BROOK,Atrazine,1x,5,1,1.453,48.79114682
2,BROOK,Dicamba,1x,1,0,0,100
2,BROOK,Dicamba,1x,2,1,0.885,68.80947346
2,BROOK,Dicamba,1x,3,0,0,100
2,BROOK,Dicamba,1x,4,1,1.519,46.46507366
2,BROOK,Dicamba,1x,5,1,1.205,57.53154296
2,BROOK,"2,4-D",1x,1,1,1.285,54.71206034
2,BROOK,"2,4-D",1x,2,1,1.093,61.47881864
2,BROOK,"2,4-D",1x,3,1,0.313,88.96877423
2,BROOK,"2,4-D",1x,4,0,0,100
2,BROOK,"2,4-D",1x,5,1,0.232,91.82350039
2,BROOK,Fomesafen,1x,1,1,3.068,0
2,BROOK,Fomesafen,1x,2,1,1.64,42.20060619
2,BROOK,Fomesafen,1x,3,0,0,100
2,BROOK,Fomesafen,1x,4,1,0.952,66.44815676
2,BROOK,Fomesafen,1x,5,1,0.864,69.54958765
2,BROOK,Mesotrione,1x,1,1,0.558,80.33410869
2,BROOK,Mesotrione,1x,2,1,0.194,93.16275463
2,BROOK,Mesotrione,1x,3,1,0.208,92.66934518
2,BROOK,Mesotrione,1x,4,0,0,100
2,BROOK,Mesotrione,1x,5,1,0.729,74.30746458
2,BROOK,Imazethapyr,3x,1,0,0,100
2,BROOK,Imazethapyr,3x,2,1,2.294,19.15133573
2,BROOK,Imazethapyr,3x,3,1,1.972,30.4997533
2,BROOK,Imazethapyr,3x,4,1,2.725,3.961373088
2,BROOK,Imazethapyr,3x,5,1,2.48,12.59603863
2,BROOK,Glyphosate,3x,1,1,2.977,0
2,BROOK,Glyphosate,3x,2,0,0,100
2,BROOK,Glyphosate,3x,3,1,1.665,41.31951787
2,BROOK,Glyphosate,3x,4,1,1.785,37.09029393
2,BROOK,Glyphosate,3x,5,1,2.56,9.776556002
2,BROOK,Atrazine,3x,1,1,1.558,45.09057588
2,BROOK,Atrazine,3x,2,0,0,100
2,BROOK,Atrazine,3x,3,0,0,100
2,BROOK,Atrazine,3x,4,0,0,100
2,BROOK,Atrazine,3x,5,0,0,100
2,BROOK,Dicamba,3x,1,1,0.55,80.61605695
2,BROOK,Dicamba,3x,2,0,0,100
2,BROOK,Dicamba,3x,3,0,0,100
2,BROOK,Dicamba,3x,4,0,0,100
2,BROOK,Dicamba,3x,5,0,0,100
2,BROOK,"2,4-D",3x,1,0,0,100
2,BROOK,"2,4-D",3x,2,0,0,100
2,BROOK,"2,4-D",3x,3,0,0,100
2,BROOK,"2,4-D",3x,4,0,0,100
2,BROOK,"2,4-D",3x,5,0,0,100
2,BROOK,Fomesafen,3x,1,1,0.743,73.81405512
2,BROOK,Fomesafen,3x,2,0,0,100
2,BROOK,Fomesafen,3x,3,1,0.075,97.35673504
2,BROOK,Fomesafen,3x,4,1,0.894,68.49228167
2,BROOK,Fomesafen,3x,5,1,0.323,88.6163389
2,BROOK,Mesotrione,3x,1,0,0,100
2,BROOK,Mesotrione,3x,2,1,0.196,93.09226757
2,BROOK,Mesotrione,3x,3,0,0,100
2,BROOK,Mesotrione,3x,4,0,0,100
2,BROOK,Mesotrione,3x,5,0,0,100
