run,pop,herb,rate,dose,rep,vr,surv,biomass
1,BROK,GLU,0x,0,1,0,1,2.95
1,BROK,GLU,0x,0,2,0,1,3.184
1,BROK,GLU,0x,0,3,0,1,3.06
1,BROK,GLU,0x,0,4,0,1,4.337
1,BROK,GLU,0x,0,5,0,1,3.148
1,BROK,GLU,0.125x,81.25,1,5,1,1.989
1,BROK,GLU,0.125x,81.25,2,3,1,3.012
1,BROK,GLU,0.125x,81.25,3,3,1,2.455
1,BROK,GLU,0.125x,81.25,4,8,1,2.926
1,BROK,GLU,0.125x,81.25,5,3,1,4.098
1,BROK,GLU,0.25x,162.5,1,8,1,3.561
1,BROK,GLU,0.25x,162.5,2,3,1,2.711
1,BROK,GLU,0.25x,162.5,3,8,1,2.728
1,BROK,GLU,0.25x,162.5,4,2,1,3.487
1,BROK,GLU,0.25x,162.5,5,10,1,2.637
1,BROK,GLU,0.5x,325,1,15,1,2.881
1,BROK,GLU,0.5x,325,2,45,1,0.6
1,BROK,GLU,0.5x,325,3,20,1,1.506
1,BROK,GLU,0.5x,325,4,65,1,0.2
1,BROK,GLU,0.5x,325,5,15,1,2.581
1,BROK,GLU,1x,650,1,50,1,1.411
1,BROK,GLU,1x,650,2,65,1,0.409
1,BROK,GLU,1x,650,3,100,0,0
1,BROK,GLU,1x,650,4,100,0,0
1,BROK,GLU,1x,650,5,62,1,0.534
1,BROK,GLU,2x,1300,1,100,0,0
1,BROK,GLU,2x,1300,2,100,0,0
1,BROK,GLU,2x,1300,3,99,1,0.111
1,BROK,GLU,2x,1300,4,100,0,0
1,BROK,GLU,2x,1300,5,100,0,0
1,BROK,GLU,4x,2600,1,100,0,0
1,BROK,GLU,4x,2600,2,100,0,0
1,BROK,GLU,4x,2600,3,100,0,0
1,BROK,GLU,4x,2600,4,100,0,0
1,BROK,GLU,4x,2600,5,100,0,0
1,BROK,GLU,8x,5200,1,100,0,0
1,BROK,GLU,8x,5200,2,100,0,0
