id,run,trt,spp,rep,vr_7dat,vr_14dat,vr_21dat,vr_28dat,surv,bio_red
67,1,1,amare,1,0.25,0.15,0.05,0.05,1,0.26
68,1,1,amare,2,0.25,0.2,0.1,0.1,1,0.15
69,1,1,amare,3,0.25,0.2,0.1,0.15,1,0.33
70,1,1,amare,4,0.25,0.2,0.15,0.15,1,0.36
71,1,1,amare,5,0.25,0.2,0.1,0.1,1,0.16
72,1,1,amare,6,0.2,0.2,0.1,0.1,1,0.03
73,1,2,amare,1,0.55,0.8,0.7,0.5,1,0.8
74,1,2,amare,2,0.35,0.5,0.25,0.2,1,0.46
75,1,2,amare,3,0.4,0.5,0.3,0.25,1,0.64
76,1,2,amare,4,0.45,0.6,0.25,0.2,1,0.45
77,1,2,amare,5,0.5,0.75,0.7,0.3,1,0.8
78,1,2,amare,6,0.45,0.35,0.25,0.15,1,0.33
79,1,3,amare,1,0.01,0.01,0.01,0.01,1,0.01
80,1,3,amare,2,0.01,0.01,0.01,0.01,1,0.01
81,1,3,amare,3,0.01,0.01,0.01,0.01,1,0.01
82,1,3,amare,4,0.01,0.01,0.01,0.01,1,0.02
83,1,3,amare,5,0.01,0.01,0.01,0.01,1,0.01
84,1,3,amare,6,0.01,0.01,0.01,0.01,1,0.13
85,1,4,amare,1,0.4,0.4,0.3,0.3,1,0.21
86,1,4,amare,2,0.4,0.35,0.3,0.2,1,0.29
87,1,4,amare,3,0.35,0.4,0.3,0.25,1,0.52
88,1,4,amare,4,0.5,0.45,0.35,0.25,1,0.61
89,1,4,amare,5,0.4,0.3,0.25,0.2,1,0.16
90,1,4,amare,6,0.3,0.35,0.25,0.2,1,0.31
91,1,5,amare,1,0.7,0.7,0.6,0.5,1,0.73
92,1,5,amare,2,0.5,0.65,0.7,0.4,1,0.7
93,1,5,amare,3,0.55,0.8,0.95,0.9,1,0.93
94,1,5,amare,4,0.6,0.8,0.95,0.9,1,0.9
95,1,5,amare,5,0.55,0.7,0.95,0.95,1,0.91
96,1,5,amare,6,0.6,0.7,0.75,0.75,1,0.81
97,1,6,amare,1,0.55,0.7,0.8,0.7,1,0.74
98,1,6,amare,2,0.65,0.75,0.9,0.9,1,0.89
99,1,6,amare,3,0.6,0.8,0.8,0.8,1,0.81
100,1,6,amare,4,0.55,0.85,0.95,0.95,1,0.95
101,1,6,amare,5,0.8,0.95,0.95,0.95,1,0.97
102,1,6,amare,6,0.6,0.65,0.6,0.4,1,0.64
103,1,7,amare,1,0.95,0.95,0.95,0.99,0,0.99
104,1,7,amare,2,0.85,0.95,0.95,0.95,1,0.96
105,1,7,amare,3,0.8,0.95,0.99,0.99,0,0.99
106,1,7,amare,4,0.8,0.99,0.99,0.99,0,0.99
107,1,7,amare,5,0.7,0.95,0.99,0.99,0,0.99
108,1,7,amare,6,0.8,0.9,0.95,0.99,0,0.99
109,1,8,amare,1,0.7,0.85,0.95,0.99,0,0.99
110,1,8,amare,2,0.9,0.95,0.95,0.99,0,0.99
111,1,8,amare,3,0.85,0.95,0.99,0.99,0,0.99
112,1,8,amare,4,0.8,0.95,0.95,0.99,0,0.99
113,1,8,amare,5,0.7,0.9,0.95,0.95,1,0.97
114,1,8,amare,6,0.8,0.9,0.95,0.95,1,0.88
115,1,9,amare,1,0.75,0.85,0.95,0.99,0,0.99
116,1,9,amare,2,0.8,0.95,0.95,0.99,0,0.99
117,1,9,amare,3,0.8,0.95,0.95,0.99,0,0.99
118,1,9,amare,4,0.8,0.95,0.95,0.95,1,0.93
119,1,9,amare,5,0.85,0.8,0.85,0.85,1,0.89
120,1,9,amare,6,0.7,0.75,0.9,0.9,1,0.92
121,1,10,amare,1,0.95,0.95,0.95,0.99,0,0.99
122,1,10,amare,2,0.95,0.99,0.99,0.99,0,0.99
123,1,10,amare,3,0.8,0.95,0.95,0.95,1,0.9
124,1,10,amare,4,0.7,0.95,0.95,0.99,0,0.99
125,1,10,amare,5,0.8,0.95,0.95,0.99,0,0.99
126,1,10,amare,6,0.8,0.9,0.95,0.95,1,0.92
