id,run,trt,spp,rep,vr_7dat,vr_14dat,vr_21dat,vr_28dat,surv,bio_red
1,1,1,sorvu,1,0.35,0.5,0.5,0.5,1,0.95
2,1,1,sorvu,2,0.4,0.6,0.5,0.3,1,0.88
3,1,1,sorvu,3,0.35,0.55,0.3,0.25,1,0.81
4,1,1,sorvu,4,0.4,0.5,0.5,0.5,1,0.95
5,1,1,sorvu,5,0.4,0.5,0.4,0.3,1,0.91
6,1,1,sorvu,6,0.4,0.6,0.5,0.25,1,0.88
7,1,2,sorvu,6,0.5,0.6,0.7,0.2,1,0.84
8,1,2,sorvu,2,0.5,0.5,0.6,0.6,1,0.93
9,1,2,sorvu,3,0.55,0.5,0.6,0.6,1,0.95
10,1,2,sorvu,4,0.5,0.5,0.7,0.65,1,0.96
11,1,2,sorvu,5,0.55,0.5,0.7,0.7,1,0.96
12,1,2,sorvu,6,0.55,0.5,0.65,0.6,1,0.96
13,1,3,sorvu,1,0.01,0.01,0.01,0.01,1,0.01
14,1,3,sorvu,2,0.01,0.01,0.01,0.01,1,0.01
15,1,3,sorvu,3,0.01,0.01,0.01,0.01,1,0.03
16,1,3,sorvu,4,0.01,0.01,0.01,0.01,1,0.01
17,1,3,sorvu,5,0.01,0.01,0.01,0.01,1,0.01
18,1,3,sorvu,6,0.01,0.01,0.01,0.01,1,0.01
19,1,4,sorvu,1,0.55,0.5,0.5,0.6,1,0.93
20,1,4,sorvu,2,0.55,0.6,0.6,0.6,1,0.95
21,1,4,sorvu,3,0.55,0.65,0.6,0.6,1,0.95
22,1,4,sorvu,4,0.55,0.6,0.4,0.4,1,0.82
23,1,4,sorvu,5,0.55,0.6,0.5,0.6,1,0.92
24,1,4,sorvu,6,0.55,0.6,0.6,0.6,1,0.95
25,1,5,sorvu,1,0.65,0.65,0.6,0.7,1,0.96
26,1,5,sorvu,2,0.6,0.75,0.9,0.85,1,0.93
27,1,5,sorvu,3,0.6,0.75,0.85,0.85,1,0.92
28,1,5,sorvu,4,0.65,0.8,0.9,0.85,1,0.97
29,1,5,sorvu,5,0.6,0.8,0.9,0.9,1,0.96
30,1,5,sorvu,6,0.65,0.75,0.85,0.85,1,0.95
31,1,6,sorvu,1,0.65,0.75,0.85,0.8,1,0.96
32,1,6,sorvu,2,0.7,0.85,0.85,0.9,1,0.93
33,1,6,sorvu,3,0.65,0.8,0.8,0.9,1,0.94
34,1,6,sorvu,4,0.75,0.99,0.99,0.99,0,0.99
35,1,6,sorvu,5,0.65,0.8,0.9,0.9,1,0.97
36,1,6,sorvu,6,0.65,0.75,0.8,0.9,1,0.96
37,1,7,sorvu,1,0.7,0.9,0.99,0.99,0,0.99
38,1,7,sorvu,2,0.7,0.95,0.99,0.99,0,0.99
39,1,7,sorvu,3,0.7,0.9,0.95,0.99,0,0.99
40,1,7,sorvu,4,0.65,0.8,0.9,0.99,0,0.99
41,1,7,sorvu,5,0.7,0.95,0.95,0.99,0,0.99
42,1,7,sorvu,6,0.75,0.99,0.99,0.99,0,0.99
43,1,8,sorvu,1,0.8,0.99,0.99,0.99,0,0.99
44,1,8,sorvu,2,0.7,0.8,0.85,0.85,1,0.96
45,1,8,sorvu,3,0.65,0.85,0.9,0.99,0,0.99
46,1,8,sorvu,4,0.7,0.85,0.9,0.95,1,0.95
47,1,8,sorvu,5,0.65,0.85,0.85,0.85,1,0.94
48,1,8,sorvu,6,0.65,0.9,0.9,0.9,1,0.95
49,1,9,sorvu,1,0.65,0.7,0.65,0.9,1,0.95
50,1,9,sorvu,2,0.65,0.6,0.65,0.7,1,0.94
51,1,9,sorvu,3,0.7,0.6,0.7,0.7,1,0.94
52,1,9,sorvu,4,0.65,0.75,0.75,0.8,1,0.96
53,1,9,sorvu,5,0.65,0.7,0.7,0.75,1,0.93
54,1,9,sorvu,6,0.65,0.7,0.75,0.75,1,0.96
55,1,10,sorvu,1,0.7,0.7,0.65,0.9,1,0.94
56,1,10,sorvu,2,0.7,0.85,0.9,0.99,0,0.99
57,1,10,sorvu,3,0.7,0.85,0.99,0.99,0,0.99
58,1,10,sorvu,4,0.65,0.75,0.95,0.99,0,0.99
59,1,10,sorvu,5,0.7,0.8,0.85,0.99,0,0.99
60,1,10,sorvu,6,0.7,0.85,0.9,0.99,0,0.99
