id,run,trt,spp,rep,vr_7dat,vr_14dat,vr_21dat,vr_28dat,surv,bio_red
67,1,1,amare,1,25,15,5,5,1,0.26
68,1,1,amare,2,25,20,10,10,1,0.15
69,1,1,amare,3,25,20,10,15,1,0.33
70,1,1,amare,4,25,20,15,15,1,0.36
71,1,1,amare,5,25,20,10,10,1,0.16
72,1,1,amare,6,20,20,10,10,1,0.03
73,1,2,amare,1,55,80,70,50,1,0.8
74,1,2,amare,2,35,50,25,20,1,0.46
75,1,2,amare,3,40,50,30,25,1,0.64
76,1,2,amare,4,45,60,25,20,1,0.45
77,1,2,amare,5,50,75,70,30,1,0.8
78,1,2,amare,6,45,35,25,15,1,0.33
79,1,3,amare,1,0,0,0,0,1,0.01
80,1,3,amare,2,0,0,0,0,1,0.01
81,1,3,amare,3,0,0,0,0,1,0.01
82,1,3,amare,4,0,0,0,0,1,0.02
83,1,3,amare,5,0,0,0,0,1,0.01
84,1,3,amare,6,0,0,0,0,1,0.13
85,1,4,amare,1,40,40,30,30,1,0.21
86,1,4,amare,2,40,35,30,20,1,0.29
87,1,4,amare,3,35,40,30,25,1,0.52
88,1,4,amare,4,50,45,35,25,1,0.61
89,1,4,amare,5,40,30,25,20,1,0.16
90,1,4,amare,6,30,35,25,20,1,0.31
91,1,5,amare,1,70,70,60,50,1,0.73
92,1,5,amare,2,50,65,70,40,1,0.7
93,1,5,amare,3,55,80,95,90,1,0.93
94,1,5,amare,4,60,80,95,90,1,0.9
95,1,5,amare,5,55,70,95,95,1,0.91
96,1,5,amare,6,60,70,75,75,1,0.81
97,1,6,amare,1,55,70,80,70,1,0.74
98,1,6,amare,2,65,75,90,90,1,0.89
99,1,6,amare,3,60,80,80,80,1,0.81
100,1,6,amare,4,55,85,95,95,1,0.95
101,1,6,amare,5,80,95,95,95,1,0.97
102,1,6,amare,6,60,65,60,40,1,0.64
103,1,7,amare,1,95,95,95,100,0,0.99
104,1,7,amare,2,85,95,95,95,1,0.96
105,1,7,amare,3,80,95,100,100,0,0.99
106,1,7,amare,4,80,100,100,100,0,0.99
107,1,7,amare,5,70,95,100,100,0,0.99
108,1,7,amare,6,80,90,95,100,0,0.99
109,1,8,amare,1,70,85,95,100,0,0.99
110,1,8,amare,2,90,95,95,100,0,0.99
111,1,8,amare,3,85,95,100,100,0,0.99
112,1,8,amare,4,80,95,95,100,0,0.99
113,1,8,amare,5,70,90,95,95,1,0.97
114,1,8,amare,6,80,90,95,95,1,0.88
115,1,9,amare,1,75,85,95,100,0,0.99
116,1,9,amare,2,80,95,95,100,0,0.99
117,1,9,amare,3,80,95,95,100,0,0.99
118,1,9,amare,4,80,95,95,95,1,0.93
119,1,9,amare,5,85,80,85,85,1,0.89
120,1,9,amare,6,70,75,90,90,1,0.92
121,1,10,amare,1,95,95,95,100,0,0.99
122,1,10,amare,2,95,100,100,100,0,0.99
123,1,10,amare,3,80,95,95,95,1,0.9
124,1,10,amare,4,70,95,95,100,0,0.99
125,1,10,amare,5,80,95,95,100,0,0.99
126,1,10,amare,6,80,90,95,95,1,0.92
