id,run,trt,spp,rep,vr_7dat,vr_14dat,vr_21dat,vr_28dat,surv,biomass
1,1,1,sorvu,1,35,50,50,50,1,0.343
2,1,1,sorvu,2,40,60,50,30,1,0.92
3,1,1,sorvu,3,35,55,30,25,1,1.465
4,1,1,sorvu,4,40,50,50,50,1,0.354
5,1,1,sorvu,5,40,50,40,30,1,0.689
6,1,1,sorvu,6,40,60,50,25,1,0.908
7,1,2,sorvu,6,50,60,70,20,1,1.208
8,1,2,sorvu,2,50,50,60,60,1,0.525
9,1,2,sorvu,3,55,50,60,60,1,0.358
10,1,2,sorvu,4,50,50,70,65,1,0.269
11,1,2,sorvu,5,55,50,70,70,1,0.326
12,1,2,sorvu,6,55,50,65,60,1,0.324
13,1,3,sorvu,1,0,0,0,0,1,8.15
14,1,3,sorvu,2,0,0,0,0,1,7.573
15,1,3,sorvu,3,0,0,0,0,1,7.379
16,1,3,sorvu,4,0,0,0,0,1,7.691
17,1,3,sorvu,5,0,0,0,0,1,8.492
18,1,3,sorvu,6,0,0,0,0,1,9.662
19,1,4,sorvu,1,55,50,50,60,1,0.558
20,1,4,sorvu,2,55,60,60,60,1,0.401
21,1,4,sorvu,3,55,65,60,60,1,0.372
22,1,4,sorvu,4,55,60,40,40,1,1.336
23,1,4,sorvu,5,55,60,50,60,1,0.592
24,1,4,sorvu,6,55,60,60,60,1,0.398
25,1,5,sorvu,1,65,65,60,70,1,0.29
26,1,5,sorvu,2,60,75,90,85,1,0.561
27,1,5,sorvu,3,60,75,85,85,1,0.619
28,1,5,sorvu,4,65,80,90,85,1,0.25
29,1,5,sorvu,5,60,80,90,90,1,0.29
30,1,5,sorvu,6,65,75,85,85,1,0.376
31,1,6,sorvu,1,65,75,85,80,1,0.312
32,1,6,sorvu,2,70,85,85,90,1,0.515
33,1,6,sorvu,3,65,80,80,90,1,0.442
34,1,6,sorvu,4,75,100,100,100,0,0
35,1,6,sorvu,5,65,80,90,90,1,0.261
36,1,6,sorvu,6,65,75,80,90,1,0.333
37,1,7,sorvu,1,70,90,100,100,0,0
38,1,7,sorvu,2,70,95,100,100,0,0
39,1,7,sorvu,3,70,90,95,100,0,0
40,1,7,sorvu,4,65,80,90,100,0,0
41,1,7,sorvu,5,70,95,95,100,0,0
42,1,7,sorvu,6,75,100,100,100,0,0
43,1,8,sorvu,1,80,100,100,100,0,0
44,1,8,sorvu,2,70,80,85,85,1,0.337
45,1,8,sorvu,3,65,85,90,100,0,0
46,1,8,sorvu,4,70,85,90,95,1,0.414
47,1,8,sorvu,5,65,85,85,85,1,0.458
48,1,8,sorvu,6,65,90,90,90,1,0.375
49,1,9,sorvu,1,65,70,65,90,1,0.361
50,1,9,sorvu,2,65,60,65,70,1,0.458
51,1,9,sorvu,3,70,60,70,70,1,0.427
52,1,9,sorvu,4,65,75,75,80,1,0.316
53,1,9,sorvu,5,65,70,70,75,1,0.513
54,1,9,sorvu,6,65,70,75,75,1,0.328
55,1,10,sorvu,1,70,70,65,90,1,0.441
56,1,10,sorvu,2,70,85,90,100,0,0
57,1,10,sorvu,3,70,85,100,100,0,0
58,1,10,sorvu,4,65,75,95,100,0,0
59,1,10,sorvu,5,70,80,85,100,0,0
60,1,10,sorvu,6,70,85,90,100,0,0
61,1,11,sorvu,1,0,0,0,0,1,7.861
62,1,11,sorvu,2,0,0,0,0,1,9.166
63,1,11,sorvu,3,0,0,0,0,1,9.978
64,1,11,sorvu,4,0,0,0,0,1,6.642
65,1,11,sorvu,5,0,0,0,0,1,5.221
66,1,11,sorvu,6,0,0,0,0,1,6.696
