run,trt,name,spp,rate,rep,vr_7dat,vr_14dat
1,1,EXT1494,red,4,1,30,30
1,1,EXT1494,red,4,2,30,20
1,1,EXT1494,red,4,3,40,20
1,2,EXT1494,red,9,1,50,60
1,2,EXT1494,red,9,2,60,70
1,2,EXT1494,red,9,3,50,75
1,3,EXT1494,red,18,1,50,95
1,3,EXT1494,red,18,2,50,90
1,3,EXT1494,red,18,3,40,90
1,4,EXT1494,red,35,1,60,90
1,4,EXT1494,red,35,2,50,90
1,4,EXT1494,red,35,3,50,90
1,5,EXT1494,red,70,1,60,95
1,5,EXT1494,red,70,2,60,95
1,5,EXT1494,red,70,3,70,95
1,6,EXT1494,red,140,1,70,95
1,6,EXT1494,red,140,2,60,90
1,6,EXT1494,red,140,3,70,90
1,7,EXT1494,red,280,1,60,95
1,7,EXT1494,red,280,2,70,95
1,7,EXT1494,red,280,3,70,95
1,15,EXT1494,red,0,1,0,0
1,15,EXT1494,red,0,2,0,0
1,15,EXT1494,red,0,3,0,0
1,8,Pursuit,red,4,1,50,80
1,8,Pursuit,red,4,2,50,60
1,8,Pursuit,red,4,3,40,70
1,9,Pursuit,red,9,1,40,95
1,9,Pursuit,red,9,2,40,90
1,9,Pursuit,red,9,3,40,80
1,10,Pursuit,red,18,1,50,95
1,10,Pursuit,red,18,2,50,95
1,10,Pursuit,red,18,3,30,95
1,11,Pursuit,red,35,1,70,95
1,11,Pursuit,red,35,2,70,95
1,11,Pursuit,red,35,3,70,95
1,12,Pursuit,red,70,1,70,95
1,12,Pursuit,red,70,2,70,95
1,12,Pursuit,red,70,3,80,95
1,13,Pursuit,red,140,1,60,95
1,13,Pursuit,red,140,2,70,100
1,13,Pursuit,red,140,3,50,95
1,14,Pursuit,red,280,1,60,95
1,14,Pursuit,red,280,2,70,95
1,14,Pursuit,red,280,3,50,95
1,15,Pursuit,red,0,1,0,0
1,15,Pursuit,red,0,2,0,0
1,15,Pursuit,red,0,3,0,0
1,1,EXT1494,sorg,4,1,10,10
1,1,EXT1494,sorg,4,2,20,10
1,1,EXT1494,sorg,4,3,20,10
1,1,EXT1494,sorg,4,4,20,10
1,1,EXT1494,sorg,4,5,10,10
1,1,EXT1494,sorg,4,6,10,10
1,2,EXT1494,sorg,9,1,20,10
1,2,EXT1494,sorg,9,2,20,15
1,2,EXT1494,sorg,9,3,20,20
1,2,EXT1494,sorg,9,4,20,15
1,2,EXT1494,sorg,9,5,20,15
1,2,EXT1494,sorg,9,6,10,15
1,3,EXT1494,sorg,18,1,20,100
1,3,EXT1494,sorg,18,2,20,100
1,3,EXT1494,sorg,18,3,30,90
1,3,EXT1494,sorg,18,4,50,100
1,3,EXT1494,sorg,18,5,20,90
1,3,EXT1494,sorg,18,6,30,95
1,4,EXT1494,sorg,35,1,20,80
1,4,EXT1494,sorg,35,2,20,100
1,4,EXT1494,sorg,35,3,20,70
1,4,EXT1494,sorg,35,4,20,70
1,4,EXT1494,sorg,35,5,20,50
1,4,EXT1494,sorg,35,6,20,60
1,5,EXT1494,sorg,70,1,60,95
1,5,EXT1494,sorg,70,2,60,95
1,5,EXT1494,sorg,70,3,60,100
1,5,EXT1494,sorg,70,4,70,100
1,5,EXT1494,sorg,70,5,70,100
1,5,EXT1494,sorg,70,6,60,100
1,6,EXT1494,sorg,140,1,50,100
1,6,EXT1494,sorg,140,2,50,95
1,6,EXT1494,sorg,140,3,50,100
1,6,EXT1494,sorg,140,4,40,80
1,6,EXT1494,sorg,140,5,40,80
1,6,EXT1494,sorg,140,6,40,80
1,7,EXT1494,sorg,280,1,50,85
1,7,EXT1494,sorg,280,2,50,95
1,7,EXT1494,sorg,280,3,60,90
1,7,EXT1494,sorg,280,4,50,95
1,7,EXT1494,sorg,280,5,50,90
1,7,EXT1494,sorg,280,6,60,90
1,15,EXT1494,sorg,0,1,0,0
1,15,EXT1494,sorg,0,2,0,0
1,15,EXT1494,sorg,0,3,0,0
1,15,EXT1494,sorg,0,4,0,0
1,15,EXT1494,sorg,0,5,0,0
1,15,EXT1494,sorg,0,6,0,0
1,8,Pursuit,sorg,4,1,20,10
1,8,Pursuit,sorg,4,2,30,20
1,8,Pursuit,sorg,4,3,20,10
1,8,Pursuit,sorg,4,4,20,10
1,8,Pursuit,sorg,4,5,20,10
1,8,Pursuit,sorg,4,6,20,15
1,9,Pursuit,sorg,9,1,20,20
1,9,Pursuit,sorg,9,2,20,15
1,9,Pursuit,sorg,9,3,20,15
1,9,Pursuit,sorg,9,4,20,10
1,9,Pursuit,sorg,9,5,20,10
1,9,Pursuit,sorg,9,6,30,20
1,10,Pursuit,sorg,18,1,20,25
1,10,Pursuit,sorg,18,2,20,20
1,10,Pursuit,sorg,18,3,30,50
1,10,Pursuit,sorg,18,4,20,10
1,10,Pursuit,sorg,18,5,30,50
1,10,Pursuit,sorg,18,6,20,20
1,11,Pursuit,sorg,35,1,30,30
1,11,Pursuit,sorg,35,2,30,80
1,11,Pursuit,sorg,35,3,30,40
1,11,Pursuit,sorg,35,4,30,30
1,11,Pursuit,sorg,35,5,80,100
1,11,Pursuit,sorg,35,6,30,95
1,12,Pursuit,sorg,70,1,60,100
1,12,Pursuit,sorg,70,2,60,100
1,12,Pursuit,sorg,70,3,30,95
1,12,Pursuit,sorg,70,4,50,100
1,12,Pursuit,sorg,70,5,80,100
1,12,Pursuit,sorg,70,6,60,100
1,13,Pursuit,sorg,140,1,50,100
1,13,Pursuit,sorg,140,2,60,100
1,13,Pursuit,sorg,140,3,70,100
1,13,Pursuit,sorg,140,4,50,90
1,13,Pursuit,sorg,140,5,50,90
1,13,Pursuit,sorg,140,6,50,90
1,14,Pursuit,sorg,280,1,50,90
1,14,Pursuit,sorg,280,2,50,90
1,14,Pursuit,sorg,280,3,60,90
1,14,Pursuit,sorg,280,4,60,90
1,14,Pursuit,sorg,280,5,50,90
1,14,Pursuit,sorg,280,6,50,90
1,15,Pursuit,sorg,0,1,0,0
1,15,Pursuit,sorg,0,2,0,0
1,15,Pursuit,sorg,0,3,0,0
1,15,Pursuit,sorg,0,4,0,0
1,15,Pursuit,sorg,0,5,0,0
1,15,Pursuit,sorg,0,6,0,0
