run,trt,name,spp,rate,rep,vr_7dat,vr_14dat,vr_21dat,vr_28dat,surv,biomass
1,1,EXT1494,sorg,4.38,1,10,10,10,10,1,0.713
1,1,EXT1494,sorg,4.38,2,20,10,10,10,1,0.631
1,1,EXT1494,sorg,4.38,3,20,10,10,10,1,0.801
1,1,EXT1494,sorg,4.38,4,20,10,10,10,1,0.59
1,1,EXT1494,sorg,4.38,5,10,10,10,10,1,0.488
1,1,EXT1494,sorg,4.38,6,10,10,10,10,1,0.712
1,2,EXT1494,sorg,8.76,1,20,15,15,20,1,0.43
1,2,EXT1494,sorg,8.76,2,20,15,20,50,1,0.154
1,2,EXT1494,sorg,8.76,3,20,20,25,40,1,0.183
1,2,EXT1494,sorg,8.76,4,20,15,15,20,1,0.425
1,2,EXT1494,sorg,8.76,5,20,15,25,50,1,0.149
1,2,EXT1494,sorg,8.76,6,10,15,15,15,1,0.202
1,3,EXT1494,sorg,17.52,1,20,100,100,100,0,0
1,3,EXT1494,sorg,17.52,2,20,100,100,100,0,0
1,3,EXT1494,sorg,17.52,3,30,90,95,100,0,0
1,3,EXT1494,sorg,17.52,4,50,100,100,100,0,0
1,3,EXT1494,sorg,17.52,5,20,90,95,100,0,0
1,3,EXT1494,sorg,17.52,6,30,95,100,100,0,0
1,4,EXT1494,sorg,35.03,1,20,80,80,70,1,0.185
1,4,EXT1494,sorg,35.03,2,20,100,100,100,0,0
1,4,EXT1494,sorg,35.03,3,20,70,90,80,1,0.193
1,4,EXT1494,sorg,35.03,4,20,70,90,80,1,0.127
1,4,EXT1494,sorg,35.03,5,20,50,90,80,1,0.069
1,4,EXT1494,sorg,35.03,6,20,60,90,95,1,0.163
1,5,EXT1494,sorg,70.06,1,60,95,95,100,0,0
1,5,EXT1494,sorg,70.06,2,60,95,100,100,0,0
1,5,EXT1494,sorg,70.06,3,60,100,100,100,0,0
1,5,EXT1494,sorg,70.06,4,70,100,100,100,0,0
1,5,EXT1494,sorg,70.06,5,70,100,100,100,0,0
1,5,EXT1494,sorg,70.06,6,60,100,100,100,0,0
1,6,EXT1494,sorg,140.12,1,50,100,100,100,0,0
1,6,EXT1494,sorg,140.12,2,50,95,100,100,0,0
1,6,EXT1494,sorg,140.12,3,50,100,100,100,0,0
1,6,EXT1494,sorg,140.12,4,40,80,95,100,0,0
1,6,EXT1494,sorg,140.12,5,40,80,95,100,0,0
1,6,EXT1494,sorg,140.12,6,40,80,100,100,0,0
1,7,EXT1494,sorg,280.24,1,50,85,100,100,0,0
1,7,EXT1494,sorg,280.24,2,50,95,100,100,0,0
1,7,EXT1494,sorg,280.24,3,60,90,100,100,0,0
1,7,EXT1494,sorg,280.24,4,50,95,100,100,0,0
1,7,EXT1494,sorg,280.24,5,50,90,95,100,0,0
1,7,EXT1494,sorg,280.24,6,60,90,100,100,0,0
1,15,EXT1494,sorg,0,1,0,0,0,0,1,2.096
1,15,EXT1494,sorg,0,2,0,0,0,0,1,2.469
1,15,EXT1494,sorg,0,3,0,0,0,0,1,1.832
1,15,EXT1494,sorg,0,4,0,0,0,0,1,1.645
1,15,EXT1494,sorg,0,5,0,0,0,0,1,2.292
1,15,EXT1494,sorg,0,6,0,0,0,0,1,1.748
1,8,Pursuit,sorg,4.38,1,20,10,10,10,1,0.759
1,8,Pursuit,sorg,4.38,2,30,20,30,50,1,0.146
1,8,Pursuit,sorg,4.38,3,20,10,20,30,1,0.212
1,8,Pursuit,sorg,4.38,4,20,10,10,10,1,0.686
1,8,Pursuit,sorg,4.38,5,20,10,10,10,1,0.625
1,8,Pursuit,sorg,4.38,6,20,15,20,50,1,0.167
1,9,Pursuit,sorg,8.76,1,20,20,15,20,1,0.199
1,9,Pursuit,sorg,8.76,2,20,15,15,30,1,0.194
1,9,Pursuit,sorg,8.76,3,20,15,15,30,1,0.175
1,9,Pursuit,sorg,8.76,4,20,10,10,15,1,0.643
1,9,Pursuit,sorg,8.76,5,20,10,10,20,1,0.315
1,9,Pursuit,sorg,8.76,6,30,20,30,50,1,0.179
1,10,Pursuit,sorg,17.52,1,20,25,60,100,0,0
1,10,Pursuit,sorg,17.52,2,20,20,20,60,1,0.132
1,10,Pursuit,sorg,17.52,3,30,50,70,70,1,
1,10,Pursuit,sorg,17.52,4,20,10,15,20,1,0.27
1,10,Pursuit,sorg,17.52,5,30,50,80,95,1,0.149
1,10,Pursuit,sorg,17.52,6,20,20,15,20,1,0.263
1,11,Pursuit,sorg,35.03,1,30,30,80,80,1,0.13
1,11,Pursuit,sorg,35.03,2,30,80,95,100,0,0
1,11,Pursuit,sorg,35.03,3,30,40,90,80,1,0.189
1,11,Pursuit,sorg,35.03,4,30,30,90,80,1,0.109
1,11,Pursuit,sorg,35.03,5,80,100,100,100,0,0
1,11,Pursuit,sorg,35.03,6,30,95,100,100,0,0
1,12,Pursuit,sorg,70.06,1,60,100,100,100,0,0
1,12,Pursuit,sorg,70.06,2,60,100,100,100,0,0
1,12,Pursuit,sorg,70.06,3,30,95,100,100,0,0
1,12,Pursuit,sorg,70.06,4,50,100,100,100,0,0
1,12,Pursuit,sorg,70.06,5,80,100,100,100,0,0
1,12,Pursuit,sorg,70.06,6,60,100,100,100,0,0
1,13,Pursuit,sorg,140.12,1,50,100,100,100,0,0
1,13,Pursuit,sorg,140.12,2,60,100,100,100,0,0
1,13,Pursuit,sorg,140.12,3,70,100,100,100,0,0
1,13,Pursuit,sorg,140.12,4,50,90,95,100,0,0
1,13,Pursuit,sorg,140.12,5,50,90,95,100,0,0
1,13,Pursuit,sorg,140.12,6,50,90,95,100,0,0
1,14,Pursuit,sorg,280.24,1,50,90,100,100,0,0
1,14,Pursuit,sorg,280.24,2,50,90,95,100,0,0
1,14,Pursuit,sorg,280.24,3,60,90,95,100,0,0
1,14,Pursuit,sorg,280.24,4,60,90,100,100,0,0
1,14,Pursuit,sorg,280.24,5,50,90,100,100,0,0
1,14,Pursuit,sorg,280.24,6,50,90,100,100,0,0
1,15,Pursuit,sorg,0,1,0,0,0,0,1,2.096
1,15,Pursuit,sorg,0,2,0,0,0,0,1,2.469
1,15,Pursuit,sorg,0,3,0,0,0,0,1,1.832
1,15,Pursuit,sorg,0,4,0,0,0,0,1,1.645
1,15,Pursuit,sorg,0,5,0,0,0,0,1,2.292
1,15,Pursuit,sorg,0,6,0,0,0,0,1,1.748
