run,trt,spp,rep,vr_7dat,vr_14dat,vr_21dat,vr_28dat,surv,biored
1,1,wat,1,0.9,0.7,0.6,0.6,1,0.92
1,1,wat,2,0.9,0.95,0.99,0.99,0,0.99
1,1,wat,3,0.9,0.95,0.95,0.99,0,0.99
1,1,wat,4,0.9,0.95,0.95,0.99,0,0.99
1,1,wat,5,0.9,0.9,0.85,0.9,1,0.97
1,1,wat,6,0.9,0.8,0.7,0.7,1,0.96
1,2,wat,1,0.95,0.95,0.99,0.99,0,0.99
1,2,wat,2,0.9,0.95,0.99,0.99,0,0.99
1,2,wat,3,0.9,0.6,0.5,0.5,1,0.66
1,2,wat,4,0.9,0.95,0.95,0.99,0,0.99
1,2,wat,5,0.9,0.95,0.95,0.95,1,0.97
1,2,wat,6,0.95,0.95,0.99,0.99,0,0.99
1,3,wat,1,0.8,0.5,0.3,0.2,1,0.66
1,3,wat,2,0.85,0.95,0.95,0.9,1,0.99
1,3,wat,3,0.85,0.8,0.7,0.6,1,0.94
1,3,wat,4,0.8,0.4,0.2,0.2,1,0.63
1,3,wat,5,0.9,0.9,0.8,0.8,1,0.99
1,3,wat,6,0.85,0.9,0.7,0.6,1,0.95
1,4,wat,1,0.7,0.4,0.3,0.4,1,0.61
1,4,wat,2,0.8,0.6,0.5,0.5,1,0.75
1,4,wat,3,0.9,0.95,0.99,0.99,0,0.99
1,4,wat,4,0.95,0.95,0.99,0.99,0,0.99
1,4,wat,5,0.95,0.95,0.99,0.99,0,0.99
1,4,wat,6,0.95,0.8,0.7,0.6,1,0.96
1,5,wat,1,0.85,0.6,0.3,0.2,1,0.65
1,5,wat,2,0.9,0.8,0.6,0.6,1,0.91
1,5,wat,3,0.95,0.95,0.99,0.99,0,0.99
1,5,wat,4,0.9,0.9,0.8,0.8,1,0.97
1,5,wat,5,0.95,0.8,0.6,0.6,1,0.92
1,5,wat,6,0.95,0.8,0.8,0.8,1,0.98
1,6,wat,1,0.95,0.95,0.99,0.99,0,0.99
1,6,wat,2,0.9,0.9,0.8,0.7,1,0.95
1,6,wat,3,0.9,0.9,0.8,0.7,1,0.97
1,6,wat,4,0.9,0.7,0.7,0.7,1,0.96
1,6,wat,5,0.8,0.5,0.4,0.2,1,0.58
1,6,wat,6,0.8,0.5,0.3,0.2,1,0.69
1,7,wat,1,0.95,0.95,0.99,0.99,0,0.99
1,7,wat,2,0.95,0.9,0.7,0.6,1,0.94
1,7,wat,3,0.95,0.95,0.95,0.99,0,0.99
1,7,wat,4,0.9,0.7,0.5,0.2,1,0.71
1,7,wat,5,0.95,0.95,0.95,0.99,0,0.99
1,7,wat,6,0.95,0.95,0.95,0.99,0,0.99
1,8,wat,1,0.95,0.8,0.6,0.5,1,0.81
1,8,wat,2,0.95,0.95,0.99,0.99,0,0.99
1,8,wat,3,0.85,0.5,0.3,0.2,1,0.58
1,8,wat,4,0.95,0.95,0.99,0.99,0,0.99
1,8,wat,5,0.95,0.95,0.99,0.99,0,0.99
1,8,wat,6,0.95,0.95,0.99,0.99,0,0.99
1,9,wat,1,0.9,0.9,0.7,0.7,1,0.96
1,9,wat,2,0.9,0.8,0.5,0.5,1,0.84
1,9,wat,3,0.95,0.9,0.8,0.7,1,0.97
1,9,wat,4,0.95,0.7,0.5,0.5,1,0.78
1,9,wat,5,0.95,0.8,0.6,0.6,1,0.88
1,9,wat,6,0.95,0.99,0.99,0.99,0,0.99
1,10,wat,1,0.9,0.5,0.3,0.2,1,0.55
1,10,wat,2,0.95,0.95,0.99,0.99,0,0.99
1,10,wat,3,0.85,0.4,0.3,0.3,1,0.63
1,10,wat,4,0.95,0.9,0.6,0.6,1,0.9
1,10,wat,5,0.95,0.95,0.99,0.99,0,0.99
1,10,wat,6,0.9,0.95,0.95,0.95,1,0.99
