run,spp,trt,name,rate,rep,vr_7dat,vr_14dat,vr_21dat,surv,biomass
1,waterhemp,1,Reflex+EXT1576,17.5,1,96,60,50,1,0.36
1,waterhemp,1,Reflex+EXT1576,17.5,2,99,60,50,1,0.2
1,waterhemp,1,Reflex+EXT1576,17.5,3,85,50,40,1,0.88
1,waterhemp,1,Reflex+EXT1576,17.5,4,90,60,50,1,0.3
1,waterhemp,1,Reflex+EXT1576,17.5,5,95,60,50,1,0.3
1,waterhemp,1,Reflex+EXT1576,17.5,6,88,50,40,1,0.5
1,waterhemp,2,Reflex+EXT1576,35,1,99,100,100,0,0.15
1,waterhemp,2,Reflex+EXT1576,35,2,99,100,100,0,0.18
1,waterhemp,2,Reflex+EXT1576,35,3,95,50,55,1,0.8
1,waterhemp,2,Reflex+EXT1576,35,4,99,100,100,0,0.11
1,waterhemp,2,Reflex+EXT1576,35,5,95,68,60,1,0.56
1,waterhemp,2,Reflex+EXT1576,35,6,95,69,55,1,0.3
1,waterhemp,3,Reflex+EXT1576,70,1,98,96,93,1,0.05
1,waterhemp,3,Reflex+EXT1576,70,2,99,100,100,0,0.09
1,waterhemp,3,Reflex+EXT1576,70,3,100,100,100,0,0.11
1,waterhemp,3,Reflex+EXT1576,70,4,99,100,100,0,0.11
1,waterhemp,3,Reflex+EXT1576,70,5,100,100,100,0,0.06
1,waterhemp,3,Reflex+EXT1576,70,6,96,100,100,0,0.08
1,waterhemp,4,Reflex+EXT1576,140,1,98,75,60,1,0.11
1,waterhemp,4,Reflex+EXT1576,140,2,100,100,100,0,0.08
1,waterhemp,4,Reflex+EXT1576,140,3,98,99,99,1,0.05
1,waterhemp,4,Reflex+EXT1576,140,4,100,100,100,0,0.1
1,waterhemp,4,Reflex+EXT1576,140,5,100,100,100,0,0.09
1,waterhemp,4,Reflex+EXT1576,140,6,100,100,100,0,0.05
1,waterhemp,5,Reflex+EXT1576,280,1,100,100,100,0,0.03
1,waterhemp,5,Reflex+EXT1576,280,2,100,100,100,0,0.08
1,waterhemp,5,Reflex+EXT1576,280,3,100,100,100,0,0.1
1,waterhemp,5,Reflex+EXT1576,280,4,100,100,100,0,0.08
1,waterhemp,5,Reflex+EXT1576,280,5,100,100,100,0,0.08
1,waterhemp,5,Reflex+EXT1576,280,6,100,100,100,0,0.04
1,waterhemp,6,Reflex+EXT1576,560,1,100,100,100,0,0.08
1,waterhemp,6,Reflex+EXT1576,560,2,100,100,100,0,0.03
1,waterhemp,6,Reflex+EXT1576,560,3,100,100,100,0,0.06
1,waterhemp,6,Reflex+EXT1576,560,4,100,100,100,0,0.08
1,waterhemp,6,Reflex+EXT1576,560,5,100,100,100,0,0.05
1,waterhemp,6,Reflex+EXT1576,560,6,100,100,100,0,0.09
1,waterhemp,7,Reflex+EXT1576,1120,1,100,100,100,0,0.02
1,waterhemp,7,Reflex+EXT1576,1120,2,100,100,100,0,0.02
1,waterhemp,7,Reflex+EXT1576,1120,3,100,100,100,0,0.01
1,waterhemp,7,Reflex+EXT1576,1120,4,100,100,100,0,0.05
1,waterhemp,7,Reflex+EXT1576,1120,5,100,100,100,0,0.03
1,waterhemp,7,Reflex+EXT1576,1120,6,100,100,100,0,0.03
1,waterhemp,15,Reflex+EXT1576,0,1,0,0,0,1,1.22
1,waterhemp,15,Reflex+EXT1576,0,2,0,0,0,1,1.73
1,waterhemp,15,Reflex+EXT1576,0,3,0,0,0,1,1.24
1,waterhemp,15,Reflex+EXT1576,0,4,0,0,0,1,1.27
1,waterhemp,15,Reflex+EXT1576,0,5,0,0,0,1,2.04
