run,trt,pop,herb,rate,rep,ve_7dat,ve_14dat,ve_21dat,surv,biomass
1,1,A90,reflex,0,1,0,0,0,1,4.293
1,1,A90,reflex,0,2,0,0,0,1,1.889
1,1,A90,reflex,0,3,0,0,0,1,3.458
1,1,A90,reflex,0,4,0,0,0,1,2.331
1,1,A90,reflex,0,5,0,0,0,1,3.164
1,1,A90,reflex,0,6,0,0,0,1,4.553
1,2,A90,reflex,35,1,70,20,10,1,2.104
1,2,A90,reflex,35,2,60,20,10,1,1.942
1,2,A90,reflex,35,3,50,20,10,1,3.64
1,2,A90,reflex,35,4,50,15,10,1,3.254
1,2,A90,reflex,35,5,35,20,15,1,3.029
1,2,A90,reflex,35,6,50,40,20,1,3.348
1,3,A90,reflex,70,1,50,50,20,1,2.268
1,3,A90,reflex,70,2,50,20,10,1,2.647
1,3,A90,reflex,70,3,60,50,30,1,1.543
1,3,A90,reflex,70,4,70,20,15,1,2.808
1,3,A90,reflex,70,5,40,30,15,1,1.622
1,3,A90,reflex,70,6,60,50,20,1,2.759
1,4,A90,reflex,140,1,50,40,15,1,4.056
1,4,A90,reflex,140,2,40,20,15,1,2.468
1,4,A90,reflex,140,3,55,50,15,1,2.246
1,4,A90,reflex,140,4,80,50,20,1,2.592
1,4,A90,reflex,140,5,60,20,10,1,2.955
1,4,A90,reflex,140,6,50,15,10,1,3.888
1,5,A90,reflex,280,1,70,40,20,1,2.368
1,5,A90,reflex,280,2,80,50,50,1,1.965
1,5,A90,reflex,280,3,85,50,30,1,1.731
1,5,A90,reflex,280,4,75,50,40,1,2.279
1,5,A90,reflex,280,5,80,50,50,1,2.525
1,5,A90,reflex,280,6,95,100,100,0,0
1,6,A90,reflex,560,1,100,100,100,0,0
1,6,A90,reflex,560,2,95,100,100,0,0
1,6,A90,reflex,560,3,100,100,100,0,0
1,6,A90,reflex,560,4,90,85,50,1,0.902
1,6,A90,reflex,560,5,70,40,30,1,2.935
1,6,A90,reflex,560,6,100,100,100,0,0
1,1,A90,EXT1490,0,1,0,0,0,1,4.293
1,1,A90,EXT1490,0,2,0,0,0,1,1.889
1,1,A90,EXT1490,0,3,0,0,0,1,3.458
1,1,A90,EXT1490,0,4,0,0,0,1,2.331
1,1,A90,EXT1490,0,5,0,0,0,1,3.164
1,1,A90,EXT1490,0,6,0,0,0,1,4.553
1,7,A90,EXT1490,35,1,50,20,15,1,2.892
1,7,A90,EXT1490,35,2,45,20,15,1,1.985
1,7,A90,EXT1490,35,3,35,15,10,1,2.377
1,7,A90,EXT1490,35,4,30,15,15,1,3.362
1,7,A90,EXT1490,35,5,30,20,10,1,2.83
1,7,A90,EXT1490,35,6,30,15,15,1,3.19
1,8,A90,EXT1490,70,1,40,35,35,1,1.993
1,8,A90,EXT1490,70,2,50,30,30,1,1.926
1,8,A90,EXT1490,70,3,90,60,30,1,1.692
1,8,A90,EXT1490,70,4,70,40,20,1,2.635
1,8,A90,EXT1490,70,5,60,30,20,1,2.679
1,8,A90,EXT1490,70,6,80,50,20,1,1.602
1,9,A90,EXT1490,140,1,90,70,30,1,0.765
1,9,A90,EXT1490,140,2,95,80,70,1,0.149
1,9,A90,EXT1490,140,3,65,50,40,1,2.685
1,9,A90,EXT1490,140,4,75,50,30,1,1.953
1,9,A90,EXT1490,140,5,95,95,90,1,0.122
1,9,A90,EXT1490,140,6,95,90,70,1,0.302
1,10,A90,EXT1490,280,1,100,100,100,0,0
1,10,A90,EXT1490,280,2,95,85,60,1,0.425
1,10,A90,EXT1490,280,3,90,70,30,1,1.067
1,10,A90,EXT1490,280,4,95,80,65,1,0.553
1,10,A90,EXT1490,280,5,95,95,90,1,0.044
1,10,A90,EXT1490,280,6,100,100,100,0,0
1,11,A90,EXT1490,560,1,100,100,100,0,0
1,11,A90,EXT1490,560,2,100,100,100,0,0
1,11,A90,EXT1490,560,3,100,100,100,0,0
1,11,A90,EXT1490,560,4,100,100,100,0,0
1,11,A90,EXT1490,560,5,100,100,100,0,0
1,11,A90,EXT1490,560,6,100,100,100,0,0
