run,trt,pop,herb,rate,rep,ve_7dat,ve_14dat,ve_21dat,surv,biomass,biored
1,12,A92,reflex,0,1,0,0,0,1,3.469,
1,12,A92,reflex,0,2,0,0,0,1,3.371,
1,12,A92,reflex,0,3,0,0,0,1,3.131,
1,12,A92,reflex,0,4,0,0,0,1,2.805,
1,12,A92,reflex,0,5,0,0,0,1,2.841,
1,12,A92,reflex,0,6,0,0,0,1,3.097,
1,13,A92,reflex,35,1,40,20,15,1,2.998,0.038794485
1,13,A92,reflex,35,2,30,20,15,1,2.145,0.312279577
1,13,A92,reflex,35,3,35,30,15,1,3.203,0
1,13,A92,reflex,35,4,30,20,15,1,3.087,0.010259699
1,13,A92,reflex,35,5,25,20,15,1,3.241,0
1,13,A92,reflex,35,6,20,15,15,1,2.39,0.233728759
1,14,A92,reflex,70,1,30,30,20,1,1.855,0.405258096
1,14,A92,reflex,70,2,15,25,15,1,3.179,0
1,14,A92,reflex,70,3,15,20,15,1,2.588,0.170246874
1,14,A92,reflex,70,4,10,15,10,1,3.191,0
1,14,A92,reflex,70,5,20,25,20,1,2.603,0.16543764
1,14,A92,reflex,70,6,30,30,20,1,2.306,0.260660468
1,15,A92,reflex,140,1,40,20,15,1,4.738,0
1,15,A92,reflex,140,2,35,10,10,1,2.749,0.118627765
1,15,A92,reflex,140,3,25,20,15,1,1.851,0.406540558
1,15,A92,reflex,140,4,50,20,15,1,3.101,0.00577108
1,15,A92,reflex,140,5,35,20,20,1,3.705,0
1,15,A92,reflex,140,6,85,70,30,1,1.305,0.581596666
1,16,A92,reflex,280,1,70,60,40,1,2.503,0.197499198
1,16,A92,reflex,280,2,50,50,50,1,0.857,0.725232446
1,16,A92,reflex,280,3,40,15,15,1,2.37,0.240141071
1,16,A92,reflex,280,4,50,30,10,1,3.053,0.021160628
1,16,A92,reflex,280,5,30,25,15,1,2.096,0.32798974
1,16,A92,reflex,280,6,25,10,10,1,3.304,0
1,17,A92,reflex,560,1,95,100,100,0,0,1
1,17,A92,reflex,560,2,50,30,20,1,1.74,0.442128887
1,17,A92,reflex,560,3,50,30,15,1,2.718,0.128566848
1,17,A92,reflex,560,4,35,15,15,1,3.174,0
1,17,A92,reflex,560,5,40,20,15,1,1.634,0.476114139
1,17,A92,reflex,560,6,30,10,10,1,5.527,0
1,12,A92,EXT1490,0,1,0,0,0,1,3.469,
1,12,A92,EXT1490,0,2,0,0,0,1,3.371,
1,12,A92,EXT1490,0,3,0,0,0,1,3.131,
1,12,A92,EXT1490,0,4,0,0,0,1,2.805,
1,12,A92,EXT1490,0,5,0,0,0,1,2.841,
1,12,A92,EXT1490,0,6,0,0,0,1,3.097,
1,18,A92,EXT1490,35,1,20,15,15,1,3.077,0.013465854
1,18,A92,EXT1490,35,2,15,20,20,1,1.965,0.369990382
1,18,A92,EXT1490,35,3,15,15,10,1,3.095,0.007694774
1,18,A92,EXT1490,35,4,20,30,25,1,2.827,0.09361975
1,18,A92,EXT1490,35,5,15,30,20,1,2.278,0.269637704
1,18,A92,EXT1490,35,6,20,20,15,1,1.855,0.405258096
1,19,A92,EXT1490,70,1,30,30,20,1,2.109,0.323821738
1,19,A92,EXT1490,70,2,40,30,10,1,2.769,0.112215454
1,19,A92,EXT1490,70,3,30,30,20,1,2.33,0.252965694
1,19,A92,EXT1490,70,4,30,20,20,1,3.473,0
1,19,A92,EXT1490,70,5,30,25,20,1,2.649,0.150689324
1,19,A92,EXT1490,70,6,30,20,10,1,1.814,0.418403334
1,20,A92,EXT1490,140,1,30,15,10,1,2.185,0.299454954
1,20,A92,EXT1490,140,2,30,15,15,1,2.37,0.240141071
1,20,A92,EXT1490,140,3,20,20,15,1,1.893,0.393074703
1,20,A92,EXT1490,140,4,30,20,15,1,3.052,0.021481244
1,20,A92,EXT1490,140,5,30,20,15,1,3.963,0
1,20,A92,EXT1490,140,6,40,15,15,1,2.15,0.310676499
1,21,A92,EXT1490,280,1,30,20,15,1,2.583,0.171849952
1,21,A92,EXT1490,280,2,35,30,20,1,2.867,0.080795127
1,21,A92,EXT1490,280,3,40,30,20,1,1.764,0.434434113
1,21,A92,EXT1490,280,4,25,20,15,1,2.016,0.353638987
1,21,A92,EXT1490,280,5,25,30,20,1,2.959,0.051298493
1,21,A92,EXT1490,280,6,30,30,20,1,2.003,0.357806989
1,22,A92,EXT1490,560,1,90,80,50,1,0.736,0.764026932
1,22,A92,EXT1490,560,2,100,100,100,0,0,1
1,22,A92,EXT1490,560,3,80,70,50,1,1.078,0.654376403
1,22,A92,EXT1490,560,4,70,50,30,1,2.405,0.228919525
1,22,A92,EXT1490,560,5,60,30,25,1,1.625,0.478999679
1,22,A92,EXT1490,560,6,75,60,50,1,1.646,0.472266752
