run,spp,trt,name,rate,rep,vr_7dat,vr_14dat,vr_21dat,surv,biomass
1,A90,1,Reflex,17.5,1,10,10,5,1,1.948
1,A90,1,Reflex,17.5,2,10,10,5,1,2.597
1,A90,1,Reflex,17.5,3,10,10,5,1,2.852
1,A90,1,Reflex,17.5,4,15,10,5,1,2.058
1,A90,1,Reflex,17.5,5,10,10,5,1,3.122
1,A90,1,Reflex,17.5,6,15,10,5,1,2.563
1,A90,2,Reflex,35,1,15,10,5,1,3.304
1,A90,2,Reflex,35,2,10,10,5,1,2.704
1,A90,2,Reflex,35,3,15,10,5,1,2.102
1,A90,2,Reflex,35,4,10,10,5,1,2.976
1,A90,2,Reflex,35,5,10,10,5,1,3.152
1,A90,2,Reflex,35,6,10,10,5,1,2.399
1,A90,3,Reflex,70,1,15,5,5,1,2.981
1,A90,3,Reflex,70,2,20,10,5,1,2.89
1,A90,3,Reflex,70,3,20,10,5,1,2.228
1,A90,3,Reflex,70,4,20,10,5,1,2.977
1,A90,3,Reflex,70,5,25,10,5,1,2.072
1,A90,3,Reflex,70,6,70,40,10,1,0.888
1,A90,4,Reflex,140,1,95,95,100,0,0
1,A90,4,Reflex,140,2,55,40,15,1,1.817
1,A90,4,Reflex,140,3,40,15,5,1,2.549
1,A90,4,Reflex,140,4,65,50,15,1,1.014
1,A90,4,Reflex,140,5,80,70,50,1,0.171
1,A90,4,Reflex,140,6,50,25,20,1,1.483
1,A90,5,Reflex,280,1,100,100,100,0,0
1,A90,5,Reflex,280,2,95,95,95,1,0.063
1,A90,5,Reflex,280,3,95,65,40,1,0.611
1,A90,5,Reflex,280,4,100,100,100,0,0
1,A90,5,Reflex,280,5,75,45,20,1,0.588
1,A90,5,Reflex,280,6,75,70,50,1,0.43
1,A90,6,Reflex,560,1,100,100,100,0,0
1,A90,6,Reflex,560,2,100,100,100,0,0
1,A90,6,Reflex,560,3,95,100,100,0,0
1,A90,6,Reflex,560,4,100,100,100,0,0
1,A90,6,Reflex,560,5,95,95,95,1,0.034
1,A90,6,Reflex,560,6,100,100,100,0,0
1,A90,7,Reflex,1120,1,100,100,100,0,0
1,A90,7,Reflex,1120,2,100,100,100,0,0
1,A90,7,Reflex,1120,3,100,100,100,0,0
1,A90,7,Reflex,1120,4,100,100,100,0,0
1,A90,7,Reflex,1120,5,100,100,100,0,0
1,A90,7,Reflex,1120,6,100,100,100,0,0
1,A90,15,Reflex,0,1,0,0,0,1,3.695
1,A90,15,Reflex,0,2,0,0,0,1,3.45
1,A90,15,Reflex,0,3,0,0,0,1,2.582
1,A90,15,Reflex,0,4,0,0,0,1,1.98
1,A90,15,Reflex,0,5,0,0,0,1,3.285
1,A90,15,Reflex,0,6,0,0,0,1,2.891
1,A90,8,EXT 1490,17.5,1,10,10,5,1,2.878
1,A90,8,EXT 1490,17.5,2,10,10,5,1,3.274
1,A90,8,EXT 1490,17.5,3,10,10,5,1,2.413
1,A90,8,EXT 1490,17.5,4,10,10,5,1,2.778
1,A90,8,EXT 1490,17.5,5,10,5,5,1,2.642
1,A90,8,EXT 1490,17.5,6,10,10,5,1,3.394
1,A90,9,EXT 1490,35,1,10,5,5,1,2.832
1,A90,9,EXT 1490,35,2,15,10,5,1,2.885
1,A90,9,EXT 1490,35,3,15,15,5,1,2.566
1,A90,9,EXT 1490,35,4,10,15,5,1,2.708
1,A90,9,EXT 1490,35,5,15,10,5,1,2.505
1,A90,9,EXT 1490,35,6,15,15,5,1,2.354
1,A90,10,EXT 1490,70,1,20,10,5,1,2.996
1,A90,10,EXT 1490,70,2,20,20,10,1,2.702
1,A90,10,EXT 1490,70,3,15,15,5,1,1.1
1,A90,10,EXT 1490,70,4,95,75,20,1,0.529
1,A90,10,EXT 1490,70,5,40,20,5,1,1.443
1,A90,10,EXT 1490,70,6,20,15,5,1,2.649
1,A90,11,EXT 1490,140,1,95,80,70,1,0.212
1,A90,11,EXT 1490,140,2,95,95,95,1,0.063
1,A90,11,EXT 1490,140,3,30,25,10,1,2.132
1,A90,11,EXT 1490,140,4,100,100,100,0,0
1,A90,11,EXT 1490,140,5,50,60,30,1,1.808
1,A90,11,EXT 1490,140,6,100,100,100,0,0
1,A90,12,EXT 1490,280,1,100,100,100,0,0
1,A90,12,EXT 1490,280,2,95,75,50,1,0.666
1,A90,12,EXT 1490,280,3,100,100,100,0,0
1,A90,12,EXT 1490,280,4,100,100,100,0,0
1,A90,12,EXT 1490,280,5,100,100,100,0,0
1,A90,12,EXT 1490,280,6,100,100,100,0,0
1,A90,13,EXT 1490,560,1,100,100,100,0,0
1,A90,13,EXT 1490,560,2,100,100,100,0,0
1,A90,13,EXT 1490,560,3,100,100,100,0,0
1,A90,13,EXT 1490,560,4,100,100,100,0,0
1,A90,13,EXT 1490,560,5,100,100,100,0,0
1,A90,13,EXT 1490,560,6,100,100,100,0,0
1,A90,14,EXT 1490,1120,1,100,100,100,0,0
1,A90,14,EXT 1490,1120,2,100,100,100,0,0
1,A90,14,EXT 1490,1120,3,100,100,100,0,0
1,A90,14,EXT 1490,1120,4,100,100,100,0,0
1,A90,14,EXT 1490,1120,5,100,100,100,0,0
1,A90,14,EXT 1490,1120,6,100,100,100,0,0
1,A90,15,EXT 1490,0,1,0,0,0,1,3.695
1,A90,15,EXT 1490,0,2,0,0,0,1,3.45
1,A90,15,EXT 1490,0,3,0,0,0,1,2.582
1,A90,15,EXT 1490,0,4,0,0,0,1,1.98
1,A90,15,EXT 1490,0,5,0,0,0,1,3.285
1,A90,15,EXT 1490,0,6,0,0,0,1,2.891
