id,trt,pop,herb,rate,rep,ve_21dat,ve_28dat,count_28dat,biomass,countred,biored
1,1,A90,,0,1,0,0,41,4.115,,
2,1,A90,,0,2,0,0,15,1.897,,
3,1,A90,,0,3,0,0,25,2.866,,
4,1,A90,,0,4,0,0,19,0.785,,
5,1,A90,,0,5,0,0,19,1.245,,
6,1,A90,,0,6,0,0,5,0.334,,
7,2,A90,S,70,1,85,80,2,0.017,0.903225806,0.990926881
8,2,A90,S,70,2,10,5,25,2.591,0.0001,0.0001
9,2,A90,S,70,3,60,60,3,0.221,0.85483871,0.882049457
10,2,A90,S,70,4,95,90,1,0.007,0.951612903,0.99626401
11,2,A90,S,70,5,90,75,2,0.069,0.903225806,0.963173812
12,2,A90,S,70,6,80,60,4,0.283,0.806451613,0.84895926
13,3,A90,S+1045,70,1,60,55,5,0.446,0.758064516,0.761964063
14,3,A90,S+1045,70,2,40,45,11,0.718,0.467741935,0.616794165
15,3,A90,S+1045,70,3,10,5,12,2.208,0.419354839,0.0001
16,3,A90,S+1045,70,4,30,15,7,2.005,0.661290323,0.0001
17,3,A90,S+1045,70,5,10,5,8,1.41,0.612903226,0.247464864
18,3,A90,S+1045,70,6,10,5,20,2.607,0.032258065,0.0001
19,4,A90,S+1088,70,1,95,90,1,0.007,0.951612903,0.99626401
20,4,A90,S+1088,70,2,40,20,29,1.489,0.0001,0.205301548
21,4,A90,S+1088,70,3,80,75,2,0.182,0.903225806,0.902864259
22,4,A90,S+1088,70,4,90,80,1,0.261,0.951612903,0.860700943
23,4,A90,S+1088,70,5,70,65,3,0.462,0.85483871,0.753424658
24,4,A90,S+1088,70,6,30,15,13,2.428,0.370967742,0.0001
25,5,A90,S+1089,70,1,100,100,0,0,0.9999,0.9999
26,5,A90,S+1089,70,2,20,15,14,1.785,0.322580645,0.04732254
27,5,A90,S+1089,70,3,60,65,2,0.263,0.903225806,0.859633517
28,5,A90,S+1089,70,4,80,75,2,0.228,0.903225806,0.878313467
29,5,A90,S+1089,70,5,50,30,10,0.911,0.516129032,0.513787582
30,5,A90,S+1089,70,6,95,95,2,0.008,0.903225806,0.995730297
31,6,A90,S+1633,70,1,85,80,3,0.029,0.85483871,0.984522327
32,6,A90,S+1633,70,2,95,95,1,0.008,0.951612903,0.995730297
33,6,A90,S+1633,70,3,80,70,4,0.238,0.806451613,0.872976339
34,6,A90,S+1633,70,4,95,95,2,0.013,0.903225806,0.993061733
35,6,A90,S+1633,70,5,100,100,0,0,0.9999,0.9999
36,6,A90,S+1633,70,6,95,100,0,0,0.9999,0.9999
37,7,A90,S+1634,70,1,100,100,0,0,0.9999,0.9999
38,7,A90,S+1634,70,2,100,100,0,0,0.9999,0.9999
39,7,A90,S+1634,70,3,80,65,4,0.306,0.806451613,0.836683864
40,7,A90,S+1634,70,4,10,5,25,3.097,0.0001,0.0001
41,7,A90,S+1634,70,5,10,5,19,2.502,0.080645161,0.0001
42,7,A90,S+1634,70,6,15,5,25,1.962,0.0001,0.0001
43,8,A90,S,140,1,75,65,5,0.115,0.758064516,0.938623021
44,8,A90,S,140,2,80,65,4,0.156,0.806451613,0.916740793
45,8,A90,S,140,3,50,50,9,0.775,0.564516129,0.586372532
46,8,A90,S,140,4,85,75,4,0.027,0.806451613,0.985589753
47,8,A90,S,140,5,100,100,0,0,0.9999,0.9999
48,8,A90,S,140,6,50,50,9,0.561,0.564516129,0.700587084
49,9,A90,S+1045,140,1,85,80,1,0.187,0.951612903,0.900195695
50,9,A90,S+1045,140,2,60,60,3,0.546,0.85483871,0.708592777
51,9,A90,S+1045,140,3,95,100,0,0,0.9999,0.9999
52,9,A90,S+1045,140,4,100,100,0,0,0.9999,0.9999
53,9,A90,S+1045,140,5,75,65,3,0.151,0.85483871,0.919409358
54,9,A90,S+1045,140,6,90,90,1,0.023,0.951612903,0.987724604
55,10,A90,S+1088,140,1,70,50,9,0.399,0.564516129,0.787048568
56,10,A90,S+1088,140,2,95,90,1,0.017,0.951612903,0.990926881
57,10,A90,S+1088,140,3,95,90,1,0.016,0.951612903,0.991460594
58,10,A90,S+1088,140,4,60,65,5,0.388,0.758064516,0.792919409
59,10,A90,S+1088,140,5,100,100,0,0,0.9999,0.9999
60,10,A90,S+1088,140,6,95,85,2,0.034,0.903225806,0.981853763
61,11,A90,S+1089,140,1,80,70,4,0.143,0.806451613,0.923679061
62,11,A90,S+1089,140,2,60,50,9,0.553,0.564516129,0.704856787
63,11,A90,S+1089,140,3,100,100,0,0,0.9999,0.9999
64,11,A90,S+1089,140,4,70,70,1,0.576,0.951612903,0.692581391
65,11,A90,S+1089,140,5,95,100,0,0,0.9999,0.9999
66,11,A90,S+1089,140,6,95,90,1,0.025,0.951612903,0.986657178
67,12,A90,S+1633,140,1,75,65,4,0.308,0.806451613,0.835616438
68,12,A90,S+1633,140,2,80,65,4,0.235,0.806451613,0.874577477
69,12,A90,S+1633,140,3,95,95,1,0.016,0.951612903,0.991460594
70,12,A90,S+1633,140,4,95,95,2,0.008,0.903225806,0.995730297
71,12,A90,S+1633,140,5,95,80,3,0.105,0.85483871,0.943960149
72,12,A90,S+1633,140,6,95,95,1,0.003,0.951612903,0.998398861
73,13,A90,S+1634,140,1,95,80,2,0.071,0.903225806,0.962106387
74,13,A90,S+1634,140,2,80,70,4,0.17,0.806451613,0.909268813
75,13,A90,S+1634,140,3,75,70,4,0.241,0.806451613,0.8713752
76,13,A90,S+1634,140,4,95,100,0,0,0.9999,0.9999
77,13,A90,S+1634,140,5,95,90,2,0.021,0.903225806,0.98879203
78,13,A90,S+1634,140,6,95,100,0,0,0.9999,0.9999
