trt,pop,herb,rate,rep,ve_21dat,ve_28dat,count_28dat,biomass,countred,biored
1,A90,,0,1,0.01,0.01,41,4.115,,
1,A90,,0,2,0.01,0.01,15,1.897,,
1,A90,,0,3,0.01,0.01,25,2.866,,
1,A90,,0,4,0.01,0.01,19,0.785,,
1,A90,,0,5,0.01,0.01,19,1.245,,
1,A90,,0,6,0.01,0.01,5,0.334,,
2,A90,S,70,1,0.85,0.8,2,0.017,0.903225806,0.990926881
2,A90,S,70,2,0.1,0.05,25,2.591,0.0001,0.0001
2,A90,S,70,3,0.6,0.6,3,0.221,0.85483871,0.882049457
2,A90,S,70,4,0.95,0.9,1,0.007,0.951612903,0.99626401
2,A90,S,70,5,0.9,0.75,2,0.069,0.903225806,0.963173812
2,A90,S,70,6,0.8,0.6,4,0.283,0.806451613,0.84895926
3,A90,S+1045,70,1,0.6,0.55,5,0.446,0.758064516,0.761964063
3,A90,S+1045,70,2,0.4,0.45,11,0.718,0.467741935,0.616794165
3,A90,S+1045,70,3,0.1,0.05,12,2.208,0.419354839,0.0001
3,A90,S+1045,70,4,0.3,0.15,7,2.005,0.661290323,0.0001
3,A90,S+1045,70,5,0.1,0.05,8,1.41,0.612903226,0.247464864
3,A90,S+1045,70,6,0.1,0.05,20,2.607,0.032258065,0.0001
4,A90,S+1088,70,1,0.95,0.9,1,0.007,0.951612903,0.99626401
4,A90,S+1088,70,2,0.4,0.2,29,1.489,0.0001,0.205301548
4,A90,S+1088,70,3,0.8,0.75,2,0.182,0.903225806,0.902864259
4,A90,S+1088,70,4,0.9,0.8,1,0.261,0.951612903,0.860700943
4,A90,S+1088,70,5,0.7,0.65,3,0.462,0.85483871,0.753424658
4,A90,S+1088,70,6,0.3,0.15,13,2.428,0.370967742,0.0001
5,A90,S+1089,70,1,0.99,0.99,0,0,0.9999,0.9999
5,A90,S+1089,70,2,0.2,0.15,14,1.785,0.322580645,0.04732254
5,A90,S+1089,70,3,0.6,0.65,2,0.263,0.903225806,0.859633517
5,A90,S+1089,70,4,0.8,0.75,2,0.228,0.903225806,0.878313467
5,A90,S+1089,70,5,0.5,0.3,10,0.911,0.516129032,0.513787582
5,A90,S+1089,70,6,0.95,0.95,2,0.008,0.903225806,0.995730297
6,A90,S+1633,70,1,0.85,0.8,3,0.029,0.85483871,0.984522327
6,A90,S+1633,70,2,0.95,0.95,1,0.008,0.951612903,0.995730297
6,A90,S+1633,70,3,0.8,0.7,4,0.238,0.806451613,0.872976339
6,A90,S+1633,70,4,0.95,0.95,2,0.013,0.903225806,0.993061733
6,A90,S+1633,70,5,0.99,0.99,0,0,0.9999,0.9999
6,A90,S+1633,70,6,0.95,0.99,0,0,0.9999,0.9999
7,A90,S+1634,70,1,0.99,0.99,0,0,0.9999,0.9999
7,A90,S+1634,70,2,0.99,0.99,0,0,0.9999,0.9999
7,A90,S+1634,70,3,0.8,0.65,4,0.306,0.806451613,0.836683864
7,A90,S+1634,70,4,0.1,0.05,25,3.097,0.0001,0.0001
7,A90,S+1634,70,5,0.1,0.05,19,2.502,0.080645161,0.0001
7,A90,S+1634,70,6,0.15,0.05,25,1.962,0.0001,0.0001
8,A90,S,140,1,0.75,0.65,5,0.115,0.758064516,0.938623021
8,A90,S,140,2,0.8,0.65,4,0.156,0.806451613,0.916740793
8,A90,S,140,3,0.5,0.5,9,0.775,0.564516129,0.586372532
8,A90,S,140,4,0.85,0.75,4,0.027,0.806451613,0.985589753
8,A90,S,140,5,0.99,0.99,0,0,0.9999,0.9999
8,A90,S,140,6,0.5,0.5,9,0.561,0.564516129,0.700587084
9,A90,S+1045,140,1,0.85,0.8,1,0.187,0.951612903,0.900195695
9,A90,S+1045,140,2,0.6,0.6,3,0.546,0.85483871,0.708592777
9,A90,S+1045,140,3,0.95,0.99,0,0,0.9999,0.9999
9,A90,S+1045,140,4,0.99,0.99,0,0,0.9999,0.9999
9,A90,S+1045,140,5,0.75,0.65,3,0.151,0.85483871,0.919409358
9,A90,S+1045,140,6,0.9,0.9,1,0.023,0.951612903,0.987724604
10,A90,S+1088,140,1,0.7,0.5,9,0.399,0.564516129,0.787048568
10,A90,S+1088,140,2,0.95,0.9,1,0.017,0.951612903,0.990926881
10,A90,S+1088,140,3,0.95,0.9,1,0.016,0.951612903,0.991460594
10,A90,S+1088,140,4,0.6,0.65,5,0.388,0.758064516,0.792919409
10,A90,S+1088,140,5,0.99,0.99,0,0,0.9999,0.9999
10,A90,S+1088,140,6,0.95,0.85,2,0.034,0.903225806,0.981853763
11,A90,S+1089,140,1,0.8,0.7,4,0.143,0.806451613,0.923679061
11,A90,S+1089,140,2,0.6,0.5,9,0.553,0.564516129,0.704856787
11,A90,S+1089,140,3,0.99,0.99,0,0,0.9999,0.9999
11,A90,S+1089,140,4,0.7,0.7,1,0.576,0.951612903,0.692581391
11,A90,S+1089,140,5,0.95,0.99,0,0,0.9999,0.9999
11,A90,S+1089,140,6,0.95,0.9,1,0.025,0.951612903,0.986657178
12,A90,S+1633,140,1,0.75,0.65,4,0.308,0.806451613,0.835616438
12,A90,S+1633,140,2,0.8,0.65,4,0.235,0.806451613,0.874577477
12,A90,S+1633,140,3,0.95,0.95,1,0.016,0.951612903,0.991460594
12,A90,S+1633,140,4,0.95,0.95,2,0.008,0.903225806,0.995730297
12,A90,S+1633,140,5,0.95,0.8,3,0.105,0.85483871,0.943960149
12,A90,S+1633,140,6,0.95,0.95,1,0.003,0.951612903,0.998398861
13,A90,S+1634,140,1,0.95,0.8,2,0.071,0.903225806,0.962106387
13,A90,S+1634,140,2,0.8,0.7,4,0.17,0.806451613,0.909268813
13,A90,S+1634,140,3,0.75,0.7,4,0.241,0.806451613,0.8713752
13,A90,S+1634,140,4,0.95,0.99,0,0,0.9999,0.9999
13,A90,S+1634,140,5,0.95,0.9,2,0.021,0.903225806,0.98879203
13,A90,S+1634,140,6,0.95,0.99,0,0,0.9999,0.9999
