id,trt,pop,herb,dose,rate,rep,ve_21dat,ve_28dat,count_28dat,biomass
1,1,A90,C,0x,0,1,0.01,,,
2,1,A90,C,0x,0,2,0.01,,,
3,1,A90,C,0x,0,3,0.01,,,
4,1,A90,C,0x,0,4,0.01,,,
5,1,A90,C,0x,0,5,0.01,,,
6,1,A90,C,0x,0,6,0.01,,,
7,2,A90,F,0.25x,26.8,1,0.8,,,
8,2,A90,F,0.25x,26.8,2,0.99,,,
9,2,A90,F,0.25x,26.8,3,0.99,,,
10,2,A90,F,0.25x,26.8,4,0.99,,,
11,2,A90,F,0.25x,26.8,5,0.99,,,
12,2,A90,F,0.25x,26.8,6,0.95,,,
13,3,A90,F+1045,0.25x,26.8,1,0.85,,,
14,3,A90,F+1045,0.25x,26.8,2,0.95,,,
15,3,A90,F+1045,0.25x,26.8,3,0.95,,,
16,3,A90,F+1045,0.25x,26.8,4,0.92,,,
17,3,A90,F+1045,0.25x,26.8,5,0.99,,,
18,3,A90,F+1045,0.25x,26.8,6,0.9,,,
19,4,A90,F+1088,0.25x,26.8,1,0.99,,,
20,4,A90,F+1088,0.25x,26.8,2,0.99,,,
21,4,A90,F+1088,0.25x,26.8,3,0.99,,,
22,4,A90,F+1088,0.25x,26.8,4,0.9,,,
23,4,A90,F+1088,0.25x,26.8,5,0.9,,,
24,4,A90,F+1088,0.25x,26.8,6,0.99,,,
25,5,A90,F+1089,0.25x,26.8,1,0.75,,,
26,5,A90,F+1089,0.25x,26.8,2,0.9,,,
27,5,A90,F+1089,0.25x,26.8,3,0.8,,,
28,5,A90,F+1089,0.25x,26.8,4,0.92,,,
29,5,A90,F+1089,0.25x,26.8,5,0.99,,,
30,5,A90,F+1089,0.25x,26.8,6,0.99,,,
31,6,A90,F+1637,0.25x,26.8,1,0.9,,,
32,6,A90,F+1637,0.25x,26.8,2,0.92,,,
33,6,A90,F+1637,0.25x,26.8,3,0.9,,,
34,6,A90,F+1637,0.25x,26.8,4,0.99,,,
35,6,A90,F+1637,0.25x,26.8,5,0.9,,,
36,6,A90,F+1637,0.25x,26.8,6,0.85,,,
37,7,A90,F+1638,0.25x,26.8,1,0.99,,,
38,7,A90,F+1638,0.25x,26.8,2,0.8,,,
39,7,A90,F+1638,0.25x,26.8,3,0.99,,,
40,7,A90,F+1638,0.25x,26.8,4,0.95,,,
41,7,A90,F+1638,0.25x,26.8,5,0.85,,,
42,7,A90,F+1638,0.25x,26.8,6,0.9,,,
43,8,A90,F+1646,0.25x,26.8,1,0.99,,,
44,8,A90,F+1646,0.25x,26.8,2,0.99,,,
45,8,A90,F+1646,0.25x,26.8,3,0.99,,,
46,8,A90,F+1646,0.25x,26.8,4,0.8,,,
47,8,A90,F+1646,0.25x,26.8,5,0.8,,,
48,8,A90,F+1646,0.25x,26.8,6,0.99,,,
49,9,A90,F+1647,0.25x,26.8,1,0.6,,,
50,9,A90,F+1647,0.25x,26.8,2,0.85,,,
51,9,A90,F+1647,0.25x,26.8,3,0.75,,,
52,9,A90,F+1647,0.25x,26.8,4,0.75,,,
53,9,A90,F+1647,0.25x,26.8,5,0.95,,,
54,9,A90,F+1647,0.25x,26.8,6,0.7,,,
55,10,A90,F,0.5x,53.6,1,0.9,,,
56,10,A90,F,0.5x,53.6,2,0.95,,,
57,10,A90,F,0.5x,53.6,3,0.99,,,
58,10,A90,F,0.5x,53.6,4,0.99,,,
59,10,A90,F,0.5x,53.6,5,0.99,,,
60,10,A90,F,0.5x,53.6,6,0.95,,,
61,11,A90,F+1045,0.5x,53.6,1,0.99,,,
62,11,A90,F+1045,0.5x,53.6,2,0.99,,,
63,11,A90,F+1045,0.5x,53.6,3,0.99,,,
64,11,A90,F+1045,0.5x,53.6,4,0.99,,,
65,11,A90,F+1045,0.5x,53.6,5,0.99,,,
66,11,A90,F+1045,0.5x,53.6,6,0.99,,,
67,12,A90,F+1088,0.5x,53.6,1,0.99,,,
68,12,A90,F+1088,0.5x,53.6,2,0.99,,,
69,12,A90,F+1088,0.5x,53.6,3,0.99,,,
70,12,A90,F+1088,0.5x,53.6,4,0.99,,,
71,12,A90,F+1088,0.5x,53.6,5,0.95,,,
72,12,A90,F+1088,0.5x,53.6,6,0.99,,,
73,13,A90,F+1089,0.5x,53.6,1,0.99,,,
74,13,A90,F+1089,0.5x,53.6,2,0.99,,,
75,13,A90,F+1089,0.5x,53.6,3,0.99,,,
76,13,A90,F+1089,0.5x,53.6,4,0.99,,,
77,13,A90,F+1089,0.5x,53.6,5,0.99,,,
78,13,A90,F+1089,0.5x,53.6,6,0.99,,,
79,14,A90,F+1637,0.5x,53.6,1,0.99,,,
80,14,A90,F+1637,0.5x,53.6,2,0.99,,,
81,14,A90,F+1637,0.5x,53.6,3,0.9,,,
82,14,A90,F+1637,0.5x,53.6,4,0.99,,,
83,14,A90,F+1637,0.5x,53.6,5,0.99,,,
84,14,A90,F+1637,0.5x,53.6,6,0.99,,,
85,15,A90,F+1638,0.5x,53.6,1,0.99,,,
86,15,A90,F+1638,0.5x,53.6,2,0.95,,,
87,15,A90,F+1638,0.5x,53.6,3,0.99,,,
88,15,A90,F+1638,0.5x,53.6,4,0.99,,,
89,15,A90,F+1638,0.5x,53.6,5,0.99,,,
90,15,A90,F+1638,0.5x,53.6,6,0.99,,,
91,16,A90,F+1646,0.5x,53.6,1,0.99,,,
92,16,A90,F+1646,0.5x,53.6,2,0.99,,,
93,16,A90,F+1646,0.5x,53.6,3,0.99,,,
94,16,A90,F+1646,0.5x,53.6,4,0.9,,,
95,16,A90,F+1646,0.5x,53.6,5,0.99,,,
96,16,A90,F+1646,0.5x,53.6,6,0.99,,,
97,17,A90,F+1647,0.5x,53.6,1,0.99,,,
98,17,A90,F+1647,0.5x,53.6,2,0.99,,,
99,17,A90,F+1647,0.5x,53.6,3,0.99,,,
100,17,A90,F+1647,0.5x,53.6,4,0.99,,,
101,17,A90,F+1647,0.5x,53.6,5,0.99,,,
102,17,A90,F+1647,0.5x,53.6,6,0.99,,,
