run,pop,herb,rate,dose,rep,surv,biomass,bio_red
1,AT2,fomesafen,0.125x,32.875,1,1,1.854,0
1,AT2,fomesafen,0.125x,32.875,2,1,1.617,0
1,AT2,fomesafen,0.125x,32.875,3,1,0.972,0.335838743
1,AT2,fomesafen,0.125x,32.875,4,1,1.571,0
1,AT2,fomesafen,0.25x,65.75,1,1,1.862,0
1,AT2,fomesafen,0.25x,65.75,2,1,1.551,0
1,AT2,fomesafen,0.25x,65.75,3,1,1.545,0
1,AT2,fomesafen,0.25x,65.75,4,1,1.075,0.265459515
1,AT2,fomesafen,0.5x,131.5,1,1,0.746,0.490263068
1,AT2,fomesafen,0.5x,131.5,2,1,1.754,0
1,AT2,fomesafen,0.5x,131.5,3,1,1.118,0.236077895
1,AT2,fomesafen,0.5x,131.5,4,1,0.854,0.416467373
1,AT2,fomesafen,1x,263,1,1,0.884,0.395968569
1,AT2,fomesafen,1x,263,2,1,0.895,0.38845234
1,AT2,fomesafen,1x,263,3,0,0,1
1,AT2,fomesafen,1x,263,4,0,0,1
1,AT2,fomesafen,2x,526,1,0,0,1
1,AT2,fomesafen,2x,526,2,0,0,1
1,AT2,fomesafen,2x,526,3,1,0.17,0.883840109
1,AT2,fomesafen,2x,526,4,0,0,1
1,AT2,fomesafen,4x,1052,1,0,0,1
1,AT2,fomesafen,4x,1052,2,0,0,1
1,AT2,fomesafen,4x,1052,3,0,0,1
1,AT2,fomesafen,4x,1052,4,1,0.267,0.817560642
1,AT2,fomesafen,8x,2104,1,1,0.261,0.821660403
1,AT2,fomesafen,8x,2104,2,0,0,1
1,AT2,fomesafen,8x,2104,3,0,0,1
1,AT2,fomesafen,8x,2104,4,0,0,1
1,AT8-EDGE,fomesafen,0.125x,32.875,1,0,0,1
1,AT8-EDGE,fomesafen,0.125x,32.875,2,0,0,1
1,AT8-EDGE,fomesafen,0.125x,32.875,3,0,0,1
1,AT8-EDGE,fomesafen,0.125x,32.875,4,0,0,1
1,AT8-EDGE,fomesafen,0.25x,65.75,1,0,0,1
1,AT8-EDGE,fomesafen,0.25x,65.75,2,0,0,1
1,AT8-EDGE,fomesafen,0.25x,65.75,3,0,0,1
1,AT8-EDGE,fomesafen,0.25x,65.75,4,0,0,1
1,AT8-EDGE,fomesafen,0.5x,131.5,1,0,0,1
1,AT8-EDGE,fomesafen,0.5x,131.5,2,0,0,1
1,AT8-EDGE,fomesafen,0.5x,131.5,3,0,0,1
1,AT8-EDGE,fomesafen,0.5x,131.5,4,0,0,1
1,AT8-EDGE,fomesafen,1x,263,1,0,0,1
1,AT8-EDGE,fomesafen,1x,263,2,0,0,1
1,AT8-EDGE,fomesafen,1x,263,3,0,0,1
1,AT8-EDGE,fomesafen,1x,263,4,0,0,1
1,AT8-EDGE,fomesafen,2x,526,1,0,0,1
1,AT8-EDGE,fomesafen,2x,526,2,0,0,1
1,AT8-EDGE,fomesafen,2x,526,3,0,0,1
1,AT8-EDGE,fomesafen,2x,526,4,0,0,1
1,AT8-EDGE,fomesafen,4x,1052,1,0,0,1
1,AT8-EDGE,fomesafen,4x,1052,2,0,0,1
1,AT8-EDGE,fomesafen,4x,1052,3,0,0,1
1,AT8-EDGE,fomesafen,4x,1052,4,0,0,1
1,AT8-EDGE,fomesafen,8x,2104,1,0,0,1
1,AT8-EDGE,fomesafen,8x,2104,2,0,0,1
1,AT8-EDGE,fomesafen,8x,2104,3,0,0,1
1,AT8-EDGE,fomesafen,8x,2104,4,0,0,1
1,AT2,fomesafen,0.015x,3.945,1,1,1.405,0.039972668
1,AT2,fomesafen,0.015x,3.945,2,1,1.113,0.239494363
1,AT2,fomesafen,0.015x,3.945,3,1,1.252,0.14451657
1,AT2,fomesafen,0.015x,3.945,4,1,1.052,0.281175265
1,AT2,fomesafen,0.031x,8.153,1,1,1.008,0.311240178
1,AT2,fomesafen,0.031x,8.153,2,1,1.244,0.149982918
1,AT2,fomesafen,0.031x,8.153,3,1,1.221,0.165698668
1,AT2,fomesafen,0.031x,8.153,4,1,1.514,0
1,AT2,fomesafen,0.062x,16.306,1,0,0,1
1,AT2,fomesafen,0.062x,16.306,2,1,1.111,0.24086095
1,AT2,fomesafen,0.062x,16.306,3,1,1.385,0.053638538
1,AT2,fomesafen,0.062x,16.306,4,0,0,1
1,AT2,fomesafen,16x,4208,1,0,0,1
1,AT2,fomesafen,16x,4208,2,0,0,1
1,AT2,fomesafen,16x,4208,3,0,0,1
1,AT2,fomesafen,16x,4208,4,0,0,1
1,AT8-EDGE,fomesafen,0.015x,3.945,1,1,1.681,0
1,AT8-EDGE,fomesafen,0.015x,3.945,2,1,1.026,0.33881102
1,AT8-EDGE,fomesafen,0.015x,3.945,3,1,1.398,0.099081682
1,AT8-EDGE,fomesafen,0.015x,3.945,4,1,1.356,0.126147898
1,AT8-EDGE,fomesafen,0.031x,8.153,1,1,0.804,0.481875302
1,AT8-EDGE,fomesafen,0.031x,8.153,2,1,0.65,0.581118092
1,AT8-EDGE,fomesafen,0.031x,8.153,3,1,1.091,0.296922829
1,AT8-EDGE,fomesafen,0.031x,8.153,4,1,0.68,0.561785081
1,AT8-EDGE,fomesafen,0.062x,16.306,1,0,0,1
1,AT8-EDGE,fomesafen,0.062x,16.306,2,0,0,1
1,AT8-EDGE,fomesafen,0.062x,16.306,3,0,0,1
1,AT8-EDGE,fomesafen,0.062x,16.306,4,1,0.145,0.906557113
1,AT8-EDGE,fomesafen,16x,4208,1,0,0,1
1,AT8-EDGE,fomesafen,16x,4208,2,0,0,1
1,AT8-EDGE,fomesafen,16x,4208,3,0,0,1
1,AT8-EDGE,fomesafen,16x,4208,4,0,0,1
2,AT2,fomesafen,0.125x,32.875,1,1,0.791,0.24402676
2,AT2,fomesafen,0.125x,32.875,2,1,0.298,0.715195922
2,AT2,fomesafen,0.125x,32.875,3,1,0.536,0.487734947
2,AT2,fomesafen,0.25x,65.75,1,1,0.42,0.59859828
2,AT2,fomesafen,0.25x,65.75,2,0,0,1
2,AT2,fomesafen,0.25x,65.75,3,1,0.665,0.364447276
2,AT2,fomesafen,0.5x,131.5,1,1,0.329,0.685568652
2,AT2,fomesafen,0.5x,131.5,2,1,0.547,0.477222045
2,AT2,fomesafen,0.5x,131.5,3,1,0.531,0.492513539
2,AT2,fomesafen,1x,263,1,1,0.982,0.061484549
2,AT2,fomesafen,1x,263,2,0,0,1
2,AT2,fomesafen,1x,263,3,0,0,1
