Dose	Rep	Biotype	Response
0	1	S	30
40	1	S	22.15437003
60	1	S	11.78448725
80	1	S	6.574454565
160	1	S	3.255059627
320	1	S	3.016083667
0	1	R	60
40	1	R	48.37684449
60	1	R	33.01405518
80	1	R	25.29548824
160	1	R	20.37786611
320	1	R	20.02382766
0	2	S	31.2
40	2	S	23.04054484
60	2	S	12.25586674
80	2	S	6.837432747
160	2	S	3.385262012
320	2	S	3.136727014
0	2	R	62.4
40	2	R	50.31191827
60	2	R	34.33461739
80	2	R	26.30730777
160	2	R	21.19298076
320	2	R	20.82478076
0	3	S	29.1
40	3	S	21.48973893
60	3	S	11.43095263
80	3	S	6.377220928
160	3	S	3.157407838
320	3	S	2.925601157
0	3	R	58.2
40	3	R	46.92553916
60	3	R	32.02363352
80	3	R	24.5366236
160	3	R	19.76653013
320	3	R	19.42311283
