Dose	Rep	Biotype	Response
0	1	S	60
40	1	S	43.43700341
60	1	S	21.54502863
80	1	S	10.54607075
160	1	S	3.538459213
320	1	S	3.033954409
0	1	R	30
40	1	R	24.76958002
60	1	R	17.85632483
80	1	R	14.38296971
160	1	R	12.17003975
320	1	R	12.01072244
0	2	S	62.4
40	2	S	45.17448354
60	2	S	22.40682978
80	2	S	10.96791358
160	2	S	3.679997582
320	2	S	3.155312585
0	2	R	31.2
40	2	R	25.76036322
60	2	R	18.57057782
80	2	R	14.9582885
160	2	R	12.65684134
320	2	R	12.49115134
0	3	S	58.2
40	3	S	42.1338933
60	3	S	20.89867777
80	3	S	10.22968863
160	3	S	3.432305437
320	3	S	2.942935777
0	3	R	29.1
40	3	R	24.02649262
60	3	R	17.32063509
80	3	R	13.95148062
160	3	R	11.80493856
320	3	R	11.65040077
