id,run,pop,herb,rate,rep,surv,biomass
1,1,AT12,lac,0,1,1,3.091
2,1,AT12,lac,0,2,1,2.478
3,1,AT12,lac,0,3,1,3.352
4,1,AT12,lac,0,4,1,3.946
5,1,AT12,lac,3,1,1,0.878
6,1,AT12,lac,3,2,1,2.257
7,1,AT12,lac,3,3,1,2.664
8,1,AT12,lac,3,4,1,3.239
9,1,AT12,lac,7,1,1,1.286
10,1,AT12,lac,7,2,1,0.978
11,1,AT12,lac,7,3,1,0.434
12,1,AT12,lac,7,4,1,1.291
13,1,AT12,lac,14,1,1,0.916
14,1,AT12,lac,14,2,1,1.952
15,1,AT12,lac,14,3,1,2.495
16,1,AT12,lac,14,4,1,1.722
17,1,AT12,lac,27,1,1,1.014
18,1,AT12,lac,27,2,1,0.821
19,1,AT12,lac,27,3,1,0.772
20,1,AT12,lac,27,4,1,1.953
21,1,AT12,lac,55,1,0,0
22,1,AT12,lac,55,2,0,0
23,1,AT12,lac,55,3,1,0.957
24,1,AT12,lac,55,4,1,1.024
25,1,AT12,lac,110,1,1,0.8
26,1,AT12,lac,110,2,1,1.193
27,1,AT12,lac,110,3,1,0.354
28,1,AT12,lac,110,4,1,0.191
29,1,AT12,lac,219,1,1,1.487
30,1,AT12,lac,219,2,1,0.255
31,1,AT12,lac,219,3,1,0.416
32,1,AT12,lac,219,4,1,0.523
33,1,AT12,lac,438,1,1,0.173
34,1,AT12,lac,438,2,1,0.226
35,1,AT12,lac,438,3,1,0.21
36,1,AT12,lac,438,4,1,0.117
37,1,AT12,lac,876,1,0,0
38,1,AT12,lac,876,2,0,0
39,1,AT12,lac,876,3,1,0.208
40,1,AT12,lac,876,4,0,0
41,1,AT12,lac,1752,1,0,0
42,1,AT12,lac,1752,2,0,0
43,1,AT12,lac,1752,3,0,0
44,1,AT12,lac,1752,4,0,0
45,1,AT12,lac,3504,1,1,0.261
46,1,AT12,lac,3504,2,0,0
47,1,AT12,lac,3504,3,0,0
48,1,AT12,lac,3504,4,0,0
49,1,AT15,lac,0,1,1,2.022
50,1,AT15,lac,0,2,1,2.829
51,1,AT15,lac,0,3,1,2.279
52,1,AT15,lac,0,4,1,3.031
53,1,AT15,lac,3,1,1,1.349
54,1,AT15,lac,3,2,1,1.654
55,1,AT15,lac,3,3,1,1.097
56,1,AT15,lac,3,4,1,2.571
57,1,AT15,lac,7,1,1,0.557
58,1,AT15,lac,7,2,1,0.348
59,1,AT15,lac,7,3,1,0.878
60,1,AT15,lac,7,4,1,0.689
61,1,AT15,lac,14,1,1,0.228
62,1,AT15,lac,14,2,1,0.646
63,1,AT15,lac,14,3,1,0.207
64,1,AT15,lac,14,4,1,0.148
65,1,AT15,lac,27,1,1,0.183
66,1,AT15,lac,27,2,1,0.154
67,1,AT15,lac,27,3,0,0
68,1,AT15,lac,27,4,1,0.253
69,1,AT15,lac,55,1,0,0
70,1,AT15,lac,55,2,1,0.16
71,1,AT15,lac,55,3,0,0
72,1,AT15,lac,55,4,0,0
73,1,AT15,lac,110,1,0,0
74,1,AT15,lac,110,2,0,0
75,1,AT15,lac,110,3,0,0
76,1,AT15,lac,110,4,0,0
77,1,AT15,lac,219,1,0,0
78,1,AT15,lac,219,2,0,0
79,1,AT15,lac,219,3,0,0
80,1,AT15,lac,219,4,0,0
81,1,AT15,lac,438,1,0,0
82,1,AT15,lac,438,2,0,0
83,1,AT15,lac,438,3,0,0
84,1,AT15,lac,438,4,0,0
85,1,AT15,lac,876,1,0,0
86,1,AT15,lac,876,2,0,0
87,1,AT15,lac,876,3,0,0
88,1,AT15,lac,876,4,0,0
89,1,AT15,lac,1752,1,0,0
90,1,AT15,lac,1752,2,0,0
91,1,AT15,lac,1752,3,0,0
92,1,AT15,lac,1752,4,0,0
93,1,AT15,lac,3504,1,0,0
94,1,AT15,lac,3504,2,0,0
95,1,AT15,lac,3504,3,0,0
96,1,AT15,lac,3504,4,0,0
1,2,AT12,lac,0,1,1,3.022
2,2,AT12,lac,0,2,1,3.591
3,2,AT12,lac,0,3,1,2.824
4,2,AT12,lac,0,4,1,3.459
5,2,AT12,lac,3,1,1,2.746
6,2,AT12,lac,3,2,1,3.777
7,2,AT12,lac,3,3,1,3.222
8,2,AT12,lac,3,4,1,2.057
9,2,AT12,lac,7,1,1,2.344
10,2,AT12,lac,7,2,1,3.272
11,2,AT12,lac,7,3,1,1.055
12,2,AT12,lac,7,4,1,0.872
13,2,AT12,lac,14,1,1,2.684
14,2,AT12,lac,14,2,1,2.034
15,2,AT12,lac,14,3,1,0.591
16,2,AT12,lac,14,4,1,0.969
17,2,AT12,lac,27,1,1,1.754
18,2,AT12,lac,27,2,1,0.156
19,2,AT12,lac,27,3,1,2.34
20,2,AT12,lac,27,4,1,0.231
21,2,AT12,lac,55,1,1,0.995
22,2,AT12,lac,55,2,1,1.688
23,2,AT12,lac,55,3,1,1.378
24,2,AT12,lac,55,4,0,0
25,2,AT12,lac,110,1,1,1.111
26,2,AT12,lac,110,2,1,0.246
27,2,AT12,lac,110,3,1,1.612
28,2,AT12,lac,110,4,1,0.342
29,2,AT12,lac,219,1,0,0
30,2,AT12,lac,219,2,1,1.433
31,2,AT12,lac,219,3,1,0.182
32,2,AT12,lac,219,4,1,0.217
33,2,AT12,lac,438,1,1,0.288
34,2,AT12,lac,438,2,1,0.183
35,2,AT12,lac,438,3,1,0.174
36,2,AT12,lac,438,4,0,0
37,2,AT12,lac,876,1,0,0
38,2,AT12,lac,876,2,0,0
39,2,AT12,lac,876,3,0,0
40,2,AT12,lac,876,4,0,0
41,2,AT12,lac,1752,1,0,0
42,2,AT12,lac,1752,2,0,0
43,2,AT12,lac,1752,3,0,0
44,2,AT12,lac,1752,4,1,0.218
45,2,AT12,lac,3504,1,0,0
46,2,AT12,lac,3504,2,0,0
47,2,AT12,lac,3504,3,0,0
48,2,AT12,lac,3504,4,0,0
49,2,AT15,lac,0,1,1,3.533
