Dose	Rep	Biotype	Response.2
0	1	S	60
40	1	S	45.47105562
60	1	S	26.26756897
80	1	S	16.61936031
160	1	S	10.47233264
320	1	S	10.02978457
0	1	R	30
40	1	R	24.18842225
60	1	R	16.50702759
80	1	R	12.64774412
160	1	R	10.18893306
320	1	R	10.01191383
0	2	S	62.4
40	2	S	47.28989784
60	2	S	27.31827173
80	2	S	17.28413472
160	2	S	10.89122595
320	2	S	10.43097595
0	2	R	31.2
40	2	R	25.15595914
60	2	R	17.16730869
80	2	R	13.15365389
160	2	R	10.59649038
320	2	R	10.41239038
0	3	S	58.2
40	3	S	44.10692395
60	3	S	25.47954191
80	3	S	16.1207795
160	3	S	10.15816266
320	3	S	9.728891032
0	3	R	29.1
40	3	R	23.46276958
60	3	R	16.01181676
80	3	R	12.2683118
160	3	R	9.883265066
320	3	R	9.711556413
