id,run,pop,herb,rate,rep,surv,biomass
1,1,AT2,fome,0,1,1,1.493
2,1,AT2,fome,0,2,1,1.26
3,1,AT2,fome,0,3,1,1.172
4,1,AT2,fome,0,4,1,1.929
6,1,AT2,fome,33,1,1,1.854
7,1,AT2,fome,33,2,1,1.617
8,1,AT2,fome,33,3,1,0.972
9,1,AT2,fome,33,4,1,1.571
11,1,AT2,fome,66,1,1,1.862
12,1,AT2,fome,66,2,1,1.551
13,1,AT2,fome,66,3,1,1.545
14,1,AT2,fome,66,4,1,1.075
16,1,AT2,fome,132,1,1,0.746
17,1,AT2,fome,132,2,1,1.754
18,1,AT2,fome,132,3,1,1.118
19,1,AT2,fome,132,4,1,0.854
21,1,AT2,fome,263,1,1,0.884
22,1,AT2,fome,263,2,1,0.895
23,1,AT2,fome,263,3,0,0
24,1,AT2,fome,263,4,0,0
26,1,AT2,fome,526,1,0,0
27,1,AT2,fome,526,2,0,0
28,1,AT2,fome,526,3,1,0.17
29,1,AT2,fome,526,4,0,0
31,1,AT2,fome,1052,1,0,0
32,1,AT2,fome,1052,2,0,0
33,1,AT2,fome,1052,3,0,0
34,1,AT2,fome,1052,4,1,0.267
36,1,AT2,fome,2104,1,1,0.261
37,1,AT2,fome,2104,2,0,0
38,1,AT2,fome,2104,3,0,0
39,1,AT2,fome,2104,4,0,0
41,1,AT8-EDGE,fome,0,1,1,1.199
42,1,AT8-EDGE,fome,0,2,1,1.284
43,1,AT8-EDGE,fome,0,3,1,1.655
44,1,AT8-EDGE,fome,0,4,1,2.069
46,1,AT8-EDGE,fome,33,1,0,0
47,1,AT8-EDGE,fome,33,2,0,0
48,1,AT8-EDGE,fome,33,3,0,0
49,1,AT8-EDGE,fome,33,4,0,0
51,1,AT8-EDGE,fome,66,1,0,0
52,1,AT8-EDGE,fome,66,2,0,0
53,1,AT8-EDGE,fome,66,3,0,0
54,1,AT8-EDGE,fome,66,4,0,0
56,1,AT8-EDGE,fome,132,1,0,0
57,1,AT8-EDGE,fome,132,2,0,0
58,1,AT8-EDGE,fome,132,3,0,0
59,1,AT8-EDGE,fome,132,4,0,0
61,1,AT8-EDGE,fome,263,1,0,0
62,1,AT8-EDGE,fome,263,2,0,0
63,1,AT8-EDGE,fome,263,3,0,0
64,1,AT8-EDGE,fome,263,4,0,0
66,1,AT8-EDGE,fome,526,1,0,0
67,1,AT8-EDGE,fome,526,2,0,0
68,1,AT8-EDGE,fome,526,3,0,0
69,1,AT8-EDGE,fome,526,4,0,0
71,1,AT8-EDGE,fome,1052,1,0,0
72,1,AT8-EDGE,fome,1052,2,0,0
73,1,AT8-EDGE,fome,1052,3,0,0
74,1,AT8-EDGE,fome,1052,4,0,0
76,1,AT8-EDGE,fome,2104,1,0,0
77,1,AT8-EDGE,fome,2104,2,0,0
78,1,AT8-EDGE,fome,2104,3,0,0
79,1,AT8-EDGE,fome,2104,4,0,0
81,1,AT2,fome,4,1,1,1.405
82,1,AT2,fome,4,2,1,1.113
83,1,AT2,fome,4,3,1,1.252
84,1,AT2,fome,4,4,1,1.052
85,1,AT2,fome,8,1,1,1.008
86,1,AT2,fome,8,2,1,1.244
87,1,AT2,fome,8,3,1,1.221
88,1,AT2,fome,8,4,1,1.514
89,1,AT2,fome,16,1,0,0
90,1,AT2,fome,16,2,1,1.111
91,1,AT2,fome,16,3,1,1.385
92,1,AT2,fome,16,4,0,0
93,1,AT2,fome,4208,1,0,0
94,1,AT2,fome,4208,2,0,0
95,1,AT2,fome,4208,3,0,0
96,1,AT2,fome,4208,4,0,0
97,1,AT8-EDGE,fome,4,1,1,1.681
98,1,AT8-EDGE,fome,4,2,1,1.026
99,1,AT8-EDGE,fome,4,3,1,1.398
100,1,AT8-EDGE,fome,4,4,1,1.356
101,1,AT8-EDGE,fome,8,1,1,0.804
102,1,AT8-EDGE,fome,8,2,1,0.65
103,1,AT8-EDGE,fome,8,3,1,1.091
104,1,AT8-EDGE,fome,8,4,1,0.68
105,1,AT8-EDGE,fome,16,1,0,0
106,1,AT8-EDGE,fome,16,2,0,0
107,1,AT8-EDGE,fome,16,3,0,0
108,1,AT8-EDGE,fome,16,4,1,0.145
109,1,AT8-EDGE,fome,4208,1,0,0
110,1,AT8-EDGE,fome,4208,2,0,0
111,1,AT8-EDGE,fome,4208,3,0,0
112,1,AT8-EDGE,fome,4208,4,0,0
1,2,AT2,fome,0,1,1,0.87
2,2,AT2,fome,0,2,1,0.996
3,2,AT2,fome,0,3,1,1.273
6,2,AT2,fome,33,1,1,0.791
7,2,AT2,fome,33,2,1,0.298
8,2,AT2,fome,33,3,1,0.536
11,2,AT2,fome,66,1,1,0.42
12,2,AT2,fome,66,2,0,0
13,2,AT2,fome,66,3,1,0.665
16,2,AT2,fome,132,1,1,0.329
17,2,AT2,fome,132,2,1,0.547
18,2,AT2,fome,132,3,1,0.531
21,2,AT2,fome,263,1,1,0.982
22,2,AT2,fome,263,2,0,0
23,2,AT2,fome,263,3,0,0
26,2,AT2,fome,526,1,1,0.445
27,2,AT2,fome,526,2,1,0.105
28,2,AT2,fome,526,3,1,0.131
31,2,AT2,fome,1052,1,1,0.412
32,2,AT2,fome,1052,2,1,0.222
33,2,AT2,fome,1052,3,0,0
36,2,AT2,fome,2104,1,0,0
37,2,AT2,fome,2104,2,0,0
38,2,AT2,fome,2104,3,0,0
41,2,AT8-EDGE,fome,0,1,1,1.041
42,2,AT8-EDGE,fome,0,2,1,1.056
43,2,AT8-EDGE,fome,0,3,1,1.676
46,2,AT8-EDGE,fome,33,1,0,0
47,2,AT8-EDGE,fome,33,2,0,0
48,2,AT8-EDGE,fome,33,3,0,0
51,2,AT8-EDGE,fome,66,1,0,0
52,2,AT8-EDGE,fome,66,2,0,0
53,2,AT8-EDGE,fome,66,3,0,0
56,2,AT8-EDGE,fome,132,1,0,0
57,2,AT8-EDGE,fome,132,2,0,0
58,2,AT8-EDGE,fome,132,3,0,0
61,2,AT8-EDGE,fome,263,1,0,0
62,2,AT8-EDGE,fome,263,2,0,0
63,2,AT8-EDGE,fome,263,3,0,0
66,2,AT8-EDGE,fome,526,1,0,0
67,2,AT8-EDGE,fome,526,2,0,0
68,2,AT8-EDGE,fome,526,3,0,0
81,2,AT2,fome,4,1,1,1.334
82,2,AT2,fome,4,2,1,1.041
83,2,AT2,fome,4,3,1,1.083
85,2,AT2,fome,8,1,1,0.895
86,2,AT2,fome,8,2,1,1.277
87,2,AT2,fome,8,3,1,0.934
89,2,AT2,fome,16,1,1,0.818
90,2,AT2,fome,16,2,1,1.262
91,2,AT2,fome,16,3,1,0.638
93,2,AT2,fome,4208,1,0,0
94,2,AT2,fome,4208,2,0,0
95,2,AT2,fome,4208,3,0,0
97,2,AT8-EDGE,fome,4,1,1,0.482
98,2,AT8-EDGE,fome,4,2,1,0.647
99,2,AT8-EDGE,fome,4,3,1,1.208
101,2,AT8-EDGE,fome,8,1,1,0.488
102,2,AT8-EDGE,fome,8,2,1,0.189
103,2,AT8-EDGE,fome,8,3,1,0.566
105,2,AT8-EDGE,fome,16,1,1,0.416
106,2,AT8-EDGE,fome,16,2,0,0
107,2,AT8-EDGE,fome,16,3,0,0
