UnitID	Bio	Herb	Dos.No	Dos.L.ha	Dos.a.i.ha	Rep	Dead.No	FW	DW	RelFW	RelDW
58	1	4	0	0	0	1	0	39.52	4.88	120.255604	123.4401349
55	1	4	0	0	0	2	0	40.41	4.77	122.9637894	120.6576728
65	1	4	0	0	0	3	0	18.66	2.21	56.78060655	55.90219224
63	1	4	1	0.0125	1.25	1	0	39.92	4.41	121.472766	111.5514334
57	1	4	1	0.0125	1.25	2	0	43.52	5.18	132.4272239	131.0286678
61	1	4	1	0.0125	1.25	3	0	37.58	4.5	114.3523684	113.8279933
70	1	4	2	0.025	2.5	1	0	45.44	5.5	138.2696014	139.1231029
67	1	4	2	0.025	2.5	2	0	42.68	4.9	129.8711837	123.9460371
56	1	4	2	0.025	2.5	3	0	30.65	3.63	93.26503702	91.82124789
64	1	4	3	0.05	5	1	1	35.08	4.16	106.745106	105.227656
69	1	4	3	0.05	5	2	0	46.13	5.67	140.3692058	143.4232715
59	1	4	3	0.05	5	3	0	29.95	3.44	91.13500355	87.01517707
62	1	4	4	0.09	9	1	0	20.77	2.62	63.20113602	66.27318718
68	1	4	4	0.09	9	2	1	14.07	1.69	42.81367279	42.74873524
66	1	4	4	0.09	9	3	2	10.05	1.29	30.58119485	32.6306914
72	1	4	5	0.19	19	1	2	19.57	2.5	59.54965007	63.23777403
60	1	4	5	0.19	19	2	4	4.01	0.65	12.20204889	16.44182125
71	1	4	5	0.19	19	3	6	0.4316	0.2918	1.313317781	7.381112985
133	2	4	0	0	0	1	0	26.04	3.34	83.12406895	81.66259169
144	2	4	0	0	0	2	0	48.16	6.31	153.7348372	154.2787286
138	2	4	0	0	0	3	0	19.78	2.62	63.14109385	64.05867971
139	2	4	1	0.025	2.5	1	1	19.52	2.57	62.31113003	62.83618582
128	2	4	1	0.025	2.5	2	0	17.63	2.1	56.27793147	51.34474328
140	2	4	1	0.025	2.5	3	0	44.18	5.3	141.0300064	129.5843521
127	2	4	2	0.05	5	1	0	16.77	1.98	53.53266652	48.41075795
136	2	4	2	0.05	5	2	0	21.67	2.69	69.1742924	65.77017115
132	2	4	2	0.05	5	3	0	19.47	2.62	62.1515216	64.05867971
135	2	4	3	0.09	9	1	2	16.05	2.09	51.23430517	51.1002445
134	2	4	3	0.09	9	2	2	13.02	1.78	41.56203448	43.5207824
129	2	4	3	0.09	9	3	1	13.4	1.67	42.77505852	40.83129584
143	2	4	4	0.19	19	1	5	0.97	0.3264	3.09640349	7.980440098
142	2	4	4	0.19	19	2	6	0.2037	0.1374	0.650244733	3.359413203
137	2	4	4	0.19	19	3	6	0.6099	0.3606	1.946903597	8.816625917
131	2	4	5	0.38	38	1	6	0.5864	0.3453	1.871887636	8.442542787
130	2	4	5	0.38	38	2	6	0.247	0.19	0.788465631	4.645476773
141	2	4	5	0.38	38	3	6	0.6081	0.4102	1.941157693	10.02933985
211	3	4	0	0	0	1	0	38.79	4.52	100.4315181	100.0738007
199	3	4	0	0	0	2	0	32.5	3.8	84.14602572	84.13284133
203	3	4	0	0	0	3	0	44.58	5.23	115.4224562	115.7933579
201	3	4	1	0.0125	1.25	1	0	38.21	4.45	98.92983516	98.52398524
214	3	4	1	0.0125	1.25	2	0	43.72	5.31	113.1958229	117.5645756
200	3	4	1	0.0125	1.25	3	0	31.73	3.37	82.15241219	74.61254613
215	3	4	2	0.025	2.5	1	0	29.47	3.33	76.30102701	73.72693727
212	3	4	2	0.025	2.5	2	0	38.07	4.61	98.56735997	102.0664207
216	3	4	2	0.025	2.5	3	0	29.18	3.2	75.55018555	70.84870849
210	3	4	3	0.05	5	1	0	28.63	3.35	74.12617589	74.1697417
207	3	4	3	0.05	5	2	0	38.27	4.1	99.08518167	90.77490775
204	3	4	3	0.05	5	3	0	16.06	1.9	41.58108225	42.06642066
202	3	4	4	0.09	9	1	0	35.06	3.9	90.77414344	86.34686347
208	3	4	4	0.09	9	2	0	18.62	2.21	48.20919997	48.9298893
206	3	4	4	0.09	9	3	4	7.01	0.95	18.14965047	21.03321033
209	3	4	5	0.19	19	1	1	8.72	1.2	22.57702598	26.56826568
213	3	4	5	0.19	19	2	5	2.13	0.51	5.51480107	11.29151292
205	3	4	5	0.19	19	3	5	1.44	0.35	3.728316216	7.749077491
344	5	4	0	0	0	1	0	28.72	3.31	77.2735426	74.54954955
360	5	4	0	0	0	2	0	39.23	4.68	105.5515695	105.4054054
353	5	4	0	0	0	3	0	43.55	5.33	117.1748879	120.045045
347	5	4	1	0.025	2.5	1	0	37.46	4.38	100.7892377	98.64864865
350	5	4	1	0.025	2.5	2	0	48.88	5.64	131.5156951	127.027027
357	5	4	1	0.025	2.5	3	0	42.98	4.95	115.6412556	111.4864865
346	5	4	2	0.05	5	1	0	27.98	3.3	75.28251121	74.32432432
356	5	4	2	0.05	5	2	0	27.72	3.39	74.58295964	76.35135135
349	5	4	2	0.05	5	3	0	29.6	3.57	79.64125561	80.40540541
351	5	4	3	0.09	9	1	0	21.47	2.49	57.76681614	56.08108108
359	5	4	3	0.09	9	2	1	15.79	1.95	42.48430493	43.91891892
358	5	4	3	0.09	9	3	1	24.74	3.1	66.56502242	69.81981982
355	5	4	4	0.19	19	1	1	8.77	1.16	23.59641256	26.12612613
343	5	4	4	0.19	19	2	4	2.18	0.38	5.865470852	8.558558559
348	5	4	4	0.19	19	3	4	2.24	0.45	6.02690583	10.13513514
352	5	4	5	0.38	38	1	4	2.15	0.48	5.784753363	10.81081081
354	5	4	5	0.38	38	2	6	0.3251	0.2654	0.87470852	5.977477477
345	5	4	5	0.38	38	3	6	0.2719	0.2338	0.731569507	5.265765766
487	7	4	0	0	0	1	0	51.94	6.22	108.4266926	110.4795737
489	7	4	0	0	0	2	0	43.38	5.01	90.55737249	88.98756661
499	7	4	0	0	0	3	0	48.39	5.66	101.0159349	100.5328597
500	7	4	1	0.0125	1.25	1	0	54.66	6.93	114.1047944	123.0905861
495	7	4	1	0.0125	1.25	2	0	42.08	5.2	87.84357386	92.36234458
498	7	4	1	0.0125	1.25	3	0	39.98	4.66	83.45974532	82.77087034
497	7	4	2	0.025	2.5	1	0	29.18	3.59	60.91434138	63.76554174
494	7	4	2	0.025	2.5	2	0	43.25	5.18	90.28599262	92.0071048
491	7	4	2	0.025	2.5	3	0	26.3	3.26	54.90223367	57.90408526
493	7	4	3	0.05	5	1	0	34.45	4.1	71.91566349	72.82415631
492	7	4	3	0.05	5	2	0	42.44	4.99	88.59508733	88.63232682
488	7	4	3	0.05	5	3	0	29.93	3.57	62.47999443	63.41030195
501	7	4	4	0.09	9	1	0	39.4	4.52	82.24897363	80.28419183
490	7	4	4	0.09	9	2	0	18.59	2.05	38.8073203	36.41207815
496	7	4	4	0.09	9	3	0	26.76	3.01	55.86250087	53.46358792
502	7	4	5	0.19	19	1	1	17.2	2.12	35.90564331	37.65541741
504	7	4	5	0.19	19	2	5	2.78	0.6	5.803353977	10.65719361
503	7	4	5	0.19	19	3	3	16.95	2.39	35.38375896	42.45115453
563	8	4	0	0	0	1	0	27.43	3.83	82.55417335	91.11816019
562	8	4	0	0	0	2	0	32.87	3.92	98.92656501	93.259318
571	8	4	0	0	0	3	0	39.38	4.86	118.5192616	115.6225218
566	8	4	1	0.0125	1.25	1	0	22.58	2.79	67.95746388	66.37589215
572	8	4	1	0.0125	1.25	2	0	22.87	2.9	68.83025682	68.99286281
574	8	4	1	0.0125	1.25	3	0	35.27	4.7	106.149679	111.816019
567	8	4	2	0.025	2.5	1	0	23.19	2.79	69.79333868	66.37589215
559	8	4	2	0.025	2.5	2	0	21.27	2.66	64.01484751	63.28310864
575	8	4	2	0.025	2.5	3	0	39.06	4.81	117.5561798	114.4329897
570	8	4	3	0.05	5	1	0	27.44	3.43	82.58426966	81.60190325
560	8	4	3	0.05	5	2	0	21.74	2.74	65.429374	65.18636003
576	8	4	3	0.05	5	3	0	21.38	2.53	64.3459069	60.19032514
565	8	4	4	0.09	9	1	0	39.94	NA	120.2046549	NA
569	8	4	4	0.09	9	2	0	19.51	2.36	58.71789727	56.14591594
573	8	4	4	0.09	9	3	0	15.49	2.11	46.61918138	50.19825535
561	8	4	5	0.19	19	1	2	10.58	1.35	31.84189406	32.11736717
564	8	4	5	0.19	19	2	5	1.06	0.35	3.190208668	8.326724822
568	8	4	5	0.19	19	3	5	2.86	0.64	8.607544141	15.2260111
635	9	4	0	0	0	1	0	21.98	2.56	70.00743179	68.32740214
634	9	4	0	0	0	2	0	40.83	4.94	130.0456524	131.8505338
643	9	4	0	0	0	3	0	31.38	3.74	99.94691581	99.82206406
632	9	4	1	0.025	2.5	1	0	38.53	4.49	122.720034	119.8398577
631	9	4	1	0.025	2.5	2	0	31.59	3.91	100.6157766	104.3594306
636	9	4	1	0.025	2.5	3	0	34.56	3.89	110.0753796	103.8256228
641	9	4	2	0.05	5	1	0	32.22	3.98	102.6223591	106.227758
647	9	4	2	0.05	5	2	0	38.33	4.98	122.0830237	132.9181495
637	9	4	2	0.05	5	3	0	38.59	4.6	122.9111371	122.7758007
642	9	4	3	0.09	9	1	0	28.4	3.6	90.45546236	96.08540925
648	9	4	3	0.09	9	2	1	25.02	3.48	79.68998832	92.88256228
640	9	4	3	0.09	9	3	1	23.29	2.71	74.17984924	72.33096085
646	9	4	4	0.19	19	1	1	9.39	1.45	29.90763351	38.70106762
633	9	4	4	0.19	19	2	5	1.27	0.39	4.045015394	10.40925267
638	9	4	4	0.19	19	3	2	7.17	1.07	22.8368192	28.55871886
644	9	4	5	0.38	38	1	5	1.13	0.28	3.599108186	7.473309609
645	9	4	5	0.38	38	2	6	0.236	0.232	0.751672152	6.192170819
639	9	4	5	0.38	38	3	5	0.66	0.28	2.102133984	7.473309609
705	10	4	0	0	0	1	0	18.22	2.24	94.6985447	91.55313351
714	10	4	0	0	0	2	0	24.35	3.03	126.5592516	123.8419619
717	10	4	0	0	0	3	0	15.15	2.07	78.74220374	84.60490463
712	10	4	1	0.0125	1.25	1	0	24.98	3.53	129.8336798	144.2779292
703	10	4	1	0.0125	1.25	2	0	19.44	2.8	101.039501	114.4414169
710	10	4	1	0.0125	1.25	3	0	15.34	2.1	79.72972973	85.83106267
709	10	4	2	0.025	2.5	1	?	26.45	3.35	137.4740125	136.9209809
720	10	4	2	0.025	2.5	2	0	15.47	1.99	80.40540541	81.33514986
719	10	4	2	0.025	2.5	3	0	15.54	1.86	80.76923077	76.02179837
706	10	4	3	0.05	5	1	0	31.56	NA	164.033264	NA
715	10	4	3	0.05	5	2	0	15.53	2.1	80.71725572	85.83106267
718	10	4	3	0.05	5	3	0	13.07	1.82	67.93139293	74.38692098
707	10	4	4	0.09	9	1	0	16.16	1.86	83.99168399	76.02179837
704	10	4	4	0.09	9	2	?	NA	NA	NA	NA
716	10	4	4	0.09	9	3	0	17.24	2.17	89.6049896	88.69209809
711	10	4	5	0.19	19	1	0	10.06	1.4	52.28690229	57.22070845
708	10	4	5	0.19	19	2	2	2.83	0.48	14.70893971	19.61852861
713	10	4	5	0.19	19	3	3	0.1016	0.1069	0.528066528	4.369209809
