Dose	Rep	Biotype	Response
0	1	A	76.06
0	2	A	77.33
0	3	A	71.61
2	1	A	60
2	2	A	59.88
2	3	A	65.06
4	1	A	48
4	2	A	30.93
4	3	A	22.58
8	1	A	12
8	2	A	14.06
8	3	A	10.69
16	1	A	8.73
16	2	A	10.15
16	3	A	11.11
0	1	B	77.75
0	2	B	71.8
0	3	B	75.44
10	1	B	73
10	2	B	54.33
10	3	B	61.88
20	1	B	38.02
20	2	B	25.11
20	3	B	14
40	1	B	11.4
40	2	B	7.2
40	3	B	15.24
80	1	B	10.06
80	2	B	11.16
80	3	B	8.77
0	1	C	73.5
0	2	C	73.05
0	3	C	78.45
135	1	C	61.76
135	2	C	54.36
135	3	C	48
260	1	C	35.91
260	2	C	20
260	3	C	22.26
550	1	C	11.7
550	2	C	8
550	3	C	15.3
1200	1	C	11.16
1200	2	C	8.76
1200	3	C	10.07
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
