pop,herb,rate,rep,count,biomass
A92,fome,0,1,10,0.13
A92,fome,0,2,16,0.524
A92,fome,0,3,0,0
A92,fome,0,4,0,0
A92,fome,33,1,22,0.829
A92,fome,33,2,0,0
A92,fome,33,3,13,0.324
A92,fome,33,4,0,0
A92,fome,66,1,5,0.053
A92,fome,66,2,0,0
A92,fome,66,3,15,0.975
A92,fome,66,4,15,0.142
A92,fome,132,1,13,0.08
A92,fome,132,2,0,0
A92,fome,132,3,1,0.01
A92,fome,132,4,11,0.602
A92,fome,263,1,20,0.582
A92,fome,263,2,0,0
A92,fome,263,3,0,0
A92,fome,263,4,0,0
A92,fome,526,1,0,0
A92,fome,526,2,0,0
A92,fome,526,3,0,0
A92,fome,526,4,0,0
A92,fome,1052,1,3,0.061
A92,fome,1052,2,0,0
A92,fome,1052,3,0,0
A92,fome,1052,4,0,0
A92,fome,2104,1,0,0
A92,fome,2104,2,0,0
A92,fome,2104,3,0,0
A92,fome,2104,4,0,0
A66,fome,0,1,13,0.123
A66,fome,0,2,13,0.123
A66,fome,0,3,13,0.123
A66,fome,0,4,13,0.123
A66,fome,33,1,1,0.006
A66,fome,33,2,1,0.006
A66,fome,33,3,1,0.006
A66,fome,33,4,1,0.006
A66,fome,66,1,1,0.008
A66,fome,66,2,1,0.008
A66,fome,66,3,1,0.008
A66,fome,66,4,1,0.008
A66,fome,132,1,0,0
A66,fome,132,2,0,0
A66,fome,132,3,0,0
A66,fome,132,4,0,0
A66,fome,263,1,0,0
A66,fome,263,2,0,0
A66,fome,263,3,0,0
A66,fome,263,4,0,0
A66,fome,526,1,0,0
A66,fome,526,2,0,0
A66,fome,526,3,0,0
A66,fome,526,4,0,0
A66,fome,1052,1,0,0
A66,fome,1052,2,0,0
A66,fome,1052,3,0,0
A66,fome,1052,4,0,0
A66,fome,2104,1,0,0
A66,fome,2104,2,0,0
A66,fome,2104,3,0,0
A66,fome,2104,4,0,0
A92,fome,0,1,6,0.016
A92,fome,0,2,5,0.103
A92,fome,0,3,26,0.304
A92,fome,0,4,13,0.227
A92,fome,33,1,18,0.266
A92,fome,33,2,12,0.238
A92,fome,33,3,14,0.308
A92,fome,33,4,36,0.822
A92,fome,66,1,1,0.014
A92,fome,66,2,0,0
A92,fome,66,3,1,0.005
A92,fome,66,4,40,0.441
A92,fome,132,1,4,0.005
A92,fome,132,2,0,0
A92,fome,132,3,0,0
A92,fome,132,4,17,0.22
A92,fome,263,1,0,0
A92,fome,263,2,0,0
A92,fome,263,3,0,0
A92,fome,263,4,0,0
A92,fome,526,1,0,0
A92,fome,526,2,0,0
A92,fome,526,3,0,0
A92,fome,526,4,0,0
A92,fome,1052,1,0,0
A92,fome,1052,2,0,0
A92,fome,1052,3,0,0
A92,fome,1052,4,0,0
A92,fome,2104,1,0,0
A92,fome,2104,2,2,0.014
A92,fome,2104,3,0,0
A92,fome,2104,4,0,0
A66,fome,0,1,16,0.142
A66,fome,0,2,16,0.142
A66,fome,0,3,16,0.142
A66,fome,0,4,16,0.142
A66,fome,33,1,4,0.018
A66,fome,33,2,4,0.018
A66,fome,33,3,4,0.018
A66,fome,33,4,4,0.018
A66,fome,66,1,1,0.008
A66,fome,66,2,1,0.008
A66,fome,66,3,1,0.008
A66,fome,66,4,1,0.008
A66,fome,132,1,0,0
A66,fome,132,2,0,0
A66,fome,132,3,0,0
A66,fome,132,4,0,0
A66,fome,263,1,0,0
A66,fome,263,2,0,0
A66,fome,263,3,0,0
A66,fome,263,4,0,0
A66,fome,526,1,0,0
A66,fome,526,2,0,0
A66,fome,526,3,0,0
A66,fome,526,4,0,0
A66,fome,1052,1,0,0
A66,fome,1052,2,0,0
A66,fome,1052,3,0,0
A66,fome,1052,4,0,0
A66,fome,2104,1,0,0
A66,fome,2104,2,0,0
A66,fome,2104,3,0,0
A66,fome,2104,4,0,0
