id,run,pop,herb,dose,rate,rep,surv,biomass,percentbio,biored
1,1,A92,lac,0x,0,1,1,2.482,1.00,0.00
2,1,A92,lac,0x,0,2,,,1.00,0.00
3,1,A92,lac,0x,0,3,1,2.284,1.00,0.00
4,1,A92,lac,0x,0,4,1,2.684,1.00,0.00
49,1,A92,lac,0.015x,3,1,1,4.123,1.00,0.00
50,1,A92,lac,0.015x,3,2,1,2.633,1.00,0.00
51,1,A92,lac,0.015x,3,3,1,4.778,1.00,0.00
52,1,A92,lac,0.015x,3,4,1,1.224,0.49,0.51
53,1,A92,lac,0.031x,7,1,1,2.488,1.00,0.00
54,1,A92,lac,0.031x,7,2,1,1.719,0.69,0.31
55,1,A92,lac,0.031x,7,3,1,1.749,0.70,0.30
56,1,A92,lac,0.031x,7,4,1,3.305,1.00,0.00
57,1,A92,lac,0.062x,14,1,1,1.325,0.53,0.47
58,1,A92,lac,0.062x,14,2,1,2.991,1.00,0.00
59,1,A92,lac,0.062x,14,3,1,3.475,1.00,0.00
60,1,A92,lac,0.062x,14,4,1,3.498,1.00,0.00
61,1,A92,lac,0.125x,27,1,1,1.313,0.53,0.47
62,1,A92,lac,0.125x,27,2,1,0.348,0.14,0.86
63,1,A92,lac,0.125x,27,3,0,0,0.00,1.00
64,1,A92,lac,0.125x,27,4,1,3.386,1.00,0.00
65,1,A92,lac,0.25x,55,1,1,2.81,1.00,0.00
66,1,A92,lac,0.25x,55,2,1,1.794,0.72,0.28
67,1,A92,lac,0.25x,55,3,1,2.195,0.88,0.12
68,1,A92,lac,0.25x,55,4,1,3.211,1.00,0.00
69,1,A92,lac,0.5x,110,1,1,1.505,0.61,0.39
70,1,A92,lac,0.5x,110,2,1,0.043,0.02,0.98
71,1,A92,lac,0.5x,110,3,1,0.413,0.17,0.83
72,1,A92,lac,0.5x,110,4,1,1.505,0.61,0.39
73,1,A92,lac,1x,219,1,0,0,0.00,1.00
74,1,A92,lac,1x,219,2,1,0.231,0.09,0.91
75,1,A92,lac,1x,219,3,1,0.22,0.09,0.91
76,1,A92,lac,1x,219,4,0,0,0.00,1.00
77,1,A92,lac,2x,438,1,1,0.182,0.07,0.93
78,1,A92,lac,2x,438,2,0,0,0.00,1.00
79,1,A92,lac,2x,438,3,1,0.068,0.03,0.97
80,1,A92,lac,2x,438,4,0,0,0.00,1.00
81,1,A92,lac,4x,876,1,1,0.129,0.05,0.95
82,1,A92,lac,4x,876,2,0,0,0.00,1.00
83,1,A92,lac,4x,876,3,1,0.09,0.04,0.96
84,1,A92,lac,4x,876,4,0,0,0.00,1.00
85,1,A92,lac,8x,1752,1,0,0,0.00,1.00
86,1,A92,lac,8x,1752,2,0,0,0.00,1.00
87,1,A92,lac,8x,1752,3,0,0,0.00,1.00
88,1,A92,lac,8x,1752,4,0,0,0.00,1.00
89,1,A92,lac,16x,3504,1,0,0,0.00,1.00
90,1,A92,lac,16x,3504,2,0,0,0.00,1.00
91,1,A92,lac,16x,3504,3,0,0,0.00,1.00
92,1,A92,lac,16x,3504,4,0,0,0.00,1.00
93,1,A82,lac,0x,0,1,1,3.588,1.00,0.00
94,1,A82,lac,0x,0,2,1,3.558,1.00,0.00
95,1,A82,lac,0x,0,3,1,3.848,1.00,0.00
96,1,A82,lac,0x,0,4,1,3.241,1.00,0.00
141,1,A82,lac,0.015x,3,1,1,0.373,0.10,0.90
142,1,A82,lac,0.015x,3,2,1,3.63,1.00,0.00
143,1,A82,lac,0.015x,3,3,1,2.894,0.81,0.19
144,1,A82,lac,0.015x,3,4,1,0.686,0.19,0.81
145,1,A82,lac,0.031x,7,1,1,1.129,0.32,0.68
146,1,A82,lac,0.031x,7,2,1,1.788,0.50,0.50
147,1,A82,lac,0.031x,7,3,1,1.648,0.46,0.54
148,1,A82,lac,0.031x,7,4,1,1.117,0.31,0.69
149,1,A82,lac,0.062x,14,1,1,0.158,0.04,0.96
150,1,A82,lac,0.062x,14,2,1,0.122,0.03,0.97
151,1,A82,lac,0.062x,14,3,1,1.006,0.28,0.72
152,1,A82,lac,0.062x,14,4,1,0.588,0.17,0.83
153,1,A82,lac,0.125x,27,1,0,0,0.00,1.00
154,1,A82,lac,0.125x,27,2,0,0,0.00,1.00
155,1,A82,lac,0.125x,27,3,0,0,0.00,1.00
156,1,A82,lac,0.125x,27,4,1,0.208,0.06,0.94
157,1,A82,lac,0.25x,55,1,0,0,0.00,1.00
158,1,A82,lac,0.25x,55,2,0,0,0.00,1.00
159,1,A82,lac,0.25x,55,3,0,0,0.00,1.00
160,1,A82,lac,0.25x,55,4,0,0,0.00,1.00
161,1,A82,lac,0.5x,110,1,0,0,0.00,1.00
162,1,A82,lac,0.5x,110,2,0,0,0.00,1.00
163,1,A82,lac,0.5x,110,3,0,0,0.00,1.00
164,1,A82,lac,0.5x,110,4,0,0,0.00,1.00
165,1,A82,lac,1x,219,1,0,0,0.00,1.00
166,1,A82,lac,1x,219,2,0,0,0.00,1.00
167,1,A82,lac,1x,219,3,0,0,0.00,1.00
168,1,A82,lac,1x,219,4,0,0,0.00,1.00
