id,run,pop,herb,dose,rate,rep,count,biomass,countred,biored
1,1,A92,,0x,0,1,19,2.361,,
2,1,A92,,0x,0,2,38,1.854,,
3,1,A92,,0x,0,3,47,1.334,,
4,1,A92,,0x,0,4,46,2.386,,
25,1,A92,sulf,0.5x,140,1,31,0.433,0.173333333,0.781726528
26,1,A92,sulf,0.5x,140,2,8,0.221,0.786666667,0.888594833
27,1,A92,sulf,0.5x,140,3,6,0.033,0.84,0.983364839
28,1,A92,sulf,0.5x,140,4,28,0.463,0.253333333,0.766603655
29,1,A92,sulf,1x,280,1,15,0.478,0.6,0.759042218
30,1,A92,sulf,1x,280,2,2,0.004,0.946666667,0.997983617
31,1,A92,sulf,1x,280,3,0,0,0.9999,0.9999
32,1,A92,sulf,1x,280,4,0,0,0.9999,0.9999
65,1,A92,fome,0.5x,132,1,10,0.217,0.733333333,0.890611216
66,1,A92,fome,0.5x,132,2,5,0.026,0.866666667,0.98689351
67,1,A92,fome,0.5x,132,3,14,0.142,0.626666667,0.928418399
68,1,A92,fome,0.5x,132,4,17,1.37,0.546666667,0.309388784
69,1,A92,fome,1x,263,1,8,0.201,0.786666667,0.898676749
70,1,A92,fome,1x,263,2,3,0.038,0.92,0.98084436
71,1,A92,fome,1x,263,3,1,0.001,0.973333333,0.999495904
72,1,A92,fome,1x,263,4,6,0.15,0.84,0.924385633
105,1,A92,flumi,0.5x,53,1,15,0.407,0.6,0.794833018
106,1,A92,flumi,0.5x,53,2,1,0.061,0.973333333,0.969250158
107,1,A92,flumi,0.5x,53,3,1,0.007,0.973333333,0.99647133
108,1,A92,flumi,0.5x,53,4,0,0,0.9999,0.9999
109,1,A92,flumi,1x,106,1,0,0,0.9999,0.9999
110,1,A92,flumi,1x,106,2,0,0,0.9999,0.9999
111,1,A92,flumi,1x,106,3,0,0,0.9999,0.9999
112,1,A92,flumi,1x,106,4,1,0.002,0.973333333,0.998991808
125,1,A66,,0x,0,1,26,0.937,,
126,1,A66,,0x,0,2,2,0.079,,
127,1,A66,,0x,0,3,2,0.044,,
149,1,A66,sulf,0.5x,140,1,0,0,0.9999,0.9999
