id,run,pop,herb,dose,rate,rep,count,biomass,percentcount,percentbio,countred,biored
1,1,A92,flumi,0x,0,1,19,2.361,100,100,0,0
2,1,A92,flumi,0x,0,2,38,1.854,100,100,0,0
3,1,A92,flumi,0x,0,3,47,1.334,100,100,0,0
4,1,A92,flumi,0x,0,4,46,2.386,100,100,0,0
85,1,A92,flumi,0.015x,2,1,9,0.631,24,31.81,76,68.19
86,1,A92,flumi,0.015x,2,2,8,0.098,21.33,4.94,78.67,95.06
87,1,A92,flumi,0.015x,2,3,12,0.284,32,14.32,68,85.68
88,1,A92,flumi,0.015x,2,4,41,1.796,100,90.54,0,9.46
89,1,A92,flumi,0.031x,3,1,25,1.249,66.67,62.96,33.33,37.04
90,1,A92,flumi,0.031x,3,2,11,0.222,29.33,11.19,70.67,88.81
91,1,A92,flumi,0.031x,3,3,13,0.892,34.67,44.97,65.33,55.03
92,1,A92,flumi,0.031x,3,4,29,1.797,77.33,90.59,22.67,9.41
93,1,A92,flumi,0.062x,7,1,18,1.173,48,59.13,52,40.87
94,1,A92,flumi,0.062x,7,2,6,0.387,16,19.51,84,80.49
95,1,A92,flumi,0.062x,7,3,25,1.845,66.67,93.01,33.33,6.99
96,1,A92,flumi,0.062x,7,4,23,1.6,61.33,80.66,38.67,19.34
97,1,A92,flumi,0.125x,13,1,17,0.96,45.33,48.39,54.67,51.61
98,1,A92,flumi,0.125x,13,2,26,1.005,69.33,50.66,30.67,49.34
99,1,A92,flumi,0.125x,13,3,7,0.325,18.67,16.38,81.33,83.62
100,1,A92,flumi,0.125x,13,4,25,1.179,66.67,59.43,33.33,40.57
101,1,A92,flumi,0.25x,27,1,15,0.748,40,37.71,60,62.29
102,1,A92,flumi,0.25x,27,2,4,0.173,10.67,8.72,89.33,91.28
103,1,A92,flumi,0.25x,27,3,3,0.023,8,1.16,92,98.84
104,1,A92,flumi,0.25x,27,4,1,0.003,2.67,0.15,97.33,99.85
105,1,A92,flumi,0.5x,53,1,15,0.407,40,20.52,60,79.48
106,1,A92,flumi,0.5x,53,2,1,0.061,2.67,3.07,97.33,96.93
107,1,A92,flumi,0.5x,53,3,1,0.007,2.67,0.35,97.33,99.65
108,1,A92,flumi,0.5x,53,4,0,0,0,0,100,100
109,1,A92,flumi,1x,106,1,0,0,0,0,100,100
110,1,A92,flumi,1x,106,2,0,0,0,0,100,100
111,1,A92,flumi,1x,106,3,0,0,0,0,100,100
112,1,A92,flumi,1x,106,4,1,0.002,2.67,0.1,97.33,99.9
113,1,A92,flumi,2x,212,1,6,0.153,16,7.71,84,92.29
114,1,A92,flumi,2x,212,2,2,0.003,5.33,0.15,94.67,99.85
115,1,A92,flumi,2x,212,3,0,0,0,0,100,100
116,1,A92,flumi,2x,212,4,0,0,0,0,100,100
117,1,A92,flumi,4x,424,1,0,0,0,0,100,100
118,1,A92,flumi,4x,424,2,0,0,0,0,100,100
119,1,A92,flumi,4x,424,3,0,0,0,0,100,100
120,1,A92,flumi,4x,424,4,0,0,0,0,100,100
121,1,A92,flumi,8x,848,1,0,0,0,0,100,100
122,1,A92,flumi,8x,848,2,0,0,0,0,100,100
123,1,A92,flumi,8x,848,3,0,0,0,0,100,100
124,1,A92,flumi,8x,848,4,0,0,0,0,100,100
125,1,A66,flumi,0x,0,1,26,0.937,100,100,0,0
126,1,A66,flumi,0x,0,2,2,0.079,100,100,0,0
127,1,A66,flumi,0x,0,3,2,0.044,100,100,0,0
209,1,A66,flumi,0.015x,2,1,4,0.005,40,1.42,60,98.58
210,1,A66,flumi,0.015x,2,2,5,0.003,50,0.85,50,99.15
211,1,A66,flumi,0.015x,2,3,16,1.146,100,100,0,0
212,1,A66,flumi,0.015x,2,4,11,0.139,100,39.34,0,60.66
213,1,A66,flumi,0.031x,3,1,5,0.467,50,100,50,0
214,1,A66,flumi,0.031x,3,2,13,0.092,100,26.04,0,73.96
215,1,A66,flumi,0.031x,3,3,1,0.02,10,5.66,90,94.34
216,1,A66,flumi,0.031x,3,4,0,0,0,0,100,100
217,1,A66,flumi,0.062x,7,1,4,0.042,40,11.89,60,88.11
218,1,A66,flumi,0.062x,7,2,1,0.032,10,9.06,90,90.94
219,1,A66,flumi,0.062x,7,3,23,0.321,100,90.85,0,9.15
220,1,A66,flumi,0.062x,7,4,2,0.039,20,11.04,80,88.96
221,1,A66,flumi,0.125x,13,1,6,0.779,60,100,40,0
222,1,A66,flumi,0.125x,13,2,15,1.166,100,100,0,0
223,1,A66,flumi,0.125x,13,3,1,0.003,10,0.85,90,99.15
224,1,A66,flumi,0.125x,13,4,4,0.172,40,48.68,60,51.32
225,1,A66,flumi,0.25x,27,1,0,0,0,0,100,100
226,1,A66,flumi,0.25x,27,2,9,0.912,90,100,10,0
227,1,A66,flumi,0.25x,27,3,5,0.076,50,21.51,50,78.49
228,1,A66,flumi,0.25x,27,4,6,0.049,60,13.87,40,86.13
229,1,A66,flumi,0.5x,53,1,0,0,0,0,100,100
230,1,A66,flumi,0.5x,53,2,0,0,0,0,100,100
231,1,A66,flumi,0.5x,53,3,0,0,0,0,100,100
232,1,A66,flumi,0.5x,53,4,0,0,0,0,100,100
233,1,A66,flumi,1x,106,1,0,0,0,0,100,100
234,1,A66,flumi,1x,106,2,0,0,0,0,100,100
235,1,A66,flumi,1x,106,3,0,0,0,0,100,100
236,1,A66,flumi,1x,106,4,0,0,0,0,100,100
1,2,A92,flumi,0x,0,1,24,2.062,100,100,0,0
2,2,A92,flumi,0x,0,2,12,1.616,100,100,0,0
3,2,A92,flumi,0x,0,3,25,1.125,100,100,0,0
4,2,A92,flumi,0x,0,4,55,2.125,100,100,0,0
85,2,A92,flumi,0.015x,2,1,14,1.028,48.28,59.35,51.72,40.65
86,2,A92,flumi,0.015x,2,2,14,0.416,48.28,24.02,51.72,75.98
87,2,A92,flumi,0.015x,2,3,56,1.369,100,79.04,0,20.96
88,2,A92,flumi,0.015x,2,4,26,0.994,89.66,57.39,10.34,42.61
89,2,A92,flumi,0.031x,3,1,3,0.039,10.34,2.25,89.66,97.75
90,2,A92,flumi,0.031x,3,2,2,0.008,6.9,0.46,93.1,99.54
91,2,A92,flumi,0.031x,3,3,11,0.089,37.93,5.14,62.07,94.86
92,2,A92,flumi,0.031x,3,4,32,1.178,100,68.01,0,31.99
93,2,A92,flumi,0.062x,7,1,23,0.46,79.31,26.56,20.69,73.44
94,2,A92,flumi,0.062x,7,2,1,0.001,3.45,0.06,96.55,99.94
95,2,A92,flumi,0.062x,7,3,1,0.001,3.45,0.06,96.55,99.94
96,2,A92,flumi,0.062x,7,4,11,0.361,37.93,20.84,62.07,79.16
97,2,A92,flumi,0.125x,13,1,29,1.854,100,100,0,0
98,2,A92,flumi,0.125x,13,2,14,0.271,48.28,15.65,51.72,84.35
99,2,A92,flumi,0.125x,13,3,,0.81,,46.77,,53.23
100,2,A92,flumi,0.125x,13,4,21,1.701,72.41,98.21,27.59,1.79
101,2,A92,flumi,0.25x,27,1,19,1.442,65.52,83.26,34.48,16.74
102,2,A92,flumi,0.25x,27,2,4,0.085,13.79,4.91,86.21,95.09
103,2,A92,flumi,0.25x,27,3,0,0,0,0,100,100
104,2,A92,flumi,0.25x,27,4,0,0,0,0,100,100
105,2,A92,flumi,0.5x,53,1,2,0.089,6.9,5.14,93.1,94.86
106,2,A92,flumi,0.5x,53,2,12,0.124,41.38,7.16,58.62,92.84
107,2,A92,flumi,0.5x,53,3,0,0,0,0,100,100
108,2,A92,flumi,0.5x,53,4,0,0,0,0,100,100
109,2,A92,flumi,1x,106,1,0,0,0,0,100,100
110,2,A92,flumi,1x,106,2,4,0.04,13.79,2.31,86.21,97.69
111,2,A92,flumi,1x,106,3,2,0.001,6.9,0.06,93.1,99.94
112,2,A92,flumi,1x,106,4,2,0.011,6.9,0.64,93.1,99.36
113,2,A92,flumi,2x,212,1,1,0.001,3.45,0.06,96.55,99.94
114,2,A92,flumi,2x,212,2,0,0,0,0,100,100
115,2,A92,flumi,2x,212,3,0,0,0,0,100,100
116,2,A92,flumi,2x,212,4,0,0,0,0,100,100
117,2,A92,flumi,4x,424,1,0,0,0,0,100,100
118,2,A92,flumi,4x,424,2,0,0,0,0,100,100
119,2,A92,flumi,4x,424,3,0,0,0,0,100,100
120,2,A92,flumi,4x,424,4,0,0,0,0,100,100
121,2,A92,flumi,8x,848,1,0,0,0,0,100,100
122,2,A92,flumi,8x,848,2,0,0,0,0,100,100
123,2,A92,flumi,8x,848,3,0,0,0,0,100,100
124,2,A92,flumi,8x,848,4,0,0,0,0,100,100
125,2,A66,flumi,0x,0,1,7,0.052,100,100,0,0
126,2,A66,flumi,0x,0,2,25,2.32,100,100,0,0
127,2,A66,flumi,0x,0,3,25,1.686,100,100,0,0
