id,run,pop,herb,dose,rate,rep,count,biomass,percentcount,percentbio,countred,biored
1,1,A92,fome,0x,0,1,19,2.361,1.00,1.00,0.00,0.00
2,1,A92,fome,0x,0,2,38,1.854,1.00,1.00,0.00,0.00
3,1,A92,fome,0x,0,3,47,1.334,1.00,1.00,0.00,0.00
4,1,A92,fome,0x,0,4,46,2.386,1.00,1.00,0.00,0.00
45,1,A92,fome,0.015x,4,1,28,2.195,0.75,1.00,0.25,0.00
46,1,A92,fome,0.015x,4,2,26,0.836,0.69,0.42,0.31,0.58
47,1,A92,fome,0.015x,4,3,46,1.656,1.00,0.83,0.00,0.17
48,1,A92,fome,0.015x,4,4,70,1.906,1.00,0.96,0.00,0.04
49,1,A92,fome,0.031x,8,1,23,0.747,0.61,0.38,0.39,0.62
50,1,A92,fome,0.031x,8,2,27,1.037,0.72,0.52,0.28,0.48
51,1,A92,fome,0.031x,8,3,24,1.522,0.64,0.77,0.36,0.23
52,1,A92,fome,0.031x,8,4,22,1.183,0.59,0.60,0.41,0.40
53,1,A92,fome,0.062x,16,1,12,0.352,0.32,0.18,0.68,0.82
54,1,A92,fome,0.062x,16,2,10,0.355,0.27,0.18,0.73,0.82
55,1,A92,fome,0.062x,16,3,24,0.812,0.64,0.41,0.36,0.59
56,1,A92,fome,0.062x,16,4,23,1.729,0.61,0.87,0.39,0.13
57,1,A92,fome,0.125x,33,1,14,0.769,0.37,0.39,0.63,0.61
58,1,A92,fome,0.125x,33,2,1,0.001,0.03,0.00,0.97,1.00
59,1,A92,fome,0.125x,33,3,31,1.901,0.83,0.96,0.17,0.04
60,1,A92,fome,0.125x,33,4,21,1.15,0.56,0.58,0.44,0.42
61,1,A92,fome,0.25x,66,1,11,0.472,0.29,0.24,0.71,0.76
62,1,A92,fome,0.25x,66,2,11,0.558,0.29,0.28,0.71,0.72
63,1,A92,fome,0.25x,66,3,16,0.744,0.43,0.38,0.57,0.62
64,1,A92,fome,0.25x,66,4,2,0.13,0.05,0.07,0.95,0.93
65,1,A92,fome,0.5x,132,1,10,0.217,0.27,0.11,0.73,0.89
66,1,A92,fome,0.5x,132,2,5,0.026,0.13,0.01,0.87,0.99
67,1,A92,fome,0.5x,132,3,14,0.142,0.37,0.07,0.63,0.93
68,1,A92,fome,0.5x,132,4,17,1.37,0.45,0.69,0.55,0.31
69,1,A92,fome,1x,263,1,8,0.201,0.21,0.10,0.79,0.90
70,1,A92,fome,1x,263,2,3,0.038,0.08,0.02,0.92,0.98
