id,run,pop,herb,dose,rate,rep,count,biomass
1,1,A92,fome,0x,0,1,19,2.361
2,1,A92,fome,0x,0,2,38,1.854
3,1,A92,fome,0x,0,3,47,1.334
4,1,A92,fome,0x,0,4,46,2.386
45,1,A92,fome,0.015x,4,1,28,2.195
46,1,A92,fome,0.015x,4,2,26,0.836
47,1,A92,fome,0.015x,4,3,46,1.656
48,1,A92,fome,0.015x,4,4,70,1.906
49,1,A92,fome,0.031x,8,1,23,0.747
50,1,A92,fome,0.031x,8,2,27,1.037
51,1,A92,fome,0.031x,8,3,24,1.522
52,1,A92,fome,0.031x,8,4,22,1.183
53,1,A92,fome,0.062x,16,1,12,0.352
54,1,A92,fome,0.062x,16,2,10,0.355
55,1,A92,fome,0.062x,16,3,24,0.812
56,1,A92,fome,0.062x,16,4,23,1.729
57,1,A92,fome,0.125x,33,1,14,0.769
58,1,A92,fome,0.125x,33,2,1,0.001
59,1,A92,fome,0.125x,33,3,31,1.901
60,1,A92,fome,0.125x,33,4,21,1.15
61,1,A92,fome,0.25x,66,1,11,0.472
62,1,A92,fome,0.25x,66,2,11,0.558
63,1,A92,fome,0.25x,66,3,16,0.744
64,1,A92,fome,0.25x,66,4,2,0.13
65,1,A92,fome,0.5x,132,1,10,0.217
66,1,A92,fome,0.5x,132,2,5,0.026
67,1,A92,fome,0.5x,132,3,14,0.142
68,1,A92,fome,0.5x,132,4,17,1.37
69,1,A92,fome,1x,263,1,8,0.201
70,1,A92,fome,1x,263,2,3,0.038
71,1,A92,fome,1x,263,3,1,0.001
72,1,A92,fome,1x,263,4,6,0.15
73,1,A92,fome,2x,526,1,12,0.171
74,1,A92,fome,2x,526,2,10,0.141
75,1,A92,fome,2x,526,3,3,0.041
76,1,A92,fome,2x,526,4,7,0.032
77,1,A92,fome,4x,1052,1,0,0
78,1,A92,fome,4x,1052,2,0,0
79,1,A92,fome,4x,1052,3,0,0
80,1,A92,fome,4x,1052,4,1,0.03
81,1,A92,fome,8x,2104,1,0,0
82,1,A92,fome,8x,2104,2,0,0
83,1,A92,fome,8x,2104,3,0,0
84,1,A92,fome,8x,2104,4,0,0
125,1,A66,fome,0x,0,1,26,0.937
126,1,A66,fome,0x,0,2,2,0.079
127,1,A66,fome,0x,0,3,2,0.044
169,1,A66,fome,0.015x,4,1,9,0.472
170,1,A66,fome,0.015x,4,2,0,0
171,1,A66,fome,0.015x,4,3,7,0.243
172,1,A66,fome,0.015x,4,4,12,0.421
173,1,A66,fome,0.031x,8,1,5,0.197
174,1,A66,fome,0.031x,8,2,5,0.093
175,1,A66,fome,0.031x,8,3,3,0.059
176,1,A66,fome,0.031x,8,4,7,0.011
177,1,A66,fome,0.062x,16,1,8,0.449
178,1,A66,fome,0.062x,16,2,16,0.307
