id,run,pop,herb,dose,rate,rep,count,biomass
1,1,A92,sulf,0x,0,1,19,2.361
2,1,A92,sulf,0x,0,2,38,1.854
3,1,A92,sulf,0x,0,3,47,1.334
4,1,A92,sulf,0x,0,4,46,2.386
5,1,A92,sulf,0.015x,4,1,55,1.282
6,1,A92,sulf,0.015x,4,2,36,0.162
7,1,A92,sulf,0.015x,4,3,88,1.78
8,1,A92,sulf,0.015x,4,4,74,2.299
9,1,A92,sulf,0.031x,9,1,28,1.832
10,1,A92,sulf,0.031x,9,2,7,0.144
11,1,A92,sulf,0.031x,9,3,14,0.081
12,1,A92,sulf,0.031x,9,4,4,0.098
13,1,A92,sulf,0.062x,18,1,37,1.093
14,1,A92,sulf,0.062x,18,2,18,0.757
15,1,A92,sulf,0.062x,18,3,23,1.525
16,1,A92,sulf,0.062x,18,4,46,2.463
17,1,A92,sulf,0.125x,35,1,28,1.9
18,1,A92,sulf,0.125x,35,2,17,0.532
19,1,A92,sulf,0.125x,35,3,15,0.183
20,1,A92,sulf,0.125x,35,4,19,1.297
21,1,A92,sulf,0.25x,70,1,27,1.451
22,1,A92,sulf,0.25x,70,2,24,0.757
23,1,A92,sulf,0.25x,70,3,8,0.101
24,1,A92,sulf,0.25x,70,4,27,1.055
25,1,A92,sulf,0.5x,140,1,31,0.433
26,1,A92,sulf,0.5x,140,2,8,0.221
27,1,A92,sulf,0.5x,140,3,6,0.033
28,1,A92,sulf,0.5x,140,4,28,0.463
29,1,A92,sulf,1x,280,1,15,0.478
30,1,A92,sulf,1x,280,2,2,0.004
31,1,A92,sulf,1x,280,3,0,0
32,1,A92,sulf,1x,280,4,0,0
33,1,A92,sulf,2x,560,1,0,0
34,1,A92,sulf,2x,560,2,0,0
35,1,A92,sulf,2x,560,3,0,0
36,1,A92,sulf,2x,560,4,0,0
37,1,A92,sulf,4x,1120,1,0,0
38,1,A92,sulf,4x,1120,2,0,0
39,1,A92,sulf,4x,1120,3,0,0
40,1,A92,sulf,4x,1120,4,0,0
41,1,A92,sulf,8x,2240,1,0,0
42,1,A92,sulf,8x,2240,2,12,0.991
43,1,A92,sulf,8x,2240,3,0,0
44,1,A92,sulf,8x,2240,4,0,0
125,1,A66,sulf,0x,0,1,26,0.937
126,1,A66,sulf,0x,0,2,2,0.079
127,1,A66,sulf,0x,0,3,2,0.044
129,1,A66,sulf,0.015x,4,1,19,0.881
130,1,A66,sulf,0.015x,4,2,13,0.457
131,1,A66,sulf,0.015x,4,3,4,0.011
132,1,A66,sulf,0.015x,4,4,10,0.345
133,1,A66,sulf,0.031x,9,1,23,1.234
134,1,A66,sulf,0.031x,9,2,32,0.912
135,1,A66,sulf,0.031x,9,3,26,1.064
136,1,A66,sulf,0.031x,9,4,24,1.344
137,1,A66,sulf,0.062x,18,1,13,1.063
138,1,A66,sulf,0.062x,18,2,21,1.898
139,1,A66,sulf,0.062x,18,3,1,0.01
140,1,A66,sulf,0.062x,18,4,5,0.07
141,1,A66,sulf,0.125x,35,1,14,0.784
142,1,A66,sulf,0.125x,35,2,0,0
143,1,A66,sulf,0.125x,35,3,12,2.275
144,1,A66,sulf,0.125x,35,4,4,0.167
145,1,A66,sulf,0.25x,70,1,2,0.023
146,1,A66,sulf,0.25x,70,2,4,0.185
147,1,A66,sulf,0.25x,70,3,4,0.104
148,1,A66,sulf,0.25x,70,4,11,0.488
149,1,A66,sulf,0.5x,140,1,0,0
150,1,A66,sulf,0.5x,140,2,5,0.06
151,1,A66,sulf,0.5x,140,3,0,0
152,1,A66,sulf,0.5x,140,4,5,0.094
153,1,A66,sulf,1x,280,1,0,0
154,1,A66,sulf,1x,280,2,0,0
155,1,A66,sulf,1x,280,3,0,0
156,1,A66,sulf,1x,280,4,0,0
1,2,A92,sulf,0x,0,1,24,2.062
2,2,A92,sulf,0x,0,2,12,1.616
3,2,A92,sulf,0x,0,3,25,1.125
4,2,A92,sulf,0x,0,4,55,2.125
5,2,A92,sulf,0.015x,4,1,52,2.291
6,2,A92,sulf,0.015x,4,2,14,0.954
7,2,A92,sulf,0.015x,4,3,11,0.105
8,2,A92,sulf,0.015x,4,4,62,2.452
9,2,A92,sulf,0.031x,9,1,45,0.7
10,2,A92,sulf,0.031x,9,2,26,1.364
11,2,A92,sulf,0.031x,9,3,36,1.122
12,2,A92,sulf,0.031x,9,4,24,1.641
13,2,A92,sulf,0.062x,18,1,33,1.534
14,2,A92,sulf,0.062x,18,2,36,0.699
15,2,A92,sulf,0.062x,18,3,43,0.495
16,2,A92,sulf,0.062x,18,4,23,0.78
17,2,A92,sulf,0.125x,35,1,41,1.132
18,2,A92,sulf,0.125x,35,2,29,0.963
19,2,A92,sulf,0.125x,35,3,21,0.925
20,2,A92,sulf,0.125x,35,4,50,2.22
21,2,A92,sulf,0.25x,70,1,24,1.721
22,2,A92,sulf,0.25x,70,2,7,0.069
23,2,A92,sulf,0.25x,70,3,36,1.06
24,2,A92,sulf,0.25x,70,4,44,1.255
25,2,A92,sulf,0.5x,140,1,0,0
26,2,A92,sulf,0.5x,140,2,22,0.859
27,2,A92,sulf,0.5x,140,3,26,0.82
28,2,A92,sulf,0.5x,140,4,13,1.451
29,2,A92,sulf,1x,280,1,2,0.009
30,2,A92,sulf,1x,280,2,0,0
31,2,A92,sulf,1x,280,3,1,0.001
32,2,A92,sulf,1x,280,4,1,0.059
33,2,A92,sulf,2x,560,1,2,0.01
34,2,A92,sulf,2x,560,2,0,0
35,2,A92,sulf,2x,560,3,3,0.044
36,2,A92,sulf,2x,560,4,0,0
37,2,A92,sulf,4x,1120,1,0,0
38,2,A92,sulf,4x,1120,2,0,0
39,2,A92,sulf,4x,1120,3,0,0
40,2,A92,sulf,4x,1120,4,0,0
41,2,A92,sulf,8x,2240,1,0,0
42,2,A92,sulf,8x,2240,2,0,0
43,2,A92,sulf,8x,2240,3,0,0
44,2,A92,sulf,8x,2240,4,0,0
125,2,A66,sulf,0x,0,1,7,0.052
126,2,A66,sulf,0x,0,2,25,2.32
127,2,A66,sulf,0x,0,3,25,1.686
129,2,A66,sulf,0.015x,4,1,16,1.444
130,2,A66,sulf,0.015x,4,2,15,1.598
131,2,A66,sulf,0.015x,4,3,10,0.396
132,2,A66,sulf,0.015x,4,4,32,1.301
133,2,A66,sulf,0.031x,9,1,17,0.465
134,2,A66,sulf,0.031x,9,2,10,0.2
135,2,A66,sulf,0.031x,9,3,16,0.897
136,2,A66,sulf,0.031x,9,4,0,0
137,2,A66,sulf,0.062x,18,1,9,0.304
138,2,A66,sulf,0.062x,18,2,7,0.176
139,2,A66,sulf,0.062x,18,3,0,0
141,2,A66,sulf,0.125x,35,1,0,0
142,2,A66,sulf,0.125x,35,2,2,0.03
143,2,A66,sulf,0.125x,35,3,0,0
145,2,A66,sulf,0.25x,70,1,6,0.342
146,2,A66,sulf,0.25x,70,2,2,0.377
147,2,A66,sulf,0.25x,70,3,9,0.306
149,2,A66,sulf,0.5x,140,1,14,0.091
150,2,A66,sulf,0.5x,140,2,0,0
151,2,A66,sulf,0.5x,140,3,4,0.02
153,2,A66,sulf,1x,280,1,0,0
154,2,A66,sulf,1x,280,2,0,0
155,2,A66,sulf,1x,280,3,5,0.001
