id,run,pop,herb,dose,rate,rep,count,biomass,percentcount,percentbio,countred,biored
1,1,A92,sulf,0x,0,1,19,2.361,1.00,1.00,0.00,0.00
2,1,A92,sulf,0x,0,2,38,1.854,1.00,1.00,0.00,0.00
3,1,A92,sulf,0x,0,3,47,1.334,1.00,1.00,0.00,0.00
4,1,A92,sulf,0x,0,4,46,2.386,1.00,1.00,0.00,0.00
5,1,A92,sulf,0.015x,4,1,55,1.282,1.00,1.00,0.00,0.35
6,1,A92,sulf,0.015x,4,2,36,0.162,0.96,0.08,0.04,0.92
7,1,A92,sulf,0.015x,4,3,88,1.78,1.00,0.90,0.00,0.10
8,1,A92,sulf,0.015x,4,4,74,2.299,1.00,1.00,0.00,0.00
9,1,A92,sulf,0.031x,9,1,28,1.832,0.75,0.92,0.25,0.08
10,1,A92,sulf,0.031x,9,2,,,,,,
11,1,A92,sulf,0.031x,9,3,14,0.081,0.37,0.04,0.63,0.96
12,1,A92,sulf,0.031x,9,4,,,,,,
13,1,A92,sulf,0.062x,18,1,37,1.093,0.99,0.55,0.01,0.45
14,1,A92,sulf,0.062x,18,2,18,0.757,0.48,0.38,0.52,0.62
15,1,A92,sulf,0.062x,18,3,23,1.525,0.61,0.77,0.39,0.23
16,1,A92,sulf,0.062x,18,4,46,2.463,1.00,1.00,0.00,0.00
17,1,A92,sulf,0.125x,35,1,28,1.9,0.75,0.96,0.25,0.04
18,1,A92,sulf,0.125x,35,2,17,0.532,0.45,0.27,0.55,0.73
19,1,A92,sulf,0.125x,35,3,15,0.183,0.40,0.09,0.60,0.91
20,1,A92,sulf,0.125x,35,4,19,1.297,0.51,0.65,0.49,0.35
21,1,A92,sulf,0.25x,70,1,27,1.451,0.72,0.73,0.28,0.27
22,1,A92,sulf,0.25x,70,2,24,0.757,0.64,0.38,0.36,0.62
23,1,A92,sulf,0.25x,70,3,8,0.101,0.21,0.05,0.79,0.95
24,1,A92,sulf,0.25x,70,4,27,1.055,0.72,0.53,0.28,0.47
25,1,A92,sulf,0.5x,140,1,31,0.433,0.83,0.22,0.17,0.78
26,1,A92,sulf,0.5x,140,2,8,0.221,0.21,0.11,0.79,0.89
27,1,A92,sulf,0.5x,140,3,6,0.033,0.16,0.02,0.84,0.98
28,1,A92,sulf,0.5x,140,4,28,0.463,0.75,0.23,0.25,0.77
29,1,A92,sulf,1x,280,1,,,,,,
30,1,A92,sulf,1x,280,2,2,0.004,0.05,0.00,0.95,1.00
31,1,A92,sulf,1x,280,3,0,0,0.00,0.00,1.00,1.00
32,1,A92,sulf,1x,280,4,0,0,0.00,0.00,1.00,1.00
33,1,A92,sulf,2x,560,1,0,0,0.00,0.00,1.00,1.00
34,1,A92,sulf,2x,560,2,0,0,0.00,0.00,1.00,1.00
35,1,A92,sulf,2x,560,3,0,0,0.00,0.00,1.00,1.00
36,1,A92,sulf,2x,560,4,0,0,0.00,0.00,1.00,1.00
37,1,A92,sulf,4x,1120,1,0,0,0.00,0.00,1.00,1.00
38,1,A92,sulf,4x,1120,2,0,0,0.00,0.00,1.00,1.00
39,1,A92,sulf,4x,1120,3,0,0,0.00,0.00,1.00,1.00
40,1,A92,sulf,4x,1120,4,0,0,0.00,0.00,1.00,1.00
41,1,A92,sulf,8x,2240,1,0,0,0.00,0.00,1.00,1.00
42,1,A92,sulf,8x,2240,2,,,,,,
43,1,A92,sulf,8x,2240,3,0,0,0.00,0.00,1.00,1.00
44,1,A92,sulf,8x,2240,4,0,0,0.00,0.00,1.00,1.00
125,1,A66,sulf,0x,0,1,26,0.937,1.00,1.00,0.00,0.00
126,1,A66,sulf,0x,0,2,,,,,,
127,1,A66,sulf,0x,0,3,,,,,,
129,1,A66,sulf,0.015x,4,1,19,0.881,1.00,1.00,0.00,0.00
130,1,A66,sulf,0.015x,4,2,13,0.457,1.00,1.00,0.00,0.00
131,1,A66,sulf,0.015x,4,3,,,,,,
132,1,A66,sulf,0.015x,4,4,10,0.345,1.00,0.98,0.00,0.02
133,1,A66,sulf,0.031x,9,1,23,1.234,1.00,1.00,0.00,0.00
134,1,A66,sulf,0.031x,9,2,32,0.912,1.00,1.00,0.00,0.00
135,1,A66,sulf,0.031x,9,3,26,1.064,1.00,1.00,0.00,0.00
136,1,A66,sulf,0.031x,9,4,24,1.344,1.00,1.00,0.00,0.00
137,1,A66,sulf,0.062x,18,1,13,1.063,1.00,1.00,0.00,0.00
138,1,A66,sulf,0.062x,18,2,,,,,,
139,1,A66,sulf,0.062x,18,3,1,0.01,0.10,0.03,0.90,0.97
140,1,A66,sulf,0.062x,18,4,5,0.07,0.50,0.20,0.50,0.80
141,1,A66,sulf,0.125x,35,1,14,0.784,1.00,1.00,0.00,0.00
142,1,A66,sulf,0.125x,35,2,0,0,0.00,0.00,1.00,1.00
143,1,A66,sulf,0.125x,35,3,12,2.275,1.00,1.00,0.00,0.00
144,1,A66,sulf,0.125x,35,4,4,0.167,0.40,0.47,0.60,0.53
145,1,A66,sulf,0.25x,70,1,2,0.023,0.20,0.07,0.80,0.93
146,1,A66,sulf,0.25x,70,2,4,0.185,0.40,0.52,0.60,0.48
147,1,A66,sulf,0.25x,70,3,4,0.104,0.40,0.29,0.60,0.71
148,1,A66,sulf,0.25x,70,4,11,0.488,1.00,1.00,0.00,0.00
149,1,A66,sulf,0.5x,140,1,0,0,0.00,0.00,1.00,1.00
150,1,A66,sulf,0.5x,140,2,5,0.06,0.50,0.17,0.50,0.83
151,1,A66,sulf,0.5x,140,3,0,0,0.00,0.00,1.00,1.00
152,1,A66,sulf,0.5x,140,4,5,0.094,0.50,0.27,0.50,0.73
153,1,A66,sulf,1x,280,1,0,0,0.00,0.00,1.00,1.00
154,1,A66,sulf,1x,280,2,0,0,0.00,0.00,1.00,1.00
155,1,A66,sulf,1x,280,3,0,0,0.00,0.00,1.00,1.00
156,1,A66,sulf,1x,280,4,0,0,0.00,0.00,1.00,1.00
1,2,A92,sulf,0x,0,1,24,2.062,1.00,1.00,0.00,0.00
2,2,A92,sulf,0x,0,2,12,1.616,1.00,1.00,0.00,0.00
3,2,A92,sulf,0x,0,3,25,1.125,1.00,1.00,0.00,0.00
4,2,A92,sulf,0x,0,4,55,2.125,1.00,1.00,0.00,0.00
