run,pop,herb,Dose,rep,surv,biomass
1,BROOK,Control,0x,1,1,1.77
1,BROOK,Control,0x,2,1,2.35
1,BROOK,Control,0x,3,1,2.551
1,BROOK,Control,0x,4,1,2.641
1,BROOK,Control,0x,5,1,1.747
1,BROOK,Imazethapyr,1x,1,1,2.152
1,BROOK,Imazethapyr,1x,2,1,2.512
1,BROOK,Imazethapyr,1x,3,1,2.835
1,BROOK,Imazethapyr,1x,4,1,3.685
1,BROOK,Imazethapyr,1x,5,1,2.315
1,BROOK,Glyphosate,1x,1,1,1.651
1,BROOK,Glyphosate,1x,2,1,4.11
1,BROOK,Glyphosate,1x,3,1,3.976
1,BROOK,Glyphosate,1x,4,1,0.485
1,BROOK,Glyphosate,1x,5,1,3.956
1,BROOK,Atrazine,1x,1,0,0
1,BROOK,Atrazine,1x,2,1,2.113
1,BROOK,Atrazine,1x,3,1,1.55
1,BROOK,Atrazine,1x,4,0,0
1,BROOK,Atrazine,1x,5,0,0
1,BROOK,Dicamba,1x,1,1,0.642
1,BROOK,Dicamba,1x,2,1,1.682
1,BROOK,Dicamba,1x,3,0,0
1,BROOK,Dicamba,1x,4,0,0
1,BROOK,Dicamba,1x,5,1,1.233
1,BROOK,"2,4-D",1x,1,0,0
1,BROOK,"2,4-D",1x,2,1,1.118
1,BROOK,"2,4-D",1x,3,1,1.29
1,BROOK,"2,4-D",1x,4,1,1.641
1,BROOK,"2,4-D",1x,5,0,0
1,BROOK,Fomesafen,1x,1,1,2.553
1,BROOK,Fomesafen,1x,2,1,2.704
1,BROOK,Fomesafen,1x,3,1,4.083
1,BROOK,Fomesafen,1x,4,0,0
1,BROOK,Fomesafen,1x,5,1,0.17
1,BROOK,Mesotrione,1x,1,1,0.285
1,BROOK,Mesotrione,1x,2,1,1.471
1,BROOK,Mesotrione,1x,3,0,0
1,BROOK,Mesotrione,1x,4,1,0.183
1,BROOK,Mesotrione,1x,5,1,1.172
1,BROOK,Imazethapyr,3x,1,1,2.916
1,BROOK,Imazethapyr,3x,2,1,3.346
1,BROOK,Imazethapyr,3x,3,1,3.557
1,BROOK,Imazethapyr,3x,4,1,0.545
1,BROOK,Imazethapyr,3x,5,1,3.662
1,BROOK,Glyphosate,3x,1,1,2.875
1,BROOK,Glyphosate,3x,2,0,0
1,BROOK,Glyphosate,3x,3,1,3.681
1,BROOK,Glyphosate,3x,4,1,3.59
1,BROOK,Glyphosate,3x,5,0,0
1,BROOK,Atrazine,3x,1,1,1.817
1,BROOK,Atrazine,3x,2,0,0
1,BROOK,Atrazine,3x,3,1,1.298
1,BROOK,Atrazine,3x,4,0,0
1,BROOK,Atrazine,3x,5,1,1.524
1,BROOK,Dicamba,3x,1,0,0
1,BROOK,Dicamba,3x,2,0,0
1,BROOK,Dicamba,3x,3,0,0
1,BROOK,Dicamba,3x,4,0,0
1,BROOK,Dicamba,3x,5,0,0
1,BROOK,"2,4-D",3x,1,0,0
1,BROOK,"2,4-D",3x,2,1,0.465
1,BROOK,"2,4-D",3x,3,0,0
1,BROOK,"2,4-D",3x,4,0,0
1,BROOK,"2,4-D",3x,5,0,0
1,BROOK,Fomesafen,3x,1,1,0.954
1,BROOK,Fomesafen,3x,2,0,0
1,BROOK,Fomesafen,3x,3,0,0
1,BROOK,Fomesafen,3x,4,0,0
1,BROOK,Fomesafen,3x,5,1,2.721
1,BROOK,Mesotrione,3x,1,0,0
1,BROOK,Mesotrione,3x,2,0,0
1,BROOK,Mesotrione,3x,3,0,0
1,BROOK,Mesotrione,3x,4,0,0
1,BROOK,Mesotrione,3x,5,1,0.735
2,BROOK,Control,0x,1,1,3.108
2,BROOK,Control,0x,2,1,3.314
2,BROOK,Control,0x,3,1,3.118
2,BROOK,Control,0x,4,1,1.88
2,BROOK,Control,0x,5,1,2.767
2,BROOK,Imazethapyr,1x,1,1,2.654
2,BROOK,Imazethapyr,1x,2,1,2.584
2,BROOK,Imazethapyr,1x,3,1,0.795
2,BROOK,Imazethapyr,1x,4,1,1.637
2,BROOK,Imazethapyr,1x,5,0,0
2,BROOK,Glyphosate,1x,1,1,2.961
2,BROOK,Glyphosate,1x,2,1,1.845
2,BROOK,Glyphosate,1x,3,1,2.914
2,BROOK,Glyphosate,1x,4,1,2.379
2,BROOK,Glyphosate,1x,5,1,3.345
2,BROOK,Atrazine,1x,1,0,0
2,BROOK,Atrazine,1x,2,0,0
2,BROOK,Atrazine,1x,3,1,2.393
2,BROOK,Atrazine,1x,4,0,0
2,BROOK,Atrazine,1x,5,1,1.453
2,BROOK,Dicamba,1x,1,0,0
2,BROOK,Dicamba,1x,2,1,0.885
2,BROOK,Dicamba,1x,3,0,0
2,BROOK,Dicamba,1x,4,1,1.519
