exp,id,run,pop,herb,rate,temp,rep,surv,biomass
GC,1,1,A82,"2,4D",0,elevated,1,1,3.918
GC,2,1,A82,"2,4D",0,elevated,2,1,2.458
GC,3,1,A82,"2,4D",0,elevated,3,1,2.948
GC,4,1,A82,"2,4D",0,elevated,4,1,2.479
GC,5,1,A82,"2,4D",17,elevated,1,1,3.202
GC,6,1,A82,"2,4D",17,elevated,2,1,3.341
GC,7,1,A82,"2,4D",17,elevated,3,1,3.019
GC,8,1,A82,"2,4D",17,elevated,4,1,2.765
GC,9,1,A82,"2,4D",33,elevated,1,1,2.288
GC,10,1,A82,"2,4D",33,elevated,2,1,2.783
GC,11,1,A82,"2,4D",33,elevated,3,1,3.254
GC,12,1,A82,"2,4D",33,elevated,4,1,2.549
GC,13,1,A82,"2,4D",67,elevated,1,1,3.261
GC,14,1,A82,"2,4D",67,elevated,2,1,2.565
GC,15,1,A82,"2,4D",67,elevated,3,1,2.422
GC,16,1,A82,"2,4D",67,elevated,4,1,2.147
GC,17,1,A82,"2,4D",133,elevated,1,1,1.439
GC,18,1,A82,"2,4D",133,elevated,2,1,1.451
GC,19,1,A82,"2,4D",133,elevated,3,1,1.711
GC,20,1,A82,"2,4D",133,elevated,4,1,2.398
GC,21,1,A82,"2,4D",266,elevated,1,1,0.826
GC,22,1,A82,"2,4D",266,elevated,2,1,1.679
GC,23,1,A82,"2,4D",266,elevated,3,0,0
GC,24,1,A82,"2,4D",266,elevated,4,0,0
GC,25,1,A82,"2,4D",533,elevated,1,0,0
GC,26,1,A82,"2,4D",533,elevated,2,0,0
GC,27,1,A82,"2,4D",533,elevated,3,1,0.612
GC,28,1,A82,"2,4D",533,elevated,4,0,0
GC,29,1,A82,"2,4D",1065,elevated,1,0,0
GC,30,1,A82,"2,4D",1065,elevated,2,0,0
GC,31,1,A82,"2,4D",1065,elevated,3,0,0
GC,32,1,A82,"2,4D",1065,elevated,4,0,0
GC,33,1,A82,"2,4D",2130,elevated,1,,
GC,34,1,A82,"2,4D",2130,elevated,2,,
GC,35,1,A82,"2,4D",2130,elevated,3,,
GC,36,1,A82,"2,4D",2130,elevated,4,,
GC,37,1,A82,"2,4D",4260,elevated,1,0,0
GC,38,1,A82,"2,4D",4260,elevated,2,0,0
GC,39,1,A82,"2,4D",4260,elevated,3,0,0
GC,40,1,A82,"2,4D",4260,elevated,4,0,0
GC,41,1,A82,"2,4D",0,ambient,1,1,2.52
GC,42,1,A82,"2,4D",0,ambient,2,1,3.027
GC,43,1,A82,"2,4D",0,ambient,3,1,2.915
GC,44,1,A82,"2,4D",0,ambient,4,1,2.599
GC,45,1,A82,"2,4D",17,ambient,1,1,2.624
GC,46,1,A82,"2,4D",17,ambient,2,1,1.653
GC,47,1,A82,"2,4D",17,ambient,3,1,2.636
GC,48,1,A82,"2,4D",17,ambient,4,1,2.654
GC,49,1,A82,"2,4D",33,ambient,1,1,2.117
GC,50,1,A82,"2,4D",33,ambient,2,1,2.773
GC,51,1,A82,"2,4D",33,ambient,3,1,2.309
GC,52,1,A82,"2,4D",33,ambient,4,1,2.543
GC,53,1,A82,"2,4D",67,ambient,1,1,1.101
GC,54,1,A82,"2,4D",67,ambient,2,1,2.593
GC,55,1,A82,"2,4D",67,ambient,3,1,1.608
GC,56,1,A82,"2,4D",67,ambient,4,0,0
GC,57,1,A82,"2,4D",133,ambient,1,1,1.835
GC,58,1,A82,"2,4D",133,ambient,2,1,1.551
GC,59,1,A82,"2,4D",133,ambient,3,1,1.631
GC,60,1,A82,"2,4D",133,ambient,4,1,1.121
GC,61,1,A82,"2,4D",266,ambient,1,0,0
GC,62,1,A82,"2,4D",266,ambient,2,1,1.151
GC,63,1,A82,"2,4D",266,ambient,3,1,0.836
GC,64,1,A82,"2,4D",266,ambient,4,0,0
GC,65,1,A82,"2,4D",533,ambient,1,1,0.408
GC,66,1,A82,"2,4D",533,ambient,2,0,0
GC,67,1,A82,"2,4D",533,ambient,3,1,0.451
GC,68,1,A82,"2,4D",533,ambient,4,0,0
GC,69,1,A82,"2,4D",1065,ambient,1,0,0
GC,70,1,A82,"2,4D",1065,ambient,2,0,0
GC,71,1,A82,"2,4D",1065,ambient,3,0,0
GC,72,1,A82,"2,4D",1065,ambient,4,0,0
GC,73,1,A82,"2,4D",2130,ambient,1,0,0
GC,74,1,A82,"2,4D",2130,ambient,2,0,0
GC,75,1,A82,"2,4D",2130,ambient,3,0,0
GC,76,1,A82,"2,4D",2130,ambient,4,0,0
GC,77,1,A82,"2,4D",4260,ambient,1,0,0
GC,78,1,A82,"2,4D",4260,ambient,2,0,0
GC,79,1,A82,"2,4D",4260,ambient,3,0,0
GC,80,1,A82,"2,4D",4260,ambient,4,0,0
GC,81,1,A101,"2,4D",0,elevated,1,1,2.002
GC,82,1,A101,"2,4D",0,elevated,2,1,3.009
GC,83,1,A101,"2,4D",0,elevated,3,1,2.558
GC,84,1,A101,"2,4D",0,elevated,4,1,3.426
GC,85,1,A101,"2,4D",17,elevated,1,1,1.559
GC,86,1,A101,"2,4D",17,elevated,2,1,2.608
GC,87,1,A101,"2,4D",17,elevated,3,1,1.616
GC,88,1,A101,"2,4D",17,elevated,4,1,4.039
GC,89,1,A101,"2,4D",33,elevated,1,1,2.167
GC,90,1,A101,"2,4D",33,elevated,2,1,2.264
GC,91,1,A101,"2,4D",33,elevated,3,1,1.319
GC,92,1,A101,"2,4D",33,elevated,4,1,1.557
GC,93,1,A101,"2,4D",67,elevated,1,1,2.353
GC,94,1,A101,"2,4D",67,elevated,2,1,2.604
GC,95,1,A101,"2,4D",67,elevated,3,1,2.325
GC,96,1,A101,"2,4D",67,elevated,4,1,1.612
GC,97,1,A101,"2,4D",133,elevated,1,1,1.152
GC,98,1,A101,"2,4D",133,elevated,2,1,1.848
GC,99,1,A101,"2,4D",133,elevated,3,1,0.585
GC,100,1,A101,"2,4D",133,elevated,4,1,0.957
GC,101,1,A101,"2,4D",266,elevated,1,1,1.884
GC,102,1,A101,"2,4D",266,elevated,2,1,1.737
GC,103,1,A101,"2,4D",266,elevated,3,0,0
GC,104,1,A101,"2,4D",266,elevated,4,1,1.802
GC,105,1,A101,"2,4D",533,elevated,1,1,1.466
GC,106,1,A101,"2,4D",533,elevated,2,1,0.381
