exp,id,run,pop,herb,rate,temp,rep,surv,biomass
GC,1,1,A82,atra,0,Elevated,1,1,1.939
GC,2,1,A82,atra,0,Elevated,2,1,2.516
GC,3,1,A82,atra,0,Elevated,3,1,1.928
GC,4,1,A82,atra,0,Elevated,4,1,2.395
GC,5,1,A82,atra,140,Elevated,1,1,0.239
GC,6,1,A82,atra,140,Elevated,2,1,2.349
GC,7,1,A82,atra,140,Elevated,3,1,1.462
GC,8,1,A82,atra,140,Elevated,4,1,0.816
GC,9,1,A82,atra,280,Elevated,1,1,0.05
GC,10,1,A82,atra,280,Elevated,2,0,0
GC,11,1,A82,atra,280,Elevated,3,1,0.356
GC,12,1,A82,atra,280,Elevated,4,0,0
GC,13,1,A82,atra,561,Elevated,1,0,0
GC,14,1,A82,atra,561,Elevated,2,0,0
GC,15,1,A82,atra,561,Elevated,3,0,0
GC,16,1,A82,atra,561,Elevated,4,1,1.838
GC,17,1,A82,atra,1121,Elevated,1,0,0
GC,18,1,A82,atra,1121,Elevated,2,0,0
GC,19,1,A82,atra,1121,Elevated,3,0,0
GC,20,1,A82,atra,1121,Elevated,4,1,2.296
GC,21,1,A82,atra,2242,Elevated,1,1,0.149
GC,22,1,A82,atra,2242,Elevated,2,0,0
GC,23,1,A82,atra,2242,Elevated,3,1,1.144
GC,24,1,A82,atra,2242,Elevated,4,0,0
GC,25,1,A82,atra,4484,Elevated,1,0,0
GC,26,1,A82,atra,4484,Elevated,2,0,0
GC,27,1,A82,atra,4484,Elevated,3,0,0
GC,28,1,A82,atra,4484,Elevated,4,0,0
GC,29,1,A82,atra,8968,Elevated,1,0,0
GC,30,1,A82,atra,8968,Elevated,2,1,1.072
GC,31,1,A82,atra,8968,Elevated,3,0,0
GC,32,1,A82,atra,8968,Elevated,4,0,0
GC,33,1,A82,atra+GST,0,Elevated,1,1,3.602
GC,34,1,A82,atra+GST,0,Elevated,2,1,1.352
GC,35,1,A82,atra+GST,0,Elevated,3,1,2.345
GC,36,1,A82,atra+GST,0,Elevated,4,1,2.708
GC,37,1,A82,atra+GST,140,Elevated,1,1,0.087
GC,38,1,A82,atra+GST,140,Elevated,2,1,0.21
GC,39,1,A82,atra+GST,140,Elevated,3,1,1.537
GC,40,1,A82,atra+GST,140,Elevated,4,1,0.056
GC,41,1,A82,atra+GST,280,Elevated,1,1,0.188
GC,42,1,A82,atra+GST,280,Elevated,2,0,0
GC,43,1,A82,atra+GST,280,Elevated,3,1,2.87
GC,44,1,A82,atra+GST,280,Elevated,4,0,0
GC,45,1,A82,atra+GST,561,Elevated,1,1,1.818
GC,46,1,A82,atra+GST,561,Elevated,2,1,1.738
GC,47,1,A82,atra+GST,561,Elevated,3,0,0
GC,48,1,A82,atra+GST,561,Elevated,4,0,0
GC,49,1,A82,atra+GST,1121,Elevated,1,0,0
GC,50,1,A82,atra+GST,1121,Elevated,2,0,0
GC,51,1,A82,atra+GST,1121,Elevated,3,0,0
GC,52,1,A82,atra+GST,1121,Elevated,4,0,0
GC,53,1,A82,atra+GST,2242,Elevated,1,1,1.203
GC,54,1,A82,atra+GST,2242,Elevated,2,0,0
GC,55,1,A82,atra+GST,2242,Elevated,3,0,0
GC,56,1,A82,atra+GST,2242,Elevated,4,0,0
GC,57,1,A82,atra+GST,4484,Elevated,1,1,0.484
GC,58,1,A82,atra+GST,4484,Elevated,2,0,0
GC,59,1,A82,atra+GST,4484,Elevated,3,0,0
GC,60,1,A82,atra+GST,4484,Elevated,4,0,0
GC,61,1,A82,atra+GST,8968,Elevated,1,0,0
GC,62,1,A82,atra+GST,8968,Elevated,2,0,0
GC,63,1,A82,atra+GST,8968,Elevated,3,0,0
GC,64,1,A82,atra+GST,8968,Elevated,4,0,0
GC,65,1,A101,atra,0,Elevated,1,1,1.998
GC,66,1,A101,atra,0,Elevated,2,1,2.94
GC,67,1,A101,atra,0,Elevated,3,1,2.62
GC,68,1,A101,atra,0,Elevated,4,1,2.423
GC,69,1,A101,atra,140,Elevated,1,1,2.642
GC,70,1,A101,atra,140,Elevated,2,1,2.725
GC,71,1,A101,atra,140,Elevated,3,1,2.002
GC,72,1,A101,atra,140,Elevated,4,1,2.871
GC,73,1,A101,atra,280,Elevated,1,1,2.208
GC,74,1,A101,atra,280,Elevated,2,1,1.778
GC,75,1,A101,atra,280,Elevated,3,0,0
GC,76,1,A101,atra,280,Elevated,4,0,0
GC,77,1,A101,atra,561,Elevated,1,1,1.718
GC,78,1,A101,atra,561,Elevated,2,1,2.881
GC,79,1,A101,atra,561,Elevated,3,0,0
GC,80,1,A101,atra,561,Elevated,4,0,0
GC,81,1,A101,atra,1121,Elevated,1,1,2.409
GC,82,1,A101,atra,1121,Elevated,2,1,1.778
GC,83,1,A101,atra,1121,Elevated,3,0,0
GC,84,1,A101,atra,1121,Elevated,4,1,0.207
GC,85,1,A101,atra,2242,Elevated,1,1,2.361
GC,86,1,A101,atra,2242,Elevated,2,0,0
GC,87,1,A101,atra,2242,Elevated,3,0,0
GC,88,1,A101,atra,2242,Elevated,4,0,0
GC,89,1,A101,atra,4484,Elevated,1,0,0
GC,90,1,A101,atra,4484,Elevated,2,0,0
GC,91,1,A101,atra,4484,Elevated,3,0,0
GC,92,1,A101,atra,4484,Elevated,4,1,0.098
GC,93,1,A101,atra,8968,Elevated,1,0,0
GC,94,1,A101,atra,8968,Elevated,2,0,0
GC,95,1,A101,atra,8968,Elevated,3,0,0
GC,96,1,A101,atra,8968,Elevated,4,0,0
GC,97,1,A101,atra+GST,0,Elevated,1,1,2.89
GC,98,1,A101,atra+GST,0,Elevated,2,1,1.406
GC,99,1,A101,atra+GST,0,Elevated,3,1,1.954
GC,100,1,A101,atra+GST,0,Elevated,4,1,1.737
GC,101,1,A101,atra+GST,140,Elevated,1,1,1.7
GC,102,1,A101,atra+GST,140,Elevated,2,1,0.379
GC,103,1,A101,atra+GST,140,Elevated,3,0,0
GC,104,1,A101,atra+GST,140,Elevated,4,1,1.494
GC,105,1,A101,atra+GST,280,Elevated,1,1,2.425
GC,106,1,A101,atra+GST,280,Elevated,2,1,2.116
GC,107,1,A101,atra+GST,280,Elevated,3,0,0
GC,108,1,A101,atra+GST,280,Elevated,4,1,1.755
GC,109,1,A101,atra+GST,561,Elevated,1,1,2.179
GC,110,1,A101,atra+GST,561,Elevated,2,1,0.375
GC,111,1,A101,atra+GST,561,Elevated,3,0,0
GC,112,1,A101,atra+GST,561,Elevated,4,1,2.389
GC,113,1,A101,atra+GST,1121,Elevated,1,0,0
GC,114,1,A101,atra+GST,1121,Elevated,2,1,1.187
GC,115,1,A101,atra+GST,1121,Elevated,3,1,1.453
GC,116,1,A101,atra+GST,1121,Elevated,4,0,0
GC,117,1,A101,atra+GST,2242,Elevated,1,0,0
GC,118,1,A101,atra+GST,2242,Elevated,2,0,0
GC,119,1,A101,atra+GST,2242,Elevated,3,1,0.252
GC,120,1,A101,atra+GST,2242,Elevated,4,0,0
GC,121,1,A101,atra+GST,4484,Elevated,1,0,0
GC,122,1,A101,atra+GST,4484,Elevated,2,0,0
GC,123,1,A101,atra+GST,4484,Elevated,3,0,0
GC,124,1,A101,atra+GST,4484,Elevated,4,0,0
GC,125,1,A101,atra+GST,8968,Elevated,1,1,0.132
GC,126,1,A101,atra+GST,8968,Elevated,2,0,0
GC,127,1,A101,atra+GST,8968,Elevated,3,0,0
GC,128,1,A101,atra+GST,8968,Elevated,4,0,0
GC,129,1,A82,atra,0,Ambient,1,1,2.217
GC,130,1,A82,atra,0,Ambient,2,1,1.471
GC,131,1,A82,atra,0,Ambient,3,1,1.384
GC,132,1,A82,atra,0,Ambient,4,1,1.341
GC,133,1,A82,atra,140,Ambient,1,1,0.242
GC,134,1,A82,atra,140,Ambient,2,0,0
GC,135,1,A82,atra,140,Ambient,3,1,0.919
GC,136,1,A82,atra,140,Ambient,4,1,2.573
GC,137,1,A82,atra,280,Ambient,1,0,0
GC,138,1,A82,atra,280,Ambient,2,1,0.179
GC,139,1,A82,atra,280,Ambient,3,1,0.186
GC,140,1,A82,atra,280,Ambient,4,0,0
GC,141,1,A82,atra,561,Ambient,1,0,0
GC,142,1,A82,atra,561,Ambient,2,1,0.217
GC,144,1,A82,atra,561,Ambient,4,0,0
GC,145,1,A82,atra,1121,Ambient,1,0,0
GC,146,1,A82,atra,1121,Ambient,2,0,0
GC,147,1,A82,atra,1121,Ambient,3,0,0
GC,148,1,A82,atra,1121,Ambient,4,0,0
GC,149,1,A82,atra,2242,Ambient,1,0,0
GC,150,1,A82,atra,2242,Ambient,2,0,0
GC,151,1,A82,atra,2242,Ambient,3,1,1.552
GC,152,1,A82,atra,2242,Ambient,4,0,0
GC,153,1,A82,atra,4484,Ambient,1,1,0.26
GC,154,1,A82,atra,4484,Ambient,2,0,0
GC,155,1,A82,atra,4484,Ambient,3,0,0
GC,156,1,A82,atra,4484,Ambient,4,0,0
GC,157,1,A82,atra,8968,Ambient,1,0,0
GC,158,1,A82,atra,8968,Ambient,2,0,0
GC,159,1,A82,atra,8968,Ambient,3,0,0
GC,160,1,A82,atra,8968,Ambient,4,0,0
GC,161,1,A82,atra+GST,0,Ambient,1,1,1.61
GC,162,1,A82,atra+GST,0,Ambient,2,1,0.511
GC,163,1,A82,atra+GST,0,Ambient,3,1,1.706
GC,164,1,A82,atra+GST,0,Ambient,4,1,1.494
GC,165,1,A82,atra+GST,140,Ambient,1,1,2.365
GC,166,1,A82,atra+GST,140,Ambient,2,1,1.423
GC,167,1,A82,atra+GST,140,Ambient,3,1,0.241
GC,168,1,A82,atra+GST,140,Ambient,4,1,1.05
GC,169,1,A82,atra+GST,280,Ambient,1,0,0
GC,170,1,A82,atra+GST,280,Ambient,2,1,0.077
GC,171,1,A82,atra+GST,280,Ambient,3,1,0.253
GC,172,1,A82,atra+GST,280,Ambient,4,0,0
GC,173,1,A82,atra+GST,561,Ambient,1,0,0
GC,174,1,A82,atra+GST,561,Ambient,2,0,0
GC,175,1,A82,atra+GST,561,Ambient,3,0,0
GC,176,1,A82,atra+GST,561,Ambient,4,0,0
GC,177,1,A82,atra+GST,1121,Ambient,1,0,0
GC,178,1,A82,atra+GST,1121,Ambient,2,0,0
GC,179,1,A82,atra+GST,1121,Ambient,3,0,0
GC,180,1,A82,atra+GST,1121,Ambient,4,0,0
GC,181,1,A82,atra+GST,2242,Ambient,1,0,0
GC,182,1,A82,atra+GST,2242,Ambient,2,0,0
GC,183,1,A82,atra+GST,2242,Ambient,3,1,0.313
GC,184,1,A82,atra+GST,2242,Ambient,4,0,0
GC,185,1,A82,atra+GST,4484,Ambient,1,1,0.208
GC,186,1,A82,atra+GST,4484,Ambient,2,0,0
GC,187,1,A82,atra+GST,4484,Ambient,3,0,0
GC,188,1,A82,atra+GST,4484,Ambient,4,0,0
GC,189,1,A82,atra+GST,8968,Ambient,1,0,0
GC,190,1,A82,atra+GST,8968,Ambient,2,0,0
GC,191,1,A82,atra+GST,8968,Ambient,3,0,0
GC,192,1,A82,atra+GST,8968,Ambient,4,0,0
GC,193,1,A101,atra,0,Ambient,1,1,1.811
GC,194,1,A101,atra,0,Ambient,2,1,1.365
GC,195,1,A101,atra,0,Ambient,3,1,1.119
GC,196,1,A101,atra,0,Ambient,4,1,2.685
GC,197,1,A101,atra,140,Ambient,1,0,0
GC,198,1,A101,atra,140,Ambient,2,1,2.858
GC,199,1,A101,atra,140,Ambient,3,1,1.446
GC,200,1,A101,atra,140,Ambient,4,1,0.209
GC,201,1,A101,atra,280,Ambient,1,0,0
GC,202,1,A101,atra,280,Ambient,2,1,2.296
GC,203,1,A101,atra,280,Ambient,3,1,2.2
GC,204,1,A101,atra,280,Ambient,4,1,1.108
GC,205,1,A101,atra,561,Ambient,1,0,0
GC,206,1,A101,atra,561,Ambient,2,0,0
GC,207,1,A101,atra,561,Ambient,3,1,0.254
GC,208,1,A101,atra,561,Ambient,4,1,1.633
GC,209,1,A101,atra,1121,Ambient,1,0,0
GC,210,1,A101,atra,1121,Ambient,2,1,2.688
GC,211,1,A101,atra,1121,Ambient,3,0,0
GC,212,1,A101,atra,1121,Ambient,4,1,0.108
GC,213,1,A101,atra,2242,Ambient,1,0,0
GC,214,1,A101,atra,2242,Ambient,2,1,0.685
GC,215,1,A101,atra,2242,Ambient,3,1,0.109
GC,216,1,A101,atra,2242,Ambient,4,0,0
GC,217,1,A101,atra,4484,Ambient,1,0,0
GC,218,1,A101,atra,4484,Ambient,2,0,0
GC,219,1,A101,atra,4484,Ambient,3,0,0
GC,220,1,A101,atra,4484,Ambient,4,0,0
GC,221,1,A101,atra,8968,Ambient,1,1,0.216
GC,222,1,A101,atra,8968,Ambient,2,0,0
GC,223,1,A101,atra,8968,Ambient,3,0,0
GC,224,1,A101,atra,8968,Ambient,4,0,0
GC,225,1,A101,atra+GST,0,Ambient,1,1,1.246
GC,226,1,A101,atra+GST,0,Ambient,2,1,1.279
GC,227,1,A101,atra+GST,0,Ambient,3,1,2.667
GC,228,1,A101,atra+GST,0,Ambient,4,1,1.558
GC,229,1,A101,atra+GST,140,Ambient,1,0,0
GC,230,1,A101,atra+GST,140,Ambient,2,1,2.654
GC,231,1,A101,atra+GST,140,Ambient,3,1,1.354
GC,232,1,A101,atra+GST,140,Ambient,4,1,0.866
GC,233,1,A101,atra+GST,280,Ambient,1,1,1.3
GC,234,1,A101,atra+GST,280,Ambient,2,1,2.231
GC,235,1,A101,atra+GST,280,Ambient,3,1,1.37
GC,236,1,A101,atra+GST,280,Ambient,4,0,0
GC,237,1,A101,atra+GST,561,Ambient,1,0,0
GC,238,1,A101,atra+GST,561,Ambient,2,0,0
GC,239,1,A101,atra+GST,561,Ambient,3,1,0.535
GC,240,1,A101,atra+GST,561,Ambient,4,1,1.528
GC,241,1,A101,atra+GST,1121,Ambient,1,0,0
GC,242,1,A101,atra+GST,1121,Ambient,2,1,1.81
GC,243,1,A101,atra+GST,1121,Ambient,3,0,0
GC,244,1,A101,atra+GST,1121,Ambient,4,0,0
GC,245,1,A101,atra+GST,2242,Ambient,1,0,0
GC,246,1,A101,atra+GST,2242,Ambient,2,1,0.558
GC,247,1,A101,atra+GST,2242,Ambient,3,0,0
GC,248,1,A101,atra+GST,2242,Ambient,4,0,0
GC,249,1,A101,atra+GST,4484,Ambient,1,0,0
GC,250,1,A101,atra+GST,4484,Ambient,2,1,0.085
GC,251,1,A101,atra+GST,4484,Ambient,3,1,0.588
GC,252,1,A101,atra+GST,4484,Ambient,4,0,0
GC,253,1,A101,atra+GST,8968,Ambient,1,1,0.196
GC,254,1,A101,atra+GST,8968,Ambient,2,1,0.153
GC,255,1,A101,atra+GST,8968,Ambient,3,0,0
GC,256,1,A101,atra+GST,8968,Ambient,4,0,0
