exp,id,run,pop,herb,dose,rate,temp,rep,surv,biomass,percent_bio
GC,2,1,A82,meso,0x,0,elevated,2,1,3.789,1
GC,3,1,A82,meso,0x,0,elevated,3,1,2.835,1
GC,4,1,A82,meso,0x,0,elevated,4,1,0.988,1
GC,5,1,A82,meso,0.015x,1.64,elevated,1,1,2.757,1
GC,6,1,A82,meso,0.015x,1.64,elevated,2,1,1.704,0.671571203
GC,7,1,A82,meso,0.015x,1.64,elevated,3,1,2.239,0.882422491
GC,8,1,A82,meso,0.015x,1.64,elevated,4,1,1.479,0.582895428
GC,9,1,A82,meso,0.031x,3.28,elevated,1,1,0.918,0.361797162
GC,10,1,A82,meso,0.031x,3.28,elevated,2,1,1.12,0.441408303
GC,11,1,A82,meso,0.031x,3.28,elevated,3,1,1.639,0.645953757
GC,12,1,A82,meso,0.031x,3.28,elevated,4,1,1.705,0.671965318
GC,13,1,A82,meso,0.062x,6.57,elevated,1,1,0.338,0.13321072
GC,14,1,A82,meso,0.062x,6.57,elevated,2,0,0,0
GC,15,1,A82,meso,0.062x,6.57,elevated,3,1,1.125,0.443378875
GC,16,1,A82,meso,0.062x,6.57,elevated,4,1,1.511,0.595507094
GC,17,1,A82,meso,0.125x,13.14,elevated,1,1,1.105,0.435496584
GC,18,1,A82,meso,0.125x,13.14,elevated,2,1,1.962,0.773252759
GC,19,1,A82,meso,0.125x,13.14,elevated,3,1,1.56,0.614818707
GC,20,1,A82,meso,0.125x,13.14,elevated,4,1,1.658,0.653441934
GC,21,1,A82,meso,0.25x,26.27,elevated,1,0,0,0
GC,22,1,A82,meso,0.25x,26.27,elevated,2,1,1.525,0.601024698
GC,23,1,A82,meso,0.25x,26.27,elevated,3,1,0.419,0.165133999
GC,24,1,A82,meso,0.25x,26.27,elevated,4,1,0.949,0.374014714
GC,25,1,A82,meso,0.5x,52.55,elevated,1,0,0,0
GC,26,1,A82,meso,0.5x,52.55,elevated,2,1,0.469,0.184839727
GC,27,1,A82,meso,0.5x,52.55,elevated,3,0,0,0
GC,28,1,A82,meso,0.5x,52.55,elevated,4,0,0,0
GC,29,1,A82,meso,1x,105.09,elevated,1,0,0,0
GC,30,1,A82,meso,1x,105.09,elevated,2,0,0,0
GC,31,1,A82,meso,1x,105.09,elevated,3,0,0,0
GC,32,1,A82,meso,1x,105.09,elevated,4,0,0,0
GC,33,1,A82,meso,2x,210.19,elevated,1,0,0,0
GC,34,1,A82,meso,2x,210.19,elevated,2,0,0,0
GC,35,1,A82,meso,2x,210.19,elevated,3,0,0,0
GC,36,1,A82,meso,2x,210.19,elevated,4,0,0,0
GC,37,1,A82,meso,4x,420.37,elevated,1,0,0,0
GC,38,1,A82,meso,4x,420.37,elevated,2,0,0,0
GC,39,1,A82,meso,4x,420.37,elevated,3,0,0,0
GC,40,1,A82,meso,4x,420.37,elevated,4,0,0,0
GC,41,1,A82,meso,0x,0,ambient,1,1,3.724,1
GC,42,1,A82,meso,0x,0,ambient,2,1,3.117,1
GC,43,1,A82,meso,0x,0,ambient,3,1,2.819,1
GC,44,1,A82,meso,0x,0,ambient,4,1,3.301,1
GC,45,1,A82,meso,0.015x,1.64,ambient,1,1,1.545,0.476815061
GC,46,1,A82,meso,0.015x,1.64,ambient,2,1,1.77,0.546254147
GC,47,1,A82,meso,0.015x,1.64,ambient,3,1,1.27,0.391945066
GC,48,1,A82,meso,0.015x,1.64,ambient,4,1,1.45,0.447496335
GC,49,1,A82,meso,0.031x,3.28,ambient,1,0,0,0
GC,50,1,A82,meso,0.031x,3.28,ambient,2,0,0,0
GC,51,1,A82,meso,0.031x,3.28,ambient,3,1,4.944,1
GC,52,1,A82,meso,0.031x,3.28,ambient,4,1,0.76,0.234549803
GC,53,1,A82,meso,0.062x,6.57,ambient,1,1,0.468,0.1444333
GC,54,1,A82,meso,0.062x,6.57,ambient,2,1,0.96,0.296273436
GC,55,1,A82,meso,0.062x,6.57,ambient,3,1,0.58,0.178998534
GC,56,1,A82,meso,0.062x,6.57,ambient,4,1,0.477,0.147210863
GC,57,1,A82,meso,0.125x,13.14,ambient,1,1,0.375,0.115731811
GC,58,1,A82,meso,0.125x,13.14,ambient,2,0,0,0
GC,59,1,A82,meso,0.125x,13.14,ambient,3,1,1.561,0.481752951
GC,60,1,A82,meso,0.125x,13.14,ambient,4,1,0.667,0.205848314
GC,61,1,A82,meso,0.25x,26.27,ambient,1,0,0,0
GC,62,1,A82,meso,0.25x,26.27,ambient,2,0,0,0
GC,63,1,A82,meso,0.25x,26.27,ambient,3,0,0,0
GC,64,1,A82,meso,0.25x,26.27,ambient,4,1,0.055,0.016973999
GC,65,1,A82,meso,0.5x,52.55,ambient,1,0,0,0
