id,run,pop,herb,rate,temp,rep,surv,biomass
1,1,A82,meso,0,elevated,1,1,5.829
2,1,A82,meso,0,elevated,2,1,4.6
3,1,A82,meso,0,elevated,3,1,5.226
4,1,A82,meso,0,elevated,4,1,6.963
5,1,A82,meso,13.1,elevated,1,1,2.691
6,1,A82,meso,13.1,elevated,2,0,0
7,1,A82,meso,13.1,elevated,3,1,2.095
8,1,A82,meso,13.1,elevated,4,1,0.105
9,1,A82,meso,26.3,elevated,1,0,0
10,1,A82,meso,26.3,elevated,2,0,0
11,1,A82,meso,26.3,elevated,3,0,0
12,1,A82,meso,26.3,elevated,4,0,0
13,1,A82,meso,53,elevated,1,0,0
14,1,A82,meso,53,elevated,2,0,0
15,1,A82,meso,53,elevated,3,0,0
16,1,A82,meso,53,elevated,4,0,0
17,1,A82,meso,105.1,elevated,1,0,0
18,1,A82,meso,105.1,elevated,2,0,0
19,1,A82,meso,105.1,elevated,3,0,0
20,1,A82,meso,105.1,elevated,4,0,0
21,1,A82,meso,210.2,elevated,1,0,0
22,1,A82,meso,210.2,elevated,2,0,0
23,1,A82,meso,210.2,elevated,3,0,0
24,1,A82,meso,210.2,elevated,4,0,0
25,1,A82,meso,420.4,elevated,1,0,0
26,1,A82,meso,420.4,elevated,2,0,0
27,1,A82,meso,420.4,elevated,3,0,0
28,1,A82,meso,420.4,elevated,4,0,0
29,1,A82,meso,840.8,elevated,1,0,0
30,1,A82,meso,840.8,elevated,2,0,0
31,1,A82,meso,840.8,elevated,3,0,0
32,1,A82,meso,840.8,elevated,4,0,0
33,1,A82,meso+P450,0,elevated,1,1,4.996
34,1,A82,meso+P450,0,elevated,2,1,4.237
35,1,A82,meso+P450,0,elevated,3,1,4.85
36,1,A82,meso+P450,0,elevated,4,1,4.068
37,1,A82,meso+P450,13.1,elevated,1,0,0
38,1,A82,meso+P450,13.1,elevated,2,1,0.122
39,1,A82,meso+P450,13.1,elevated,3,1,0.049
40,1,A82,meso+P450,13.1,elevated,4,0,0
41,1,A82,meso+P450,26.3,elevated,1,0,0
42,1,A82,meso+P450,26.3,elevated,2,0,0
43,1,A82,meso+P450,26.3,elevated,3,0,0
44,1,A82,meso+P450,26.3,elevated,4,1,0.247
45,1,A82,meso+P450,53,elevated,1,0,0
46,1,A82,meso+P450,53,elevated,2,0,0
47,1,A82,meso+P450,53,elevated,3,0,0
48,1,A82,meso+P450,53,elevated,4,0,0
49,1,A82,meso+P450,105.1,elevated,1,0,0
50,1,A82,meso+P450,105.1,elevated,2,0,0
51,1,A82,meso+P450,105.1,elevated,3,0,0
52,1,A82,meso+P450,105.1,elevated,4,0,0
53,1,A82,meso+P450,210.2,elevated,1,0,0
54,1,A82,meso+P450,210.2,elevated,2,0,0
55,1,A82,meso+P450,210.2,elevated,3,0,0
56,1,A82,meso+P450,210.2,elevated,4,0,0
57,1,A82,meso+P450,420.4,elevated,1,0,0
58,1,A82,meso+P450,420.4,elevated,2,0,0
59,1,A82,meso+P450,420.4,elevated,3,0,0
60,1,A82,meso+P450,420.4,elevated,4,0,0
61,1,A82,meso+P450,840.8,elevated,1,0,0
62,1,A82,meso+P450,840.8,elevated,2,0,0
63,1,A82,meso+P450,840.8,elevated,3,0,0
64,1,A82,meso+P450,840.8,elevated,4,0,0
65,1,A101,meso,0,elevated,1,1,4.258
66,1,A101,meso,0,elevated,2,1,5.948
67,1,A101,meso,0,elevated,3,1,4.899
68,1,A101,meso,0,elevated,4,1,3.271
69,1,A101,meso,13.1,elevated,1,1,2.667
70,1,A101,meso,13.1,elevated,2,1,2.273
71,1,A101,meso,13.1,elevated,3,1,2.144
72,1,A101,meso,13.1,elevated,4,1,2.105
73,1,A101,meso,26.3,elevated,1,0,0
74,1,A101,meso,26.3,elevated,2,1,0.738
75,1,A101,meso,26.3,elevated,3,1,0.37
76,1,A101,meso,26.3,elevated,4,1,0.639
77,1,A101,meso,53,elevated,1,0,0
78,1,A101,meso,53,elevated,2,1,0.072
79,1,A101,meso,53,elevated,3,1,1.182
80,1,A101,meso,53,elevated,4,1,0.199
81,1,A101,meso,105.1,elevated,1,1,0.133
82,1,A101,meso,105.1,elevated,2,0,0
83,1,A101,meso,105.1,elevated,3,0,0
84,1,A101,meso,105.1,elevated,4,1,0.403
85,1,A101,meso,210.2,elevated,1,0,0
86,1,A101,meso,210.2,elevated,2,0,0
87,1,A101,meso,210.2,elevated,3,0,0
