run,pop,herb,rate,rep,surv,biomass,bio_red
1,A82,meso,0,1,1,3.352,0
1,A82,meso,0,2,1,2.539,0
1,A82,meso,0,3,1,1.533,0
1,A82,meso,0,4,1,2.833,0
1,A82,meso,1.6,1,1,2.023,0.21
1,A82,meso,1.6,2,1,0.963,0.62
1,A82,meso,1.6,3,1,2.006,0.22
1,A82,meso,1.6,4,1,1.956,0.24
1,A82,meso,3.3,1,1,1.627,0.37
1,A82,meso,3.3,2,1,1.531,0.4
1,A82,meso,3.3,3,1,1.966,0.23
1,A82,meso,3.3,4,1,2.056,0.2
1,A82,meso,6.5,1,1,2.452,0.04
1,A82,meso,6.5,2,1,1.581,0.38
1,A82,meso,6.5,3,1,0.986,0.62
1,A82,meso,6.5,4,1,0.957,0.63
1,A82,meso,13.1,1,1,1.842,0.28
1,A82,meso,13.1,2,1,0.623,0.76
1,A82,meso,13.1,3,1,2.148,0.16
1,A82,meso,13.1,4,1,1.031,0.6
1,A82,meso,26.3,1,0,0,1
1,A82,meso,26.3,2,1,0.026,0.99
1,A82,meso,26.3,3,1,0.345,0.87
1,A82,meso,26.3,4,1,0.089,0.97
1,A82,meso,53,1,1,0.104,0.96
1,A82,meso,53,2,1,0.222,0.91
1,A82,meso,53,3,0,0,1
1,A82,meso,53,4,0,0,1
1,A82,meso,105.1,1,0,0,1
1,A82,meso,105.1,2,1,0.012,1
1,A82,meso,105.1,3,0,0,1
1,A82,meso,105.1,4,0,0,1
1,A82,meso,210.2,1,0,0,1
1,A82,meso,210.2,2,0,0,1
1,A82,meso,210.2,3,0,0,1
1,A82,meso,210.2,4,0,0,1
1,A82,meso,420.4,1,0,0,1
1,A82,meso,420.4,2,0,0,1
1,A82,meso,420.4,3,0,0,1
1,A82,meso,420.4,4,0,0,1
1,A82,meso,840.8,1,0,0,1
1,A82,meso,840.8,2,0,0,1
1,A82,meso,840.8,3,0,0,1
1,A82,meso,840.8,4,0,0,1
1,A82,meso,1681.6,1,0,0,1
1,A82,meso,1681.6,2,0,0,1
1,A82,meso,1681.6,3,0,0,1
1,A82,meso,1681.6,4,0,0,1
1,A82,meso+P450,0,1,1,3.152,0
1,A82,meso+P450,0,2,1,2.985,0
1,A82,meso+P450,0,3,1,2.742,0
1,A82,meso+P450,0,4,1,2.994,0
1,A82,meso+P450,1.6,1,1,1.483,0.5
1,A82,meso+P450,1.6,2,1,1.915,0.35
1,A82,meso+P450,1.6,3,1,2.076,0.3
1,A82,meso+P450,1.6,4,1,1.265,0.57
1,A82,meso+P450,3.3,1,1,1.821,0.39
1,A82,meso+P450,3.3,2,1,0.82,0.72
