exp,id,run,pop,herb,rate,rep,surv,biomass
GH,289,1,A20,"2,4D",0,1,1,2.701
GH,290,1,A20,"2,4D",0,2,1,4.417
GH,291,1,A20,"2,4D",0,3,1,2.621
GH,292,1,A20,"2,4D",0,4,1,4.382
GH,293,1,A20,"2,4D",16,1,1,1.358
GH,294,1,A20,"2,4D",16,2,1,2.152
GH,295,1,A20,"2,4D",16,3,1,1.772
GH,296,1,A20,"2,4D",16,4,1,2.548
GH,297,1,A20,"2,4D",33,1,1,1.469
GH,298,1,A20,"2,4D",33,2,1,1.783
GH,299,1,A20,"2,4D",33,3,1,0.921
GH,300,1,A20,"2,4D",33,4,1,1.309
GH,301,1,A20,"2,4D",66,1,1,2.04
GH,302,1,A20,"2,4D",66,2,1,1.108
GH,303,1,A20,"2,4D",66,3,1,2.293
GH,304,1,A20,"2,4D",66,4,1,2.072
GH,305,1,A20,"2,4D",133,1,1,0.949
GH,306,1,A20,"2,4D",133,2,1,0.999
GH,307,1,A20,"2,4D",133,3,1,1.478
GH,308,1,A20,"2,4D",133,4,1,1.732
GH,309,1,A20,"2,4D",266,1,1,1.602
GH,310,1,A20,"2,4D",266,2,1,0.908
GH,311,1,A20,"2,4D",266,3,1,1.19
GH,312,1,A20,"2,4D",266,4,1,0.789
GH,313,1,A20,"2,4D",533,1,0,0
GH,314,1,A20,"2,4D",533,2,0,0
GH,315,1,A20,"2,4D",533,3,0,0
GH,316,1,A20,"2,4D",533,4,0,0
GH,317,1,A20,"2,4D",1065,1,0,0
GH,318,1,A20,"2,4D",1065,2,0,0
GH,319,1,A20,"2,4D",1065,3,0,0
GH,320,1,A20,"2,4D",1065,4,0,0
GH,321,1,A20,"2,4D",2130,1,0,0
GH,322,1,A20,"2,4D",2130,2,0,0
GH,323,1,A20,"2,4D",2130,3,0,0
GH,324,1,A20,"2,4D",2130,4,0,0
GH,325,1,A20,"2,4D",4260,1,0,0
GH,326,1,A20,"2,4D",4260,2,1,0.209
GH,327,1,A20,"2,4D",4260,3,0,0
GH,328,1,A20,"2,4D",4260,4,0,0
GH,329,1,A20,"2,4D",8520,1,0,0
GH,330,1,A20,"2,4D",8520,2,0,0
GH,331,1,A20,"2,4D",8520,3,0,0
GH,332,1,A20,"2,4D",8520,4,0,0
GH,333,1,A20,"2,4D",17040,1,0,0
GH,334,1,A20,"2,4D",17040,2,0,0
GH,335,1,A20,"2,4D",17040,3,0,0
GH,336,1,A20,"2,4D",17040,4,0,0
GH,337,1,A20,"2,4D+P450",0,1,1,2.602
GH,338,1,A20,"2,4D+P450",0,2,1,2.252
GH,339,1,A20,"2,4D+P450",0,3,1,2.16
GH,340,1,A20,"2,4D+P450",0,4,1,2.207
GH,341,1,A20,"2,4D+P450",16,1,1,1.763
GH,342,1,A20,"2,4D+P450",16,2,1,1.852
GH,343,1,A20,"2,4D+P450",16,3,1,1.613
GH,344,1,A20,"2,4D+P450",16,4,1,2.123
GH,345,1,A20,"2,4D+P450",33,1,1,1.385
GH,346,1,A20,"2,4D+P450",33,2,1,1.635
GH,347,1,A20,"2,4D+P450",33,3,1,1.349
