exp,id,run,pop,herb,dose,rate,rep,surv,biomass,percent_bio
GH,1,1,A106,ame,0x,0,1,1,2.972,1
GH,2,1,A106,ame,0x,0,2,1,4.224,1
GH,3,1,A106,ame,0x,0,3,1,4.364,1
GH,4,1,A106,ame,0x,0,4,1,3.785,1
GH,5,1,A106,ame,0.015x,27.64,1,1,2.266,0.590681004
GH,6,1,A106,ame,0.015x,27.64,2,1,2.428,0.632909743
GH,7,1,A106,ame,0.015x,27.64,3,1,2.42,0.630824373
GH,8,1,A106,ame,0.015x,27.64,4,1,2.251,0.586770935
GH,9,1,A106,ame,0.031x,55.28,1,1,1.05,0.27370479
GH,10,1,A106,ame,0.031x,55.28,2,1,2.123,0.553405018
GH,11,1,A106,ame,0.031x,55.28,3,1,1.513,0.394395569
GH,12,1,A106,ame,0.031x,55.28,4,1,0.223,0.058129684
GH,13,1,A106,ame,0.062x,110.56,1,1,3.562,0.928510916
GH,14,1,A106,ame,0.062x,110.56,2,1,2.099,0.547148908
GH,15,1,A106,ame,0.062x,110.56,3,1,0.752,0.196024764
GH,16,1,A106,ame,0.062x,110.56,4,1,0.464,0.12095145
GH,17,1,A106,ame,0.125x,221.12,1,1,2.743,0.71502118
GH,18,1,A106,ame,0.125x,221.12,2,0,0,0
GH,19,1,A106,ame,0.125x,221.12,3,0,0,0
GH,20,1,A106,ame,0.125x,221.12,4,1,1.968,0.513000978
GH,21,1,A106,ame,0.25x,442.23,1,0,0,0
GH,22,1,A106,ame,0.25x,442.23,2,1,0.519,0.135288368
GH,23,1,A106,ame,0.25x,442.23,3,0,0,0
GH,24,1,A106,ame,0.25x,442.23,4,0,0,0
GH,25,1,A106,ame,0.5x,884.46,1,0,0,0
GH,26,1,A106,ame,0.5x,884.46,2,0,0,0
GH,27,1,A106,ame,0.5x,884.46,3,0,0,0
GH,28,1,A106,ame,0.5x,884.46,4,0,0,0
GH,29,1,A106,ame,1x,1768.92,1,0,0,0
GH,30,1,A106,ame,1x,1768.92,2,0,0,0
GH,31,1,A106,ame,1x,1768.92,3,0,0,0
GH,32,1,A106,ame,1x,1768.92,4,0,0,0
GH,33,1,A106,ame,2x,3537.84,1,0,0,0
GH,34,1,A106,ame,2x,3537.84,2,0,0,0
GH,35,1,A106,ame,2x,3537.84,3,0,0,0
GH,36,1,A106,ame,2x,3537.84,4,0,0,0
GH,37,1,A106,ame,4x,7075.68,1,0,0,0
GH,38,1,A106,ame,4x,7075.68,2,0,0,0
GH,39,1,A106,ame,4x,7075.68,3,0,0,0
GH,40,1,A106,ame,4x,7075.68,4,0,0,0
GH,41,1,A106,ame,8x,14151.36,1,0,0,0
GH,42,1,A106,ame,8x,14151.36,2,0,0,0
GH,43,1,A106,ame,8x,14151.36,3,0,0,0
GH,44,1,A106,ame,8x,14151.36,4,0,0,0
GH,45,1,A106,ame,16x,28302.72,1,0,0,0
GH,46,1,A106,ame,16x,28302.72,2,0,0,0
GH,47,1,A106,ame,16x,28302.72,3,0,0,0
GH,48,1,A106,ame,16x,28302.72,4,0,0,0
GH,49,1,A101,ame,0x,0,1,1,3.735,1
GH,50,1,A101,ame,0x,0,2,1,3.475,1
GH,51,1,A101,ame,0x,0,3,1,3.572,1
GH,52,1,A101,ame,0x,0,4,1,4.021,1
GH,53,1,A101,ame,0.015x,27.64,1,1,1.665,0.449908802
GH,54,1,A101,ame,0.015x,27.64,2,1,3.183,0.860095927
GH,55,1,A101,ame,0.015x,27.64,3,1,2.365,0.63905965
GH,56,1,A101,ame,0.015x,27.64,4,1,2.016,0.544754442
GH,57,1,A101,ame,0.031x,55.28,1,1,2.327,0.628791461
GH,58,1,A101,ame,0.031x,55.28,2,1,3.19,0.861987435
GH,59,1,A101,ame,0.031x,55.28,3,1,1.155,0.312098899
GH,60,1,A101,ame,0.031x,55.28,4,1,2.889,0.78065257
GH,61,1,A101,ame,0.062x,110.56,1,1,2.225,0.601229481
GH,62,1,A101,ame,0.062x,110.56,2,1,3.889,1
GH,63,1,A101,ame,0.062x,110.56,3,1,3.317,0.896304803
GH,64,1,A101,ame,0.062x,110.56,4,1,0.468,0.126460853
GH,65,1,A101,ame,0.125x,221.12,1,1,0.943,0.254813214
GH,66,1,A101,ame,0.125x,221.12,2,1,0.149,0.040262109
GH,67,1,A101,ame,0.125x,221.12,3,1,2.592,0.700398568
