exp,id,run,pop,herb,rate,rep,surv,biomass
GH,1,1,A82,atra,0,1,1,0.325
GH,2,1,A82,atra,0,2,1,2.273
GH,3,1,A82,atra,0,3,1,2.518
GH,4,1,A82,atra,0,4,1,2.312
GH,5,1,A82,atra,17,1,1,2.66
GH,6,1,A82,atra,17,2,1,2.919
GH,7,1,A82,atra,17,3,1,2.341
GH,8,1,A82,atra,17,4,1,3.456
GH,9,1,A82,atra,35,1,1,2.258
GH,10,1,A82,atra,35,2,1,1.821
GH,11,1,A82,atra,35,3,1,1.398
GH,12,1,A82,atra,35,4,1,2.269
GH,13,1,A82,atra,70,1,1,2.955
GH,14,1,A82,atra,70,2,1,0.927
GH,15,1,A82,atra,70,3,1,1.545
GH,16,1,A82,atra,70,4,1,0.701
GH,17,1,A82,atra,140,1,1,0.632
GH,18,1,A82,atra,140,2,1,0.508
GH,19,1,A82,atra,140,3,1,1.092
GH,20,1,A82,atra,140,4,1,0.564
GH,21,1,A82,atra,280,1,0,0
GH,22,1,A82,atra,280,2,1,0.073
GH,23,1,A82,atra,280,3,0,0
GH,24,1,A82,atra,280,4,0,0
GH,25,1,A82,atra,561,1,0,0
GH,26,1,A82,atra,561,2,0,0
GH,27,1,A82,atra,561,3,0,0
GH,28,1,A82,atra,561,4,0,0
GH,29,1,A82,atra,1121,1,0,0
GH,30,1,A82,atra,1121,2,0,0
GH,31,1,A82,atra,1121,3,0,0
GH,32,1,A82,atra,1121,4,0,0
GH,33,1,A82,atra,2242,1,0,0
GH,34,1,A82,atra,2242,2,0,0
GH,35,1,A82,atra,2242,3,1,0.059
GH,36,1,A82,atra,2242,4,0,0
GH,37,1,A82,atra,4484,1,0,0
GH,38,1,A82,atra,4484,2,0,0
GH,39,1,A82,atra,4484,3,0,0
GH,40,1,A82,atra,4484,4,0,0
GH,41,1,A82,atra,8968,1,0,0
GH,42,1,A82,atra,8968,2,0,0
GH,43,1,A82,atra,8968,3,0,0
GH,44,1,A82,atra,8968,4,0,0
GH,45,1,A82,atra,17936,1,0,0
GH,46,1,A82,atra,17936,2,0,0
GH,47,1,A82,atra,17936,3,0,0
GH,48,1,A82,atra,17936,4,0,0
GH,49,1,A82,atra+P450,0,1,1,2.533
GH,50,1,A82,atra+P450,0,2,1,3.035
GH,51,1,A82,atra+P450,0,3,1,3.341
