run,pop,herb,rate,rep,surv,biomass
1,Brook,meso,0,1,1,2.094
1,Brook,meso,0,2,1,3.583
1,Brook,meso,0,3,1,2.417
1,Brook,meso,0,4,1,3.487
1,Brook,meso,1.6,1,1,2.585
1,Brook,meso,1.6,2,1,2.353
1,Brook,meso,1.6,3,1,2.804
1,Brook,meso,1.6,4,1,3.368
1,Brook,meso,3.3,1,1,1.591
1,Brook,meso,3.3,2,1,2.827
1,Brook,meso,3.3,3,1,2.468
1,Brook,meso,3.3,4,1,0.694
1,Brook,meso,6.5,1,1,2.201
1,Brook,meso,6.5,2,1,0.993
1,Brook,meso,6.5,3,1,3.047
1,Brook,meso,6.5,4,1,1.861
1,Brook,meso,13.1,1,1,0.874
1,Brook,meso,13.1,2,1,3.108
1,Brook,meso,13.1,3,1,2.684
1,Brook,meso,13.1,4,1,2.284
1,Brook,meso,26.3,1,1,0.175
1,Brook,meso,26.3,2,1,0.304
1,Brook,meso,26.3,3,1,0.205
1,Brook,meso,26.3,4,1,0.216
1,Brook,meso,53,1,0,0
1,Brook,meso,53,2,1,0.216
1,Brook,meso,53,3,0,0
1,Brook,meso,53,4,1,0.111
1,Brook,meso,105.1,1,0,0
1,Brook,meso,105.1,2,0,0
1,Brook,meso,105.1,3,0,0
1,Brook,meso,105.1,4,0,0
1,Brook,meso,210.2,1,0,0
1,Brook,meso,210.2,2,0,0
1,Brook,meso,210.2,3,1,0.19
1,Brook,meso,210.2,4,0,0
1,Brook,meso,420.4,1,0,0
1,Brook,meso,420.4,2,0,0
1,Brook,meso,420.4,3,0,0
1,Brook,meso,420.4,4,0,0
1,Brook,meso,840.8,1,0,0
1,Brook,meso,840.8,2,0,0
1,Brook,meso,840.8,3,0,0
1,Brook,meso,840.8,4,0,0
1,Brook,meso,1681.6,1,0,0
1,Brook,meso,1681.6,2,0,0
1,Brook,meso,1681.6,3,0,0
1,Brook,meso,1681.6,4,0,0
1,Brook,meso+P450,0,1,1,2.928
1,Brook,meso+P450,0,2,1,4.45
1,Brook,meso+P450,0,3,1,2.454
1,Brook,meso+P450,0,4,1,3.362
1,Brook,meso+P450,1.6,1,1,2.222
1,Brook,meso+P450,1.6,2,1,1.986
1,Brook,meso+P450,1.6,3,1,1.715
1,Brook,meso+P450,1.6,4,1,1.482
1,Brook,meso+P450,3.3,1,1,2.118
1,Brook,meso+P450,3.3,2,1,2.337
1,Brook,meso+P450,3.3,3,1,2.787
1,Brook,meso+P450,3.3,4,1,1.756
1,Brook,meso+P450,6.5,1,1,2.055
1,Brook,meso+P450,6.5,2,1,1.981
1,Brook,meso+P450,6.5,3,1,1.534
1,Brook,meso+P450,6.5,4,1,1.686
1,Brook,meso+P450,13.1,1,1,1.525
1,Brook,meso+P450,13.1,2,1,1.922
1,Brook,meso+P450,13.1,3,1,0.519
1,Brook,meso+P450,13.1,4,1,0.278
1,Brook,meso+P450,26.3,1,0,0
1,Brook,meso+P450,26.3,2,1,0.201
1,Brook,meso+P450,26.3,3,0,0
1,Brook,meso+P450,26.3,4,0,0
1,Brook,meso+P450,53,1,0,0
1,Brook,meso+P450,53,2,1,0.183
1,Brook,meso+P450,53,3,1,0.048
1,Brook,meso+P450,53,4,0,0
1,Brook,meso+P450,105.1,1,0,0
1,Brook,meso+P450,105.1,2,0,0
1,Brook,meso+P450,105.1,3,0,0
1,Brook,meso+P450,105.1,4,0,0
1,Brook,meso+P450,210.2,1,0,0
1,Brook,meso+P450,210.2,2,0,0
1,Brook,meso+P450,210.2,3,0,0
1,Brook,meso+P450,210.2,4,0,0
1,Brook,meso+P450,420.4,1,0,0
1,Brook,meso+P450,420.4,2,0,0
1,Brook,meso+P450,420.4,3,0,0
1,Brook,meso+P450,420.4,4,0,0
1,Brook,meso+P450,840.8,1,0,0
1,Brook,meso+P450,840.8,2,0,0
1,Brook,meso+P450,840.8,3,0,0
1,Brook,meso+P450,840.8,4,0,0
1,Brook,meso+P450,1681.6,1,0,0
1,Brook,meso+P450,1681.6,2,0,0
1,Brook,meso+P450,1681.6,3,0,0
1,Brook,meso+P450,1681.6,4,0,0
1,Brook,meso+GST,0,1,1,3.441
1,Brook,meso+GST,0,2,1,3.65
1,Brook,meso+GST,0,3,1,3.13
1,Brook,meso+GST,0,4,1,2.827
1,Brook,meso+GST,1.6,1,1,2.196
1,Brook,meso+GST,1.6,2,1,2.144
1,Brook,meso+GST,1.6,3,1,3.205
1,Brook,meso+GST,1.6,4,1,2.168
1,Brook,meso+GST,3.3,1,1,2.081
1,Brook,meso+GST,3.3,2,1,1.681
1,Brook,meso+GST,3.3,3,1,3.189
1,Brook,meso+GST,3.3,4,1,2.252
1,Brook,meso+GST,6.5,1,1,1.378
1,Brook,meso+GST,6.5,2,1,3.344
1,Brook,meso+GST,6.5,3,1,3.015
1,Brook,meso+GST,6.5,4,1,2.609
1,Brook,meso+GST,13.1,1,1,1.388
1,Brook,meso+GST,13.1,2,1,2.957
1,Brook,meso+GST,13.1,3,1,1.654
1,Brook,meso+GST,13.1,4,1,1.182
1,Brook,meso+GST,26.3,1,0,0
1,Brook,meso+GST,26.3,2,1,0.409
1,Brook,meso+GST,26.3,3,1,0.476
1,Brook,meso+GST,26.3,4,1,0.239
1,Brook,meso+GST,53,1,0,0
1,Brook,meso+GST,53,2,1,0.207
1,Brook,meso+GST,53,3,1,0.281
1,Brook,meso+GST,53,4,1,0.081
1,Brook,meso+GST,105.1,1,0,0
1,Brook,meso+GST,105.1,2,1,0.14
1,Brook,meso+GST,105.1,3,0,0
1,Brook,meso+GST,105.1,4,0,0
1,Brook,meso+GST,210.2,1,1,0.137
1,Brook,meso+GST,210.2,2,0,0
1,Brook,meso+GST,210.2,3,0,0
1,Brook,meso+GST,210.2,4,0,0
1,Brook,meso+GST,420.4,1,0,0
1,Brook,meso+GST,420.4,2,0,0
1,Brook,meso+GST,420.4,3,0,0
1,Brook,meso+GST,420.4,4,0,0
1,Brook,meso+GST,840.8,1,0,0
1,Brook,meso+GST,840.8,2,0,0
1,Brook,meso+GST,840.8,3,0,0
1,Brook,meso+GST,840.8,4,0,0
1,Brook,meso+GST,1681.6,1,0,0
1,Brook,meso+GST,1681.6,2,0,0
1,Brook,meso+GST,1681.6,3,0,0
1,Brook,meso+GST,1681.6,4,0,0
2,Brook,meso,0,1,1,1.179
2,Brook,meso,0,2,1,1.388
2,Brook,meso,0,3,1,1.243
2,Brook,meso,0,4,1,2.673
2,Brook,meso,1.6,1,1,3.788
2,Brook,meso,1.6,2,1,1.162
2,Brook,meso,1.6,3,1,1.162
2,Brook,meso,1.6,4,1,2.434
2,Brook,meso,3.3,1,1,1.201
2,Brook,meso,3.3,2,1,1.531
2,Brook,meso,3.3,3,1,1.293
2,Brook,meso,3.3,4,1,1.375
2,Brook,meso,6.5,1,1,0.976
2,Brook,meso,6.5,2,1,0.761
2,Brook,meso,6.5,3,1,0.889
2,Brook,meso,6.5,4,1,0.623
2,Brook,meso,13.1,1,1,0.398
2,Brook,meso,13.1,2,1,0.974
2,Brook,meso,13.1,3,1,0.929
2,Brook,meso,13.1,4,1,0.87
2,Brook,meso,26.3,1,0,0
2,Brook,meso,26.3,2,1,0.755
2,Brook,meso,26.3,3,0,0
2,Brook,meso,26.3,4,1,0.14
2,Brook,meso,53,1,1,0.437
2,Brook,meso,53,2,1,0.309
2,Brook,meso,53,3,1,0.171
2,Brook,meso,53,4,0,0
2,Brook,meso,105.1,1,1,0.17
2,Brook,meso,105.1,2,1,0.452
2,Brook,meso,105.1,3,0,0
2,Brook,meso,105.1,4,0,0
2,Brook,meso,210.2,1,0,0
2,Brook,meso,210.2,2,0,0
2,Brook,meso,210.2,3,0,0
2,Brook,meso,210.2,4,0,0
2,Brook,meso,420.4,1,0,0
2,Brook,meso,420.4,2,0,0
2,Brook,meso,420.4,3,0,0
2,Brook,meso,420.4,4,0,0
2,Brook,meso,840.8,1,0,0
2,Brook,meso,840.8,2,0,0
2,Brook,meso,840.8,3,0,0
2,Brook,meso,840.8,4,0,0
2,Brook,meso,1681.6,1,0,0
2,Brook,meso,1681.6,2,0,0
2,Brook,meso,1681.6,3,0,0
2,Brook,meso,1681.6,4,0,0
2,Brook,meso+P450,0,1,1,1.104
2,Brook,meso+P450,0,2,1,3.295
2,Brook,meso+P450,0,3,1,2.354
2,Brook,meso+P450,0,4,1,3.244
2,Brook,meso+P450,1.6,1,1,0.892
2,Brook,meso+P450,1.6,2,1,2.543
2,Brook,meso+P450,1.6,3,1,2.298
2,Brook,meso+P450,1.6,4,1,1.397
2,Brook,meso+P450,3.3,1,1,2.433
2,Brook,meso+P450,3.3,2,1,1.299
2,Brook,meso+P450,3.3,3,1,1.237
2,Brook,meso+P450,3.3,4,1,1.448
2,Brook,meso+P450,6.5,1,1,0.897
2,Brook,meso+P450,6.5,2,1,1.137
